accBasedController [2021-03-27-21-56-05]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.509029  0.007  -0.005  0.106  0.100  0.000  0.003
0.512029  0.007  -0.005  0.106  0.100  0.000  0.003
0.515029  0.008  -0.005  0.060  0.047  0.000  0.003
0.518029  0.008  -0.005  0.060  0.047  0.000  0.003
0.521029  0.008  -0.005  0.060  0.047  0.000  0.003
0.525030  0.007  -0.005  -0.151  -0.061  0.000  0.003
0.528030  0.007  -0.005  -0.151  -0.061  0.000  0.003
0.532030  0.007  -0.006  0.006  -0.091  0.000  0.003
0.535030  0.007  -0.006  0.006  -0.091  0.000  0.003
0.538030  0.006  -0.007  -0.056  -0.202  0.000  0.003
0.542031  0.006  -0.007  -0.056  -0.202  0.000  0.003
0.545031  0.006  -0.007  -0.056  -0.202  0.000  0.003
0.548031  0.005  -0.007  -0.185  -0.006  0.000  0.003
0.551031  0.005  -0.007  -0.185  -0.006  0.000  0.003
0.554031  0.007  -0.008  0.337  -0.048  0.000  0.003
0.557031  0.007  -0.008  0.337  -0.048  0.000  0.003
0.560032  0.009  -0.009  0.130  -0.191  0.000  0.003
0.563032  0.009  -0.009  0.130  -0.191  0.000  0.003
0.566032  0.009  -0.009  0.130  -0.191  0.000  0.003
0.569032  0.004  -0.008  -0.533  0.129  0.000  0.003
0.574032  0.004  -0.008  -0.533  0.129  0.000  0.003
0.577033  0.003  -0.008  -0.118  0.029  0.000  0.003
0.580033  0.003  -0.008  -0.118  0.029  0.000  0.003
0.583033  0.003  -0.008  -0.026  0.006  0.000  0.003
0.587033  0.003  -0.008  -0.026  0.006  0.000  0.003
0.591033  0.003  -0.008  -0.026  0.006  0.000  0.003
0.594034  0.003  -0.008  -0.006  0.001  0.000  0.003
0.597034  0.003  -0.008  -0.006  0.001  0.000  0.003
0.600034  0.003  -0.008  -0.001  0.000  0.000  0.003
0.603034  0.003  -0.008  -0.001  0.000  0.000  0.003
0.606034  0.003  -0.008  -0.000  0.000  0.000  0.003
0.609034  0.003  -0.008  -0.000  0.000  0.000  0.003
0.612035  0.003  -0.008  -0.000  0.000  0.000  0.003
0.615035  0.001  -0.008  -0.206  -0.026  0.000  0.003
0.618035  0.001  -0.008  -0.206  -0.026  0.000  0.003
0.621035  0.000  -0.011  -0.130  -0.278  0.000  0.003
0.624035  0.000  -0.011  -0.130  -0.278  0.000  0.003
0.627035  -0.001  -0.011  -0.207  -0.010  0.000  0.003
