SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-2.453      0   0.176  0.000  -0.319  -18.142  -4.072  0.013  0.268  -0.001
-18.881      0   0.176  0.000  -0.319  -8.152  -1.896  0.104  0.253  -0.000
39.483     -1   0.176  0.000  -0.319  24.391  4.413  -0.314  0.288  -0.003
170.678     -3   0.176  0.000  -0.319  62.641  12.204  -0.336  0.385  -0.005
323.990     -4   0.176  0.000  -0.319  84.147  16.981  0.171  0.521  -0.004
425.947     -4   0.176  0.000  -0.319  75.055  14.705  -0.092  0.639  -0.005
393.079     -1   0.176  0.000  -0.319  23.784  3.853  -0.282  0.670  -0.007
236.779     -4   0.176  0.000  -0.319  -35.290  -7.673  0.402  0.608  -0.004
28.344     -3   0.176  0.000  -0.319  -72.908  -15.513  0.202  0.484  -0.002
-174.852     -3   0.176  0.000  -0.319  -89.284  -18.942  -0.025  0.333  -0.002
-339.838    -12   0.176  0.000  -0.319  -90.362  -19.064  -0.110  0.180  -0.003
-462.217    -25   0.176  0.000  -0.319  -86.464  -17.666  0.331  0.039  -0.001
-528.208     -5   0.176  0.000  -0.319  -72.301  -14.582  0.334  -0.078  0.002
-564.797     25   0.176  0.000  -0.319  -64.868  -13.233  -0.004  -0.184  0.002
-583.947     25   0.176  0.000  -0.319  -59.820  -12.570  -0.532  -0.284  -0.002
-570.981     25   0.176  0.000  -0.319  -47.249  -9.460  -0.095  -0.360  -0.003
-493.496     25   0.176  0.000  -0.319  -17.334  -2.869  0.283  -0.383  -0.001
-353.256     25   0.176  0.000  -0.319  18.044  4.185  0.025  -0.349  -0.000
-240.899     25   0.176  0.000  -0.319  18.119  4.202  0.069  -0.316  0.000
-173.864     25   0.176  0.000  -0.319  8.249  1.726  -0.363  -0.302  -0.003
-147.138     25   0.176  0.000  -0.319  -3.793  -0.641  -0.230  -0.307  -0.005
-135.471     25   0.176  0.000  -0.319  -8.190  -1.398  -0.080  -0.318  -0.005
-134.646     26   0.176  0.000  -0.319  -12.214  -1.978  0.168  -0.334  -0.004
-152.286     26   0.176  0.000  -0.319  -20.341  -3.820  -0.036  -0.365  -0.004
-188.022     26   0.176  0.000  -0.319  -29.838  -5.965  -0.279  -0.412  -0.006
-219.760     26   0.176  0.000  -0.319  -31.525  -5.869  0.131  -0.459  -0.005
-189.219     26   0.176  0.000  -0.319  -6.383  -0.677  0.100  -0.465  -0.005
-111.370     26   0.176  0.000  -0.319  17.730  4.190  0.001  -0.431  -0.005
84.208     26   0.176  0.000  -0.319  77.459  16.748  0.349  -0.297  -0.002
343.976     25   0.176  0.000  -0.319  124.400  25.725  -0.189  -0.091  -0.003
556.380     25   0.176  0.000  -0.319  126.650  25.948  -0.182  0.116  -0.005
755.301     25   0.176  0.000  -0.319  139.870  28.422  -0.174  0.344  -0.006
930.701      5   0.176  0.000  -0.319  146.785  30.137  0.425  0.585  -0.003
830.891     -1   0.176  0.000  -0.319  39.071  7.167  -0.169  0.642  -0.004
641.233     -1   0.176  0.000  -0.319  -10.479  -2.940  -0.020  0.619  -0.004
463.417    -18   0.176  0.000  -0.319  -22.168  -5.436  -0.150  0.575  -0.005
219.614    -24   0.176  0.000  -0.319  -68.017  -14.682  -0.022  0.458  -0.006
-28.550    -26   0.176  0.000  -0.319  -92.268  -19.280  0.236  0.303  -0.004
-207.512    -29   0.176  0.000  -0.319  -83.347  -17.577  -0.097  0.163  -0.005
-323.499    -28   0.176  0.000  -0.319  -71.190  -14.852  -0.031  0.044  -0.005
-325.411     -7   0.176  0.000  -0.319  -30.026  -6.521  -0.312  -0.008  -0.007
-252.369     -7   0.176  0.000  -0.319  3.489  0.638  -0.085  -0.003  -0.008
-110.285     -2   0.176  0.000  -0.319  41.031  8.539  0.124  0.065  -0.007
-28.283     -3   0.176  0.000  -0.319  26.863  5.452  0.021  0.109  -0.007
-8.015     -4   0.176  0.000  -0.319  6.094  1.507  0.415  0.121  -0.003
-14.336     -4   0.176  0.000  -0.319  -3.411  -1.288  -0.464  0.111  -0.007
-46.695     -4   0.176  0.000  -0.319  -15.817  -3.498  -0.115  0.083  -0.008
-48.550     -3   0.176  0.000  -0.319  -5.307  -0.953  0.259  0.075  -0.006
-8.994     -3   0.176  0.000  -0.319  12.949  2.910  0.366  0.098  -0.003
62.929     -2   0.176  0.000  -0.319  31.060  6.473  0.226  0.150  -0.001
140.118     -2   0.176  0.000  -0.319  40.114  7.989  -0.075  0.214  -0.002
219.891     -1   0.176  0.000  -0.319  48.177  9.686  0.050  0.291  -0.002
312.030     -1   0.176  0.000  -0.319  61.065  12.115  -0.085  0.388  -0.002
474.734     -3   0.176  0.000  -0.319  101.323  20.163  -0.196  0.550  -0.004
607.252     -5   0.176  0.000  -0.319  102.352  20.368  0.002  0.713  -0.004
714.331     -4   0.176  0.000  -0.319  102.616  20.493  0.282  0.877  -0.001
802.294     -4   0.176  0.000  -0.319  104.344  19.871  -0.547  1.035  -0.006
772.407    -25   0.176  0.000  -0.319  58.835  10.982  0.143  1.123  -0.005
655.245    -26   0.176  0.000  -0.319  16.994  2.052  -0.103  1.140  -0.006
520.884    -28   0.176  0.000  -0.319  -1.658  -1.444  0.273  1.128  -0.003
477.053    -28   0.176  0.000  -0.319  27.137  4.179  -0.052  1.162  -0.004
518.594    -28   0.176  0.000  -0.319  61.162  11.607  0.455  1.254  -0.000
575.832    -29   0.176  0.000  -0.319  72.412  13.173  -0.221  1.360  -0.002
471.614    -29   0.176  0.000  -0.319  4.846  -0.694  -0.074  1.354  -0.002
377.738    -28   0.176  0.000  -0.319  -0.038  -1.542  0.084  1.342  -0.002
192.659    -28   0.176  0.000  -0.319  -49.570  -11.772  0.009  1.248  -0.002
