SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
139.449     -3   0.000  0.000  0.000  34.244  7.017  0.051  0.108  -0.003
107.288     -3   0.000  0.000  0.000  -1.820  -0.392  0.120  0.105  -0.002
121.561     -5   0.000  0.000  0.000  16.146  3.282  0.098  0.131  -0.001
153.401     -6   0.000  0.000  0.000  25.451  5.013  -0.061  0.171  -0.001
89.935     -7   0.000  0.000  0.000  -14.785  -3.076  0.176  0.147  -0.000
131.039     -7   0.000  0.000  0.000  26.845  5.145  -0.206  0.188  -0.002
293.742     -6   0.000  0.000  0.000  85.420  17.128  -0.204  0.325  -0.003
423.971     -6   0.000  0.000  0.000  85.483  17.103  -0.070  0.462  -0.004
368.339     -6   0.000  0.000  0.000  13.717  2.077  -0.198  0.478  -0.005
187.184     -4   0.000  0.000  0.000  -47.999  -10.372  0.066  0.395  -0.005
4.718    -22   0.000  0.000  0.000  -65.006  -13.766  0.066  0.285  -0.004
-167.555    -33   0.000  0.000  0.000  -77.117  -15.958  0.240  0.157  -0.003
-561.520    -33   0.000  0.000  0.000  -192.352  -39.772  -0.075  -0.161  -0.003
-705.391    -16   0.000  0.000  0.000  -115.284  -23.602  -0.116  -0.350  -0.004
-528.790     -6   0.000  0.000  0.000  15.809  3.819  0.170  -0.319  -0.003
-394.698     -5   0.000  0.000  0.000  12.396  3.243  0.339  -0.293  0.000
-289.267     25   0.000  0.000  0.000  11.566  2.935  0.222  -0.270  0.002
-278.050     25   0.000  0.000  0.000  -21.224  -4.034  0.003  -0.302  0.002
-303.186     26   0.000  0.000  0.000  -36.745  -7.022  0.174  -0.358  0.003
-293.979     26   0.000  0.000  0.000  -23.327  -4.506  -0.152  -0.394  0.002
-239.277     26   0.000  0.000  0.000  -2.140  0.095  0.067  -0.393  0.003
-99.531     26   0.000  0.000  0.000  41.095  8.954  0.044  -0.322  0.003
17.985     26   0.000  0.000  0.000  43.722  9.390  0.024  -0.247  0.003
33.736     26   0.000  0.000  0.000  8.623  1.979  -0.094  -0.231  0.002
50.253     25   0.000  0.000  0.000  10.449  2.324  -0.105  -0.212  0.002
176.502     25   0.000  0.000  0.000  61.259  12.888  0.054  -0.109  0.002
335.262     25   0.000  0.000  0.000  87.690  17.800  -0.364  0.033  -0.001
455.522     25   0.000  0.000  0.000  84.607  17.272  -0.070  0.172  -0.002
463.466      6   0.000  0.000  0.000  44.698  9.148  0.183  0.245  -0.000
366.731     -2   0.000  0.000  0.000  -1.541  -0.705  -0.103  0.239  -0.001
178.024     -2   0.000  0.000  0.000  -51.608  -11.035  -0.157  0.151  -0.002
47.512     -5   0.000  0.000  0.000  -42.201  -9.191  -0.360  0.077  -0.005
-1.989     -2   0.000  0.000  0.000  -17.238  -4.092  -0.479  0.045  -0.009
10.720     -2   0.000  0.000  0.000  5.839  1.371  0.248  0.056  -0.007
15.086     15   0.000  0.000  0.000  2.972  0.911  0.396  0.063  -0.004
-10.575     23   0.000  0.000  0.000  -10.176  -1.963  0.218  0.047  -0.002
-100.151     17   0.000  0.000  0.000  -41.560  -8.215  0.401  -0.019  0.001
-136.688     17   0.000  0.000  0.000  -25.520  -5.285  -0.071  -0.061  0.001
-163.043      5   0.000  0.000  0.000  -24.134  -5.023  -0.147  -0.101  -0.000
-181.645     -4   0.000  0.000  0.000  -23.380  -4.399  0.300  -0.136  0.002
-139.972     -3   0.000  0.000  0.000  2.282  0.573  -0.063  -0.132  0.001
-108.450      1   0.000  0.000  0.000  1.841  0.148  -0.411  -0.131  -0.002
-103.801     22   0.000  0.000  0.000  -7.768  -1.278  0.174  -0.141  -0.000
-98.577     22   0.000  0.000  0.000  -6.954  -1.314  -0.056  -0.151  -0.001
-81.641     24   0.000  0.000  0.000  -1.434  0.084  0.211  -0.151  0.001
-39.393     25   0.000  0.000  0.000  11.626  2.538  -0.032  -0.130  0.001
-77.440     25   0.000  0.000  0.000  -21.095  -3.812  0.386  -0.161  0.004
-196.614     25   0.000  0.000  0.000  -60.656  -12.495  -0.245  -0.261  0.002
-172.453     25   0.000  0.000  0.000  -6.945  -1.171  -0.060  -0.270  0.001
-54.557     25   0.000  0.000  0.000  37.710  7.785  -0.300  -0.208  -0.001
13.807     25   0.000  0.000  0.000  26.057  5.468  -0.137  -0.164  -0.002
8.529     25   0.000  0.000  0.000  -0.785  -0.171  -0.214  -0.165  -0.004
-50.884     25   0.000  0.000  0.000  -25.892  -4.977  0.159  -0.205  -0.003
-24.388     25   0.000  0.000  0.000  7.115  2.082  0.402  -0.189  0.000
86.584     25   0.000  0.000  0.000  47.949  9.869  -0.216  -0.110  -0.001
344.638     25   0.000  0.000  0.000  124.729  25.144  -0.640  0.092  -0.006
616.836     25   0.000  0.000  0.000  154.230  31.473  -0.095  0.343  -0.007
595.403      6   0.000  0.000  0.000  46.537  9.177  0.036  0.417  -0.007
440.292      6   0.000  0.000  0.000  -15.424  -3.832  -0.169  0.386  -0.008
321.067     -3   0.000  0.000  0.000  -13.638  -3.006  0.279  0.362  -0.006
319.944     -5   0.000  0.000  0.000  29.022  5.397  -0.134  0.405  -0.007
487.722    -22   0.000  0.000  0.000  104.848  21.119  0.077  0.574  -0.006
492.257    -22   0.000  0.000  0.000  46.579  8.843  -0.036  0.645  -0.007
365.576    -32   0.000  0.000  0.000  -12.508  -2.957  0.410  0.621  -0.003
139.766    -34   0.000  0.000  0.000  -68.598  -14.653  0.191  0.504  -0.002
-48.690    -35   0.000  0.000  0.000  -72.295  -15.268  0.195  0.382  -0.000
-146.291    -36   0.000  0.000  0.000  -48.228  -10.467  -0.111  0.298  -0.001
-257.237    -34   0.000  0.000  0.000  -63.097  -13.338  -0.023  0.191  -0.001
-329.422    -11   0.000  0.000  0.000  -55.705  -11.654  0.019  0.098  -0.001
-373.469    -11   0.000  0.000  0.000  -50.133  -9.839  0.610  0.019  0.004
-389.742     -5   0.000  0.000  0.000  -41.519  -8.351  0.207  -0.047  0.005
-393.782     -6   0.000  0.000  0.000  -37.320  -7.668  -0.068  -0.109  0.005
-453.229     -7   0.000  0.000  0.000  -62.637  -12.763  -0.034  -0.211  0.004
-415.750     -7   0.000  0.000  0.000  -24.311  -4.807  -0.074  -0.249  0.004
-331.248     -1   0.000  0.000  0.000  0.361  0.236  -0.148  -0.247  0.003
-216.826     20   0.000  0.000  0.000  21.241  4.828  0.178  -0.209  0.004
-93.402     20   0.000  0.000  0.000  35.784  7.547  -0.060  -0.148  0.004
-130.516     24   0.000  0.000  0.000  -24.990  -5.338  -0.407  -0.191  0.000
-165.410     25   0.000  0.000  0.000  -27.458  -5.493  -0.085  -0.235  -0.000
-147.376     26   0.000  0.000  0.000  -6.547  -1.336  -0.285  -0.246  -0.003
-119.407     26   0.000  0.000  0.000  -0.710  0.277  0.141  -0.243  -0.002
-103.121     26   0.000  0.000  0.000  -3.067  -0.649  -0.325  -0.249  -0.004
-89.764     26   0.000  0.000  0.000  -3.086  -0.322  0.022  -0.251  -0.004
-37.964     26   0.000  0.000  0.000  15.433  3.475  0.012  -0.223  -0.004
40.359     25   0.000  0.000  0.000  32.221  6.728  -0.160  -0.170  -0.005
119.904     25   0.000  0.000  0.000  39.847  8.314  -0.071  -0.103  -0.006
192.961     25   0.000  0.000  0.000  44.227  9.061  -0.147  -0.031  -0.007
249.236     25   0.000  0.000  0.000  43.345  8.796  -0.144  0.040  -0.008
242.571     18   0.000  0.000  0.000  20.185  3.928  -0.171  0.071  -0.009
127.553      4   0.000  0.000  0.000  -29.579  -5.887  0.301  0.024  -0.007
-45.581     -3   0.000  0.000  0.000  -66.158  -13.482  0.153  -0.084  -0.006
-226.684     -4   0.000  0.000  0.000  -85.425  -17.364  0.095  -0.223  -0.005
-325.427     -3   0.000  0.000  0.000  -64.757  -12.958  0.090  -0.326  -0.004
-165.448     -3   0.000  0.000  0.000  42.695  9.324  0.181  -0.252  -0.003
-19.783     -3   0.000  0.000  0.000  50.883  10.668  -0.084  -0.166  -0.004
76.629     -3   0.000  0.000  0.000  41.564  9.005  0.290  -0.094  -0.001
85.627     -5   0.000  0.000  0.000  10.719  2.646  0.352  -0.073  0.002
18.240     -5   0.000  0.000  0.000  -22.711  -4.566  0.011  -0.110  0.002
-66.935     -5   0.000  0.000  0.000  -36.555  -7.631  -0.269  -0.171  -0.000
-100.136     -5   0.000  0.000  0.000  -20.901  -4.169  -0.083  -0.204  -0.001
-117.282     -5   0.000  0.000  0.000  -16.754  -3.159  0.043  -0.229  -0.001
-97.553     -5   0.000  0.000  0.000  -1.675  -0.076  -0.004  -0.230  -0.001
-83.490     -5   0.000  0.000  0.000  -2.608  -0.100  0.172  -0.231  0.001
-115.174     -5   0.000  0.000  0.000  -21.903  -4.177  0.049  -0.264  0.001
-106.371     -4   0.000  0.000  0.000  -6.084  -1.361  -0.451  -0.275  -0.003
-50.767     -4   0.000  0.000  0.000  15.774  3.368  -0.208  -0.248  -0.004
40.324     -3   0.000  0.000  0.000  36.774  7.757  -0.091  -0.186  -0.005
122.474     -4   0.000  0.000  0.000  41.161  8.453  -0.229  -0.118  -0.007
148.386     -4   0.000  0.000  0.000  22.964  5.043  0.204  -0.078  -0.005
131.152     -4   0.000  0.000  0.000  5.690  1.538  0.298  -0.066  -0.003
78.497     -4   0.000  0.000  0.000  -11.719  -2.294  0.040  -0.084  -0.003
14.093     -5   0.000  0.000  0.000  -21.640  -4.461  -0.120  -0.120  -0.003
-41.304     -5   0.000  0.000  0.000  -23.321  -4.795  -0.152  -0.158  -0.005
-66.760     -5   0.000  0.000  0.000  -14.932  -2.872  0.013  -0.181  -0.005
-81.747     -5   0.000  0.000  0.000  -12.720  -2.198  0.217  -0.199  -0.003
-87.952     -6   0.000  0.000  0.000  -10.314  -1.591  0.311  -0.212  -0.000
-97.465     -3   0.000  0.000  0.000  -12.396  -2.118  0.187  -0.228  0.001
-117.949     -4   0.000  0.000  0.000  -17.768  -3.717  -0.360  -0.258  -0.002
-110.468     -2   0.000  0.000  0.000  -7.338  -1.061  0.149  -0.267  -0.001
-27.205     -2   0.000  0.000  0.000  27.308  6.154  0.241  -0.217  0.001
56.568     17   0.000  0.000  0.000  35.274  7.414  -0.097  -0.158  0.001
127.444     24   0.000  0.000  0.000  36.977  7.805  0.022  -0.096  0.001
177.995     24   0.000  0.000  0.000  34.032  7.318  0.224  -0.037  0.003
203.328     25   0.000  0.000  0.000  27.438  5.598  -0.090  0.008  0.002
208.531     13   0.000  0.000  0.000  20.783  4.102  -0.170  0.040  0.001
221.740      1   0.000  0.000  0.000  24.733  5.079  0.049  0.081  0.001
256.184      1   0.000  0.000  0.000  35.401  7.289  0.119  0.139  0.002
365.460     -4   0.000  0.000  0.000  72.587  14.433  -0.332  0.255  -0.001
783.196     -5   0.000  0.000  0.000  221.496  44.926  -0.283  0.614  -0.003
663.500     -5   0.000  0.000  0.000  17.014  2.866  0.112  0.637  -0.002
355.057     -5   0.000  0.000  0.000  -78.670  -17.009  -0.094  0.501  -0.003
82.308    -20   0.000  0.000  0.000  -90.521  -19.211  -0.018  0.347  -0.003
-152.176    -32   0.000  0.000  0.000  -97.901  -20.594  -0.071  0.183  -0.004
-259.360    -32   0.000  0.000  0.000  -61.884  -12.864  0.073  0.080  -0.003
-262.694    -32   0.000  0.000  0.000  -24.497  -5.410  -0.295  0.036  -0.005
-238.254    -12   0.000  0.000  0.000  -12.409  -2.618  -0.021  0.016  -0.006
-235.354     -5   0.000  0.000  0.000  -19.999  -4.044  0.094  -0.017  -0.005
-271.153     -5   0.000  0.000  0.000  -37.357  -7.422  0.250  -0.076  -0.003
-262.293     -5   0.000  0.000  0.000  -20.415  -4.057  0.052  -0.109  -0.002
-232.773     -4   0.000  0.000  0.000  -10.237  -2.025  -0.052  -0.125  -0.003
-137.837     -5   0.000  0.000  0.000  21.934  4.586  -0.069  -0.088  -0.003
124.451     25   0.000  0.000  0.000  105.915  21.796  -0.064  0.086  -0.004
275.122     25   0.000  0.000  0.000  79.176  16.323  0.176  0.217  -0.002
380.164     16   0.000  0.000  0.000  72.235  14.680  0.109  0.334  -0.002
341.237     16   0.000  0.000  0.000  16.949  3.085  0.003  0.359  -0.002
210.489      1   0.000  0.000  0.000  -28.055  -6.057  0.142  0.310  -0.000
53.457     -4   0.000  0.000  0.000  -51.323  -11.240  -0.346  0.221  -0.003
-67.121     -4   0.000  0.000  0.000  -49.031  -10.578  -0.254  0.136  -0.005
-153.560     -5   0.000  0.000  0.000  -45.006  -9.090  0.340  0.063  -0.003
-189.652     -4   0.000  0.000  0.000  -29.863  -6.340  -0.135  0.012  -0.004
-181.941     -4   0.000  0.000  0.000  -13.438  -2.806  -0.029  -0.010  -0.004
-54.837     -4   0.000  0.000  0.000  41.000  8.443  0.015  0.058  -0.004
104.911     -4   0.000  0.000  0.000  67.018  13.879  0.196  0.169  -0.002
417.760     -5   0.000  0.000  0.000  150.130  31.010  0.396  0.417  0.001
363.136     -6   0.000  0.000  0.000  13.427  1.964  -0.317  0.432  -0.002
150.886     -6   0.000  0.000  0.000  -62.534  -13.474  -0.119  0.325  -0.002
-94.279     -6   0.000  0.000  0.000  -96.704  -20.161  0.097  0.163  -0.002
-229.433     -6   0.176  0.000  -0.319  -70.800  -15.180  -0.465  0.042  -0.005
-234.921     -6   0.176  0.000  -0.319  -22.787  -4.408  0.347  0.007  -0.003
-160.482     -4   0.176  0.000  -0.319  11.624  2.431  0.057  0.026  -0.002
-40.617     -4   0.176  0.000  -0.319  39.204  7.922  -0.103  0.089  -0.003
39.110     -6   0.176  0.000  -0.319  31.958  6.419  -0.037  0.141  -0.003
20.339     -6   0.176  0.000  -0.319  -4.935  -1.455  -0.286  0.129  -0.006
-69.441     -5   0.176  0.000  -0.319  -38.635  -8.206  -0.116  0.063  -0.007
-192.992     -5   0.176  0.000  -0.319  -61.948  -12.878  -0.074  -0.040  -0.007
-283.615     -6   0.176  0.000  -0.319  -58.532  -11.782  0.214  -0.134  -0.005
-291.668     26   0.000  0.000  0.000  -27.794  -5.257  0.317  -0.176  -0.003
-222.808     26   0.000  0.000  0.000  4.079  0.836  -0.219  -0.169  -0.005
-140.382     25   0.000  0.000  0.000  17.640  3.689  -0.137  -0.140  -0.006
-86.233     25   0.000  0.000  0.000  12.130  2.552  -0.104  -0.119  -0.007
-73.082     25   0.000  0.000  0.000  -1.523  -0.141  0.040  -0.120  -0.006
-30.510     25   0.000  0.000  0.000  12.489  3.145  0.469  -0.095  -0.002
13.116     25   0.000  0.000  0.000  16.515  4.021  0.548  -0.063  0.002
49.655     25   0.000  0.000  0.000  17.804  3.458  -0.293  -0.035  -0.000
55.287     25   0.000  0.000  0.000  6.691  1.777  0.382  -0.021  0.003
10.735     24   0.000  0.000  0.000  -15.261  -3.066  0.042  -0.046  0.003
-64.399     24   0.000  0.000  0.000  -32.870  -6.866  -0.182  -0.101  0.002
-156.286     25   0.000  0.000  0.000  -47.189  -9.678  -0.112  -0.178  0.001
-233.327     26   0.000  0.000  0.000  -48.774  -9.899  -0.098  -0.257  -0.000
-238.111     26   0.000  0.000  0.000  -23.196  -4.511  -0.055  -0.293  -0.001
-174.936     25   0.000  0.000  0.000  7.154  1.614  -0.215  -0.280  -0.002
-106.686     25   0.000  0.000  0.000  15.614  2.979  -0.590  -0.257  -0.007
-42.210     25   0.000  0.000  0.000  19.642  4.498  0.176  -0.221  -0.006
14.577     25   0.000  0.000  0.000  22.117  4.776  -0.024  -0.182  -0.006
69.217     25   0.000  0.000  0.000  25.934  5.877  0.359  -0.135  -0.003
161.740     25   0.000  0.000  0.000  48.518  9.712  -0.435  -0.058  -0.006
211.474     25   0.000  0.000  0.000  37.284  7.849  0.137  0.005  -0.005
