vel_hum: -0.0042, vel_exo: 0.0103, acc_hum: -0.0499, acc_exo: -0.0156, tht_c: 0.0000, tht_l: 0.0100
vel_hum: -0.0049, vel_exo: 0.0111, acc_hum: -0.0694, acc_exo: 0.0850, tht_c: 0.0000, tht_l: 0.0047
vel_hum: -0.0049, vel_exo: 0.0111, acc_hum: -0.0694, acc_exo: 0.0850, tht_c: 0.0000, tht_l: 0.0047
vel_hum: -0.0050, vel_exo: 0.0118, acc_hum: -0.0032, acc_exo: 0.0611, tht_c: 0.0000, tht_l: 0.0060
vel_hum: -0.0050, vel_exo: 0.0118, acc_hum: -0.0032, acc_exo: 0.0611, tht_c: 0.0000, tht_l: 0.0060
vel_hum: -0.0039, vel_exo: 0.0111, acc_hum: 0.1047, acc_exo: -0.0691, tht_c: 0.0000, tht_l: 0.0058
vel_hum: -0.0039, vel_exo: 0.0111, acc_hum: 0.1047, acc_exo: -0.0691, tht_c: 0.0000, tht_l: 0.0058
vel_hum: -0.0036, vel_exo: 0.0107, acc_hum: 0.0301, acc_exo: -0.0396, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0036, vel_exo: 0.0107, acc_hum: 0.0301, acc_exo: -0.0396, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0047, vel_exo: 0.0108, acc_hum: -0.1045, acc_exo: 0.0130, tht_c: 0.0000, tht_l: 0.0078
vel_hum: -0.0047, vel_exo: 0.0108, acc_hum: -0.1045, acc_exo: 0.0130, tht_c: 0.0000, tht_l: 0.0078
vel_hum: -0.0050, vel_exo: 0.0108, acc_hum: -0.0356, acc_exo: -0.0035, tht_c: 0.0000, tht_l: 0.0098
vel_hum: -0.0050, vel_exo: 0.0108, acc_hum: -0.0356, acc_exo: -0.0035, tht_c: 0.0000, tht_l: 0.0098
vel_hum: -0.0041, vel_exo: 0.0109, acc_hum: 0.0954, acc_exo: 0.0165, tht_c: 0.0000, tht_l: 0.0061
vel_hum: -0.0041, vel_exo: 0.0109, acc_hum: 0.0954, acc_exo: 0.0165, tht_c: 0.0000, tht_l: 0.0061
vel_hum: -0.0034, vel_exo: 0.0115, acc_hum: 0.0647, acc_exo: 0.0564, tht_c: 0.0000, tht_l: 0.0052
vel_hum: -0.0034, vel_exo: 0.0115, acc_hum: 0.0647, acc_exo: 0.0564, tht_c: 0.0000, tht_l: 0.0052
vel_hum: -0.0033, vel_exo: 0.0121, acc_hum: 0.0089, acc_exo: 0.0560, tht_c: 0.0000, tht_l: 0.0056
vel_hum: -0.0033, vel_exo: 0.0121, acc_hum: 0.0089, acc_exo: 0.0560, tht_c: 0.0000, tht_l: 0.0056
