CACu_KF
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.240013  0.013  0.000  -0.000   0.00     -2  -0.000
0.241013  0.013  -0.000  -0.000   0.00     -2  -0.000
0.242013  0.013  -0.000  -0.000   0.00     -2  -0.000
0.243013  0.013  -0.000  -0.000   0.00     -2  -0.000
0.244013  0.012  -0.000  -0.000   0.00     -2  -0.000
0.245014  0.012  -0.000  -0.000   0.00     -3  -0.000
0.246014  0.012  -0.000  -0.000   0.00     -3  -0.000
0.247014  0.012  -0.000  -0.000   0.00     -3  -0.000
0.249014  0.012  0.000  -0.000   0.00     -3  -0.000
0.250014  0.012  0.000  -0.000   0.00     -2  -0.000
0.251014  0.012  0.000  -0.000   0.00     -2  -0.000
0.252014  0.012  0.000  -0.000   0.00     -2  -0.000
0.253014  0.012  -0.000  -0.000   0.00     -2  -0.000
0.254014  0.012  -0.000  -0.000   0.00     -2  -0.000
0.255014  0.012  -0.000  -0.000   0.00     -2  -0.000
0.256014  0.012  -0.000  -0.000   0.00     -3  -0.000
0.257014  0.012  -0.000  -0.000   0.00     -3  -0.000
0.258014  0.012  0.000  -0.000   0.00     -3  -0.000
0.259014  0.012  0.000  -0.000   0.00     -3  -0.000
0.260014  0.012  0.000  -0.000   0.00     -3  -0.000
0.261014  0.012  0.000  -0.000   0.00     -2  -0.000
0.262015  0.012  0.000  -0.000   0.00     -2  -0.000
0.263015  0.012  0.000  -0.000   0.00     -2  -0.000
0.265015  0.012  -0.000  -0.000   0.00     -2  -0.000
0.266015  0.012  -0.000  -0.000   0.00     -2  -0.000
0.267015  0.012  -0.000  -0.000   0.00     -3  -0.000
0.268015  0.012  -0.000  -0.000   0.00     -3  -0.000
0.269015  0.012  -0.000  -0.000   0.00     -3  -0.000
0.270015  0.012  0.000  -0.000   0.00     -3  -0.000
0.271015  0.012  0.000  -0.000   0.00     -3  -0.000
0.272015  0.012  0.000  -0.000   0.00     -4  -0.000
0.273015  0.012  0.000  -0.000   0.00     -4  -0.000
0.274015  0.012  0.000  -0.000   0.00     -4  -0.000
0.275015  0.012  0.000  -0.000   0.00     -4  -0.000
0.276015  0.012  0.000  -0.000   0.00     -4  -0.000
0.277015  0.012  0.000  -0.000   0.00     -4  -0.000
0.278015  0.011  0.000  -0.000   0.00     -2  -0.000
0.279015  0.011  0.000  -0.000   0.00     -2  -0.000
0.281016  0.011  -0.000  -0.000   0.00     -2  -0.000
0.282016  0.011  -0.000  -0.000   0.00     -2  -0.000
0.283016  0.011  -0.000  -0.000   0.00     -3  -0.000
