SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
-2.388     -4   -0.176  0.000  -241.199  -49426.000  -49407.246  -0.385  -0.401  0.000
-1.909      0   -0.176  0.000  -0.154  -31.577  -7.345  -0.792  -0.789  0.000
-1.524     -4   -0.176  0.000  0.314  64.413  82.201  -0.007  0.000  0.000
-2.022     -4   -0.176  0.000  -241.200  -49426.242  -49413.262  0.007  0.008  0.000
-2.420     -4   -0.176  0.000  -241.517  -49491.164  -49471.199  -0.787  -0.789  0.000
-2.536     -3   -0.176  0.000  -180.900  -37069.582  -37044.426  -0.793  -0.790  0.000
-2.629     -3   -0.176  0.000  -180.820  -37053.316  -37026.973  -0.597  -0.598  0.000
-2.503     -2   -0.176  0.000  -120.597  -24712.475  -24685.271  -0.587  -0.596  0.000
-2.402     -2   -0.176  0.000  -120.520  -24696.623  -24671.410  -0.403  -0.407  0.000
-2.120     -1   -0.176  0.000  -60.295  -12355.519  -12331.775  -0.394  -0.392  0.000
-2.096     -2   -0.176  0.000  -120.523  -24697.256  -24677.225  -0.206  -0.197  0.000
-1.675      0   -0.176  0.000  -0.079  -16.091  3.821  -0.399  -0.400  0.000
-1.539     -1   -0.176  0.000  -60.141  -12323.936  -12309.368  -0.006  -0.012  0.000
-1.431     -1   -0.176  0.000  -60.374  -12371.690  -12358.444  -0.205  -0.199  0.000
-1.344     -1   -0.176  0.000  -60.300  -12356.460  -12344.167  -0.199  -0.203  0.000
-1.677     -3   -0.176  0.000  -180.898  -37069.160  -37057.586  -0.191  -0.192  0.000
-1.943     -1   -0.176  0.000  -181.059  -37102.250  -37085.934  -0.595  -0.578  0.000
-1.754     -1   -0.176  0.000  -60.305  -12357.584  -12337.754  -0.604  -0.600  0.000
-1.602     -1   -0.176  0.000  -60.139  -12323.619  -12306.484  -0.208  -0.206  0.000
-1.682     -2   -0.176  0.000  -120.596  -24712.393  -24697.252  -0.209  -0.206  0.000
-1.746     -2   -0.176  0.000  -120.675  -24728.424  -24712.113  -0.406  -0.392  0.000
-1.797     -2   -0.176  0.000  -120.601  -24713.244  -24696.061  -0.403  -0.394  0.000
-1.436      0   -0.176  0.000  0.000  0.011  17.823  -0.401  -0.401  0.000
-1.750     -3   -0.176  0.000  -180.740  -37036.965  -37023.949  -0.020  -0.010  0.000
-2.002     -3   -0.176  0.000  -181.131  -37117.070  -37099.703  -0.596  -0.593  0.000
-2.202     -3   -0.176  0.000  -180.899  -37069.531  -37048.934  -0.594  -0.578  0.000
-2.362     -3   -0.176  0.000  -180.905  -37070.691  -37047.715  -0.590  -0.592  0.000
-2.490      0   -0.176  0.000  -180.899  -37069.531  -37044.816  -0.605  -0.529  0.000
-1.990      0   -0.176  0.000  -0.025  -5.058  20.974  -0.595  -0.294  0.000
-2.193     -3   -0.176  0.000  -180.784  -37045.801  -37026.703  -0.017  0.415  0.000
-1.954     -1   -0.176  0.000  -60.702  -12438.840  -12417.150  -0.604  -0.153  0.000
-1.763     -1   -0.176  0.000  -60.319  -12360.361  -12342.090  -0.208  0.197  0.000
-1.610     -1   -0.176  0.000  -60.458  -12388.938  -12373.234  -0.209  0.312  0.000
-1.689     -2   -0.176  0.000  -120.804  -24754.900  -24741.023  -0.217  0.284  0.000
-1.752     -2   -0.176  0.000  -120.871  -24768.600  -24753.545  -0.408  -0.173  0.000
-2.204     -4   -0.176  0.000  -241.288  -49444.355  -49428.461  -0.400  -0.434  0.000
-2.164     -2   -0.176  0.000  -120.740  -24741.705  -24719.813  -0.788  -2.303  0.000
-1.526      1   -0.176  0.000  61.063  12512.882  12533.899  -0.397  -1.532  0.000
-1.016     -3   -0.176  0.000  60.990  12497.959  12511.742  0.196  0.608  0.000
-1.415     -3   -0.176  0.000  -181.066  -37103.676  -37095.195  0.192  3.087  0.000
-1.537     -2   -0.176  0.000  -122.071  -25014.545  -25000.203  -0.593  3.199  0.000
-1.635     -2   -0.176  0.000  -122.039  -25007.924  -24993.725  -0.405  3.147  0.000
-1.713     -2   -0.176  0.000  -122.017  -25003.533  -24990.266  -0.397  2.279  0.000
-1.774     -2   -0.176  0.000  -121.669  -24932.184  -24919.619  -0.409  0.460  0.000
-1.419      0   -0.176  0.000  -0.341  -69.974  -57.596  -0.400  -1.025  0.000
-1.735     -3   -0.176  0.000  -180.491  -36985.887  -36977.715  0.000  -0.546  0.000
-1.989     -3   -0.176  0.000  -180.917  -37073.102  -37058.902  -0.576  -0.688  0.000
-1.991     -2   -0.176  0.000  -120.561  -24705.133  -24686.436  -0.604  -0.399  0.000
-2.194     -3   -0.176  0.000  -180.898  -37069.359  -37050.270  -0.393  0.112  0.000
-2.357     -2   -0.176  0.000  -181.181  -37127.230  -37105.426  -0.591  0.237  0.000
-2.286     -2   -0.176  0.000  -120.931  -24780.934  -24757.313  -0.599  -0.307  0.000
-2.229     -2   -0.176  0.000  -120.634  -24720.176  -24698.256  -0.398  -1.529  0.000
-2.382     -3   -0.176  0.000  -180.445  -36976.523  -36955.723  -0.389  -2.447  0.000
-2.504     -3   -0.176  0.000  -180.157  -36917.332  -36893.734  -0.592  -2.674  0.000
-2.601     -3   -0.176  0.000  -180.066  -36898.730  -36872.309  -0.590  -2.399  0.000
-2.478     -2   -0.176  0.000  -119.876  -24564.807  -24536.213  -0.588  -1.876  0.000
-2.179     -1   -0.176  0.000  -59.707  -12235.126  -12207.669  -0.398  -0.891  0.000
-1.941     -1   -0.176  0.000  -60.023  -12299.804  -12276.069  -0.199  0.338  0.000
-2.355     -4   -0.176  0.000  -241.414  -49470.168  -49449.621  -0.201  1.007  0.000
-2.688     -4   -0.176  0.000  -241.917  -49573.211  -49547.824  -0.795  0.581  0.000
-2.753     -3   -0.176  0.000  -181.448  -37181.961  -37153.496  -0.790  0.627  0.000
-2.603     -2   -0.176  0.000  -121.088  -24813.016  -24785.061  -0.603  0.598  0.000
-2.483     -2   -0.176  0.000  -120.997  -24794.445  -24769.602  -0.402  0.047  0.000
-2.387     -2   -0.176  0.000  -120.776  -24749.275  -24726.715  -0.404  -0.723  0.000
-1.706      1   -0.176  0.000  60.432  12383.538  12404.873  -0.403  -1.192  0.000
-1.562     -1   -0.176  0.000  -59.745  -12242.923  -12229.852  0.196  -0.912  0.000
-1.449     -1   -0.176  0.000  -60.013  -12297.713  -12285.188  -0.195  -1.812  0.000
-1.356     -1   -0.176  0.000  -59.653  -12224.042  -12211.745  -0.196  -2.446  0.000
-1.483     -2   -0.176  0.000  -119.699  -24528.494  -24516.100  -0.215  -3.318  0.000
-0.980      1   -0.176  0.000  61.472  12596.634  12612.063  -0.403  -4.359  0.000
-0.576      1   -0.176  0.000  62.122  12729.962  12740.285  0.194  -3.528  0.000
-1.259     -4   -0.176  0.000  -239.709  -49120.734  -49113.430  0.190  -2.419  0.000
-1.406     -2   -0.176  0.000  -119.945  -24578.936  -24560.637  -0.793  -2.031  0.000
-1.724     -3   -0.176  0.000  -180.246  -36935.617  -36915.051  -0.400  -0.463  0.000
-1.980     -3   -0.176  0.000  -180.950  -37080.012  -37056.059  -0.601  0.013  0.000
-2.186     -3   -0.176  0.000  -181.141  -37119.145  -37093.508  -0.595  -0.104  0.000
-1.948     -1   -0.176  0.000  -60.494  -12396.353  -12370.079  -0.586  -0.895  0.000
-1.757     -3   -0.176  0.000  -60.021  -12299.327  -12277.928  -0.199  -1.562  0.000
-2.005     -3   -0.176  0.000  -180.353  -36957.645  -36939.430  -0.202  -2.567  0.000
-1.599      0   -0.176  0.000  0.792  162.217  184.022  -0.591  -3.035  0.000
-1.877     -3   -0.176  0.000  -179.687  -36821.008  -36803.613  -0.012  -1.926  0.000
-2.101     -3   -0.176  0.000  -180.364  -36959.871  -36937.691  -0.588  -2.167  0.000
-2.279     -3   -0.176  0.000  -180.269  -36940.324  -36914.953  -0.593  -2.137  0.000
-2.020     -1   -0.176  0.000  -59.681  -12229.646  -12202.198  -0.593  -2.188  0.000
-2.214     -3   -0.176  0.000  -180.104  -36906.461  -36882.781  -0.209  -1.710  0.000
-2.170     -2   -0.176  0.000  -120.151  -24621.199  -24594.979  -0.592  -1.565  0.000
-2.335     -3   -0.176  0.000  -180.431  -36973.570  -36948.074  -0.404  -1.899  0.000
-1.864      0   -0.176  0.000  0.525  107.485  134.520  -0.605  -2.573  0.000
-1.486      0   -0.176  0.000  1.029  210.894  231.505  -0.009  -2.556  0.000
-1.385     -1   -0.176  0.000  -59.277  -12146.993  -12130.866  -0.008  -2.297  0.000
-1.707     -3   -0.176  0.000  -180.059  -36897.426  -36881.422  -0.215  -1.834  0.000
-1.965      0   -0.176  0.000  -180.401  -36967.445  -36946.340  -0.596  -2.121  0.000
-1.568      0   -0.176  0.000  0.613  125.555  149.910  -0.610  -1.836  0.000
-1.251      0   -0.176  0.000  0.734  150.331  169.183  -0.015  -0.507  0.000
-0.999      0   -0.176  0.000  0.203  41.548  56.234  -0.001  0.226  0.000
-0.799      0   -0.176  0.000  -0.091  -18.624  -7.444  -0.002  0.936  0.000
-0.639      0   -0.176  0.000  -0.375  -76.759  -68.615  0.001  0.913  0.000
-1.115     -3   -0.176  0.000  -181.266  -37144.617  -37139.297  -0.014  0.936  0.000
-1.295     -2   -0.176  0.000  -121.210  -24838.205  -24827.033  -0.596  0.848  0.000
-1.438     -2   -0.176  0.000  -121.098  -24815.217  -24802.248  -0.405  1.912  0.000
-1.956     -4   -0.176  0.000  -242.123  -49615.297  -49601.270  -0.416  1.674  0.000
-1.968     -2   -0.176  0.000  -121.584  -24914.697  -24895.418  -0.800  -0.250  0.000
-1.974     -3   -0.176  0.000  -120.659  -24725.166  -24707.385  -0.414  -0.298  0.000
-2.181     -3   -0.176  0.000  -180.939  -37077.699  -37059.848  -0.416  0.610  0.000
-2.347     -3   -0.176  0.000  -181.381  -37168.137  -37147.039  -0.604  1.304  0.000
-2.079     -1   -0.176  0.000  -61.059  -12512.036  -12489.098  -0.600  1.853  0.000
-2.267     -3   -0.176  0.000  -181.722  -37238.066  -37219.641  -0.208  2.723  0.000
-2.418     -3   -0.176  0.000  -182.226  -37341.340  -37321.348  -0.592  2.409  0.000
-2.338     -2   -0.176  0.000  -121.801  -24959.234  -24938.459  -0.603  1.994  0.000
-2.474     -3   -0.176  0.000  -181.856  -37265.613  -37247.043  -0.404  1.424  0.000
-2.181     -1   -0.176  0.000  -61.106  -12521.735  -12502.014  -0.609  0.468  0.000
-2.346     -3   -0.176  0.000  -181.167  -37124.434  -37108.637  -0.205  0.347  0.000
-2.881     -5   -0.176  0.000  -301.875  -61859.547  -61840.895  -0.599  -0.194  0.000
-3.106     -4   -0.176  0.000  -241.516  -49490.953  -49464.504  -0.997  -0.375  0.000
-2.885     -2   -0.176  0.000  -120.765  -24746.953  -24717.215  -0.798  -0.278  0.000
-2.707     -2   -0.176  0.000  -120.647  -24722.719  -24696.043  -0.400  -0.323  0.000
-2.967     -4   -0.176  0.000  -241.228  -49432.000  -49407.609  -0.399  -0.741  0.000
-2.974     -3   -0.176  0.000  -180.918  -37073.406  -37045.145  -0.798  -1.068  0.000
-2.978     -3   -0.176  0.000  -180.710  -37030.676  -37001.805  -0.595  -0.295  0.000
-2.983     -3   -0.176  0.000  -181.018  -37093.941  -37064.566  -0.600  0.321  0.000
-3.189     -4   -0.176  0.000  -241.565  -49501.070  -49471.660  -0.593  0.767  0.000
-3.354     -4   -0.176  0.000  -241.822  -49553.711  -49522.063  -0.799  0.861  0.000
-3.486     -4   -0.176  0.000  -241.859  -49561.367  -49528.371  -0.804  0.343  0.000
-3.590     -4   -0.176  0.000  -241.652  -49518.879  -49485.270  -0.790  -0.808  0.000
-3.472     -3   -0.176  0.000  -180.892  -37067.945  -37033.715  -0.796  -1.763  0.000
-3.777     -5   -0.176  0.000  -301.031  -61686.750  -61653.922  -0.603  -1.786  0.000
-4.022     -5   -0.176  0.000  -301.179  -61716.930  -61679.141  -0.985  -1.708  0.000
-3.816     -3   -0.176  0.000  -180.611  -37010.477  -36968.707  -0.991  -0.395  0.000
-3.250     -1   -0.176  0.000  -60.379  -12372.779  -12333.443  -0.593  0.839  0.000
