acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rpm]  actual_Vel[rpm]  Voltage[V]
-0.004  0.044  -0.014  0.011  -11.005      0  0.000
-0.049  0.047  -0.016  0.007  -12.223      0  0.000
-0.052  0.040  -0.011  0.006  -8.732      0  0.000
-0.025  0.002  -0.008  0.006  -6.233      0  0.000
0.004  -0.016  -0.006  0.008  -4.589      0  0.000
0.029  -0.030  -0.006  0.007  -4.975      0  0.000
0.028  -0.029  -0.011  0.007  -8.588      0  0.000
0.024  -0.037  -0.015  0.005  -11.430      0  0.000
0.010  -0.046  -0.015  0.005  -11.763      0  0.000
-0.002  -0.044  -0.013  0.006  -9.998      0  0.000
-0.016  -0.054  -0.013  0.003  -10.437      0  0.000
-0.046  -0.037  -0.014  0.004  -10.850      0  0.000
-0.087  -0.036  -0.014  0.004  -10.978      0  0.000
-0.091  -0.034  -0.012  0.006  -9.809      0  0.000
-0.080  -0.027  -0.014  0.007  -10.865      0  0.000
-0.047  0.003  -0.014  0.008  -10.861      0  0.000
-0.013  0.008  -0.015  0.005  -11.489      0  0.000
0.003  0.026  -0.014  0.007  -10.822      0  0.000
-0.011  0.031  -0.015  0.007  -12.105      0  0.000
-0.016  0.029  -0.013  0.006  -10.512      0  0.000
0.006  0.030  -0.011  0.005  -8.741      0  0.000
0.033  0.001  -0.009  0.004  -7.182      0  0.000
0.052  -0.006  -0.009  0.006  -7.315      0  0.000
0.040  -0.005  -0.013  0.008  -10.542      0  0.000
0.028  -0.002  -0.015  0.007  -11.941      0  0.000
0.024  0.000  -0.013  0.006  -10.046      0  0.000
0.026  0.002  -0.011  0.004  -8.989      0  0.000
0.018  -0.022  -0.012  0.003  -9.254      0  0.000
0.015  -0.033  -0.011  0.003  -8.967      0  0.000
-0.006  -0.008  -0.012  0.008  -9.455      0  0.000
-0.010  -0.000  -0.011  0.007  -8.562      0  0.000
0.012  -0.007  -0.008  0.005  -6.565      0  0.000
0.058  -0.024  -0.006  0.004  -4.826      0  0.000
0.098  -0.026  -0.006  0.004  -4.955      0  0.000
0.088  -0.036  -0.010  0.001  -7.641      0  0.000
0.042  -0.046  -0.013  -0.000  -10.278      0  0.000
-0.015  -0.045  -0.017  0.002  -13.658      0  0.000
-0.074  -0.045  -0.020  0.003  -15.949      0  0.000
-0.107  -0.055  -0.017  0.002  -13.554      0  0.000
-0.119  -0.052  -0.015  0.005  -11.802      0  0.000
-0.127  -0.028  -0.014  0.003  -11.136      0  0.000
-0.111  -0.005  -0.012  0.003  -9.301      0  0.000
-0.089  0.031  -0.014  0.007  -11.055      0  0.000
-0.049  0.061  -0.015  0.007  -11.501      0  0.000
0.004  0.079  -0.014  0.005  -10.949      0  0.000
0.048  0.070  -0.013  0.005  -10.125      0  0.000
0.072  0.051  -0.013  0.005  -10.196      0  0.000
0.065  0.039  -0.013  0.005  -10.325      0  0.000
0.032  0.034  -0.014  0.006  -10.655      0  0.000
0.003  0.015  -0.015  0.005  -11.924      0  0.000
-0.007  0.020  -0.014  0.006  -10.927      0  0.000
0.000  0.022  -0.012  0.008  -9.253      0  0.000
0.034  0.010  -0.009  0.007  -7.408      0  0.000
0.068  0.008  -0.006  0.005  -4.864      0  0.000
0.090  0.004  -0.006  0.004  -4.826      0  0.000
0.098  0.006  -0.008  0.006  -6.064      0  0.000
0.078  0.019  -0.013  0.009  -9.995      0  0.000
0.056  0.044  -0.013  0.011  -10.018      0  0.000
0.037  0.063  -0.012  0.012  -9.519      0  0.000
0.028  0.084  -0.010  0.013  -7.490      0  0.000
0.021  0.074  -0.007  0.009  -5.217      0  0.000
0.004  0.049  -0.008  0.006  -6.309      0  0.000
-0.033  0.049  -0.013  0.008  -10.215      0  0.000
-0.070  0.042  -0.016  0.008  -12.521      0  0.000
-0.077  0.026  -0.016  0.010  -12.659      0  0.000
-0.060  -0.009  -0.014  0.008  -10.804      0  0.000
-0.022  -0.034  -0.010  0.008  -7.627      0  0.000
-0.001  -0.050  -0.007  0.007  -5.490      0  0.000
0.006  -0.053  -0.008  0.006  -6.572      0  0.000
0.008  -0.057  -0.009  0.004  -7.192      0  0.000
0.001  -0.045  -0.013  0.005  -10.524      0  0.000
0.006  -0.035  -0.015  0.006  -11.947      0  0.000
0.003  -0.041  -0.017  0.007  -13.280      0  0.000
0.002  -0.042  -0.012  0.006  -9.658      0  0.000
-0.009  -0.037  -0.010  0.006  -8.198      0  0.000
-0.028  -0.013  -0.010  0.007  -8.110      0  0.000
-0.029  0.002  -0.009  0.007  -7.061      0  0.000
-0.045  0.019  -0.016  0.007  -12.237      0  0.000
-0.042  0.018  -0.017  0.005  -13.026      0  0.000
-0.042  0.032  -0.017  0.009  -13.724      0  0.000
-0.012  0.037  -0.013  0.010  -10.196      0  0.000
0.015  0.036  -0.009  0.009  -7.203      0  0.000
0.016  0.027  -0.011  0.007  -8.531      0  0.000
-0.005  0.025  -0.012  0.007  -9.111      0  0.000
-0.006  0.005  -0.013  0.005  -9.958      0  0.000
-0.005  -0.028  -0.015  0.003  -11.495      0  0.000
0.018  -0.046  -0.012  0.003  -9.222      0  0.000
0.053  -0.056  -0.012  0.004  -9.147      0  0.000
0.049  -0.049  -0.011  0.007  -8.569      0  0.000
0.032  -0.060  -0.011  0.006  -8.733      0  0.000
-0.005  -0.040  -0.013  0.007  -9.870      0  0.000
-0.029  -0.012  -0.015  0.007  -11.481      0  0.000
-0.038  0.015  -0.017  0.007  -13.318      0  0.000
-0.058  0.021  -0.018  0.006  -14.334      0  0.000
-0.053  0.023  -0.015  0.004  -11.501      0  0.000
-0.036  0.011  -0.012  0.003  -9.123      0  0.000
-0.021  -0.008  -0.010  0.004  -7.504      0  0.000
-0.003  -0.031  -0.012  0.003  -9.065      0  0.000
0.007  -0.033  -0.013  0.006  -10.134      0  0.000
0.026  -0.029  -0.013  0.005  -9.886      0  0.000
0.051  -0.032  -0.011  0.004  -8.945      0  0.000
0.075  -0.005  -0.010  0.007  -7.979      0  0.000
0.089  0.015  -0.009  0.007  -6.831      0  0.000
0.078  0.029  -0.009  0.006  -7.310      0  0.000
0.048  0.032  -0.010  0.005  -7.536      0  0.000
0.019  0.032  -0.012  0.006  -9.267      0  0.000
0.007  0.017  -0.012  0.005  -9.505      0  0.000
0.016  0.004  -0.011  0.004  -8.454      0  0.000
0.020  0.000  -0.010  0.007  -7.663      0  0.000
0.002  0.019  -0.011  0.009  -9.020      0  0.000
-0.023  0.029  -0.013  0.009  -10.022      0  0.000
-0.040  0.026  -0.013  0.008  -10.151      0  0.000
-0.048  0.045  -0.013  0.009  -10.291      0  0.000
-0.048  0.060  -0.014  0.009  -10.914      0  0.000
-0.052  0.057  -0.015  0.008  -11.927      0  0.000
-0.045  0.059  -0.014  0.010  -10.861      0  0.000
-0.038  0.066  -0.012  0.010  -9.475      0  0.000
-0.018  0.068  -0.010  0.012  -7.584      0  0.000
0.004  0.063  -0.010  0.013  -8.120      0  0.000
0.031  0.048  -0.010  0.010  -8.232      0  0.000
0.052  0.038  -0.010  0.009  -7.564      0  0.000
0.047  0.007  -0.012  0.006  -9.700      0  0.000
0.034  -0.034  -0.013  0.004  -10.576      0  0.000
0.022  -0.064  -0.013  0.004  -10.331      0  0.000
-0.006  -0.082  -0.015  0.005  -11.824      0  0.000
-0.043  -0.115  -0.015  0.003  -12.081      0  0.000
-0.066  -0.114  -0.015  0.006  -11.459      0  0.000
-0.067  -0.116  -0.013  0.004  -10.110      0  0.000
-0.048  -0.089  -0.013  0.006  -9.847      0  0.000
-0.018  -0.048  -0.010  0.005  -8.020      0  0.000
0.006  -0.022  -0.011  0.005  -8.803      0  0.000
0.034  0.011  -0.012  0.006  -9.067      0  0.000
0.040  0.019  -0.013  0.005  -9.836      0  0.000
0.033  0.033  -0.014  0.008  -10.784      0  0.000
0.037  0.034  -0.012  0.006  -9.397      0  0.000
0.035  0.021  -0.011  0.004  -8.320      0  0.000
0.021  -0.004  -0.011  0.003  -9.028      0  0.000
0.008  0.001  -0.011  0.006  -9.019      0  0.000
-0.002  -0.013  -0.012  0.004  -9.591      0  0.000
-0.011  -0.015  -0.013  0.005  -9.864      0  0.000
-0.018  -0.030  -0.015  0.003  -11.717      0  0.000
-0.033  -0.037  -0.016  0.004  -12.493      0  0.000
-0.028  -0.033  -0.013  0.004  -10.336      0  0.000
-0.017  -0.017  -0.011  0.007  -8.752      0  0.000
-0.038  0.018  -0.015  0.007  -11.737      0  0.000
-0.037  0.041  -0.014  0.007  -10.722      0  0.000
-0.033  0.044  -0.015  0.007  -11.699      0  0.000
-0.036  0.034  -0.016  0.006  -12.677      0  0.000
-0.019  0.031  -0.013  0.004  -10.523      0  0.000
-0.010  0.018  -0.014  0.004  -11.275      0  0.000
0.010  0.017  -0.012  0.006  -9.750      0  0.000
0.013  0.013  -0.012  0.008  -9.777      0  0.000
-0.008  0.025  -0.015  0.010  -11.927      0  0.000
-0.003  0.022  -0.014  0.009  -10.679      0  0.000
0.026  0.033  -0.012  0.009  -9.469      0  0.000
0.040  0.032  -0.010  0.007  -8.050      0  0.000
0.064  0.019  -0.009  0.005  -7.050      0  0.000
0.065  0.016  -0.011  0.006  -8.410      0  0.000
0.044  0.010  -0.012  0.006  -9.631      0  0.000
0.029  -0.011  -0.014  0.005  -10.710      0  0.000
-0.011  -0.038  -0.017  0.005  -13.328      0  0.000
-0.004  -0.057  -0.012  0.005  -9.159      0  0.000
0.010  -0.062  -0.010  0.005  -7.979      0  0.000
-0.005  -0.041  -0.011  0.005  -8.945      0  0.000
-0.014  -0.027  -0.012  0.005  -9.161      0  0.000
