acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  theta_m[deg]  theta_c[deg]  theta_l[deg]
-0.071  32.867  -0.002  1.577  -184917.969  0.000  0.000
-0.043  21.776  0.001  0.800  -184917.969  0.000  0.000
-0.076  5.929  -0.006  0.134  -184917.969  0.000  0.000
-0.097  -9.319  -0.010  -0.142  -184917.969  0.000  0.000
-0.032  -20.392  0.001  -0.051  -184917.969  0.000  0.000
-0.003  -26.938  0.002  0.113  -184917.969  0.000  0.000
0.015  -30.172  0.003  0.159  -184917.969  0.000  0.000
0.028  -30.510  0.005  0.088  -184917.969  0.000  0.000
0.072  -27.154  0.010  0.024  -184917.969  0.000  0.000
0.131  -20.243  0.008  0.075  -184917.969  0.000  0.000
0.191  -10.828  0.010  0.184  -184917.969  0.000  0.000
0.229  -2.446  0.013  0.175  -184917.969  0.000  0.000
0.227  1.459  0.006  0.038  -184917.969  0.000  0.000
0.142  0.990  0.000  -0.084  -184917.969  0.000  0.000
-0.002  -1.283  -0.004  -0.114  -184917.969  0.000  0.000
-0.013  -2.683  0.008  -0.064  -184917.969  0.000  0.000
-0.045  -2.437  0.004  0.027  -184917.969  0.000  0.000
-0.097  -1.399  0.000  0.093  -184917.969  0.000  0.000
-0.141  1.998  -0.001  0.581  -184917.969  0.000  0.000
-0.151  8.328  -0.003  1.272  -184917.969  0.000  0.000
-0.145  10.000  0.000  0.641  -184917.969  0.000  0.000
-0.066  6.940  0.009  -0.210  -184917.969  0.000  0.000
0.018  1.371  0.006  -0.718  -184917.969  0.000  0.000
0.019  -3.754  -0.002  -0.656  -184917.969  0.000  0.000
-0.001  -6.426  -0.000  -0.215  -184917.969  0.000  0.000
-0.022  -6.952  0.004  0.171  -184917.969  0.000  0.000
0.028  -6.015  0.004  0.426  -184917.969  0.000  0.000
0.020  -4.688  -0.003  0.484  -184917.969  0.000  0.000
-0.013  -3.843  -0.003  0.411  -184917.969  0.000  0.000
-0.067  -0.218  -0.005  0.379  -184917.969  0.000  0.000
-0.097  7.927  -0.001  0.304  -184917.969  0.000  0.000
-0.126  11.750  -0.004  0.107  -184917.969  0.000  0.000
-0.055  8.786  0.003  -0.173  -184917.969  0.000  0.000
0.024  0.902  0.007  -0.421  -184917.969  0.000  0.000
0.029  -7.729  0.003  -0.569  -184917.969  0.000  0.000
-0.007  -13.426  -0.005  -0.564  -184917.969  0.000  0.000
0.043  -15.225  0.004  -0.411  -184917.969  0.000  0.000
0.063  -13.474  -0.001  -0.209  -184917.969  0.000  0.000
0.021  -9.757  -0.005  -0.059  -184917.969  0.000  0.000
0.009  -5.774  0.000  -0.034  -184917.969  0.000  0.000
-0.071  -1.379  -0.008  -0.011  -184917.969  0.000  0.000
-0.082  3.554  -0.002  0.095  -184917.969  0.000  0.000
-0.143  8.262  -0.008  0.250  -184917.969  0.000  0.000
-0.106  11.231  0.000  0.309  -184917.969  0.000  0.000
-0.069  12.325  -0.005  0.373  -184917.969  0.000  0.000
-0.074  11.257  -0.010  0.329  -184917.969  0.000  0.000
-0.071  8.320  -0.002  0.173  -184917.969  0.000  0.000
-0.010  4.633  -0.001  0.006  -184917.969  0.000  0.000
0.049  1.184  0.003  -0.112  -184917.969  0.000  0.000
0.085  -1.673  0.005  -0.167  -184917.969  0.000  0.000
0.116  -4.577  -0.000  -0.228  -184917.969  0.000  0.000
0.113  -6.980  0.004  -0.206  -184917.969  0.000  0.000
0.087  -8.123  -0.005  -0.150  -184917.969  0.000  0.000
0.048  -7.683  -0.001  -0.107  -184917.969  0.000  0.000
0.021  -5.883  -0.008  -0.010  -184917.969  0.000  0.000
-0.013  -2.431  -0.004  0.140  -184917.969  0.000  0.000
-0.068  1.658  -0.002  0.258  -184917.969  0.000  0.000
-0.060  4.949  0.001  0.290  -184917.969  0.000  0.000
-0.014  6.772  0.008  0.256  -184917.969  0.000  0.000
0.057  6.889  0.009  0.147  -184917.969  0.000  0.000
0.071  5.533  -0.002  0.007  -184917.969  0.000  0.000
0.061  3.167  -0.001  -0.064  -184917.969  0.000  0.000
0.018  0.511  -0.012  -0.108  -184917.969  0.000  0.000
-0.028  -1.925  -0.006  -0.117  -184917.969  0.000  0.000
