qASGD: [2021-12-08-19-07-18]

1.131,-0.349,0.490,-0.570
1.139,-0.299,0.471,-0.575
1.148,-0.332,0.516,-0.579
1.154,-0.354,0.568,-0.583
1.163,-0.314,0.532,-0.588
1.172,-0.330,0.477,-0.593
1.179,-0.346,0.426,-0.597
1.187,-0.372,0.373,-0.602
1.193,-0.358,0.426,-0.605
1.199,-0.347,0.373,-0.609
1.206,-0.321,0.418,-0.611
1.214,-0.376,0.411,-0.615
1.251,-0.432,0.406,-0.618
1.258,-0.359,0.417,-0.638
1.266,-0.297,0.423,-0.643
1.273,-0.361,0.415,-0.647
1.280,-0.325,0.463,-0.650
1.286,-0.366,0.418,-0.654
1.293,-0.308,0.425,-0.658
1.301,-0.369,0.421,-0.661
1.308,-0.333,0.467,-0.664
1.314,-0.381,0.432,-0.668
1.321,-0.409,0.384,-0.671
1.328,-0.357,0.400,-0.675
1.336,-0.405,0.431,-0.677
1.343,-0.350,0.434,-0.682
1.349,-0.295,0.438,-0.686
1.357,-0.353,0.434,-0.690
1.364,-0.299,0.438,-0.694
1.371,-0.356,0.434,-0.697
1.378,-0.413,0.433,-0.701
1.385,-0.362,0.418,-0.705
1.391,-0.311,0.431,-0.708
1.398,-0.259,0.441,-0.712
1.405,-0.250,0.389,-0.715
1.411,-0.284,0.430,-0.718
1.418,-0.268,0.380,-0.722
1.425,-0.250,0.431,-0.725
1.432,-0.276,0.479,-0.730
1.438,-0.238,0.445,-0.733
1.446,-0.293,0.443,-0.738
1.452,-0.279,0.395,-0.741
1.459,-0.311,0.437,-0.744
1.498,-0.290,0.390,-0.748
1.505,-0.374,0.421,-0.768
1.511,-0.318,0.441,-0.771
1.518,-0.264,0.464,-0.774
1.525,-0.304,0.420,-0.777
1.532,-0.267,0.465,-0.780
1.539,-0.303,0.418,-0.784
1.546,-0.345,0.377,-0.788
1.553,-0.310,0.422,-0.792
1.560,-0.309,0.480,-0.796
1.567,-0.365,0.467,-0.800
1.574,-0.318,0.439,-0.803
1.581,-0.280,0.479,-0.806
1.587,-0.323,0.443,-0.810
1.595,-0.378,0.447,-0.813
1.601,-0.326,0.462,-0.817
1.608,-0.381,0.459,-0.820
1.615,-0.328,0.465,-0.824
1.623,-0.276,0.470,-0.828
1.631,-0.312,0.430,-0.831
1.638,-0.261,0.447,-0.835
1.645,-0.318,0.450,-0.840
1.652,-0.267,0.462,-0.842
1.659,-0.276,0.409,-0.847
1.667,-0.330,0.423,-0.850
1.674,-0.305,0.471,-0.854
1.680,-0.253,0.478,-0.857
1.686,-0.306,0.477,-0.861
1.693,-0.346,0.437,-0.864
1.701,-0.312,0.477,-0.866
1.707,-0.272,0.444,-0.871
1.746,-0.285,0.393,-0.873
1.753,-0.229,0.451,-0.889
1.760,-0.293,0.456,-0.893
1.767,-0.310,0.515,-0.897
1.772,-0.310,0.457,-0.900
1.779,-0.341,0.507,-0.903
1.787,-0.335,0.449,-0.908
1.793,-0.333,0.507,-0.910
1.799,-0.278,0.507,-0.913
1.805,-0.335,0.495,-0.917
1.811,-0.281,0.499,-0.919
1.818,-0.297,0.446,-0.923
1.824,-0.337,0.488,-0.927
1.829,-0.285,0.496,-0.930
1.836,-0.306,0.447,-0.933
1.842,-0.321,0.500,-0.937
1.849,-0.375,0.499,-0.939
1.855,-0.334,0.467,-0.943
1.862,-0.387,0.474,-0.946
1.868,-0.371,0.424,-0.950
1.874,-0.364,0.477,-0.953
1.880,-0.323,0.448,-0.955
1.886,-0.359,0.486,-0.958
1.892,-0.310,0.498,-0.962
1.899,-0.322,0.448,-0.965
1.906,-0.280,0.475,-0.969
1.912,-0.263,0.428,-0.972
1.919,-0.306,0.459,-0.975
1.925,-0.264,0.486,-0.978
1.932,-0.315,0.497,-0.981
1.937,-0.267,0.510,-0.983
1.975,-0.295,0.467,-0.987
1.982,-0.249,0.417,-1.006
1.989,-0.301,0.452,-1.010
1.996,-0.264,0.498,-1.014
2.002,-0.325,0.507,-1.019
2.009,-0.345,0.453,-1.021
2.016,-0.297,0.422,-1.026
2.023,-0.250,0.391,-1.030
2.030,-0.280,0.443,-1.033
2.036,-0.246,0.401,-1.037
2.041,-0.290,0.434,-1.040
2.049,-0.269,0.485,-1.043
2.056,-0.242,0.534,-1.046
2.063,-0.236,0.479,-1.049
2.069,-0.235,0.426,-1.054
2.076,-0.287,0.405,-1.057
2.081,-0.330,0.444,-1.062
2.089,-0.300,0.486,-1.064
2.096,-0.252,0.466,-1.068
2.103,-0.255,0.520,-1.071
2.110,-0.309,0.523,-1.075
2.117,-0.262,0.544,-1.077
2.124,-0.309,0.572,-1.080
2.134,-0.263,0.550,-1.083
2.142,-0.216,0.526,-1.089
2.149,-0.231,0.475,-1.093
2.157,-0.287,0.491,-1.098
2.164,-0.277,0.439,-1.102
2.171,-0.325,0.466,-1.106
2.177,-0.299,0.514,-1.109
2.185,-0.283,0.464,-1.112
2.227,-0.331,0.436,-1.115
2.235,-0.267,0.384,-1.142
2.242,-0.319,0.427,-1.145
2.249,-0.274,0.387,-1.149
2.256,-0.281,0.449,-1.152
2.263,-0.291,0.389,-1.156
2.270,-0.232,0.384,-1.160
2.276,-0.293,0.390,-1.164
2.283,-0.296,0.450,-1.166
2.289,-0.291,0.392,-1.171
2.296,-0.298,0.450,-1.174
2.303,-0.298,0.394,-1.178
2.310,-0.307,0.453,-1.182
2.316,-0.289,0.400,-1.186
