SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
-50.914      2   0.000  0.000  -1.913  -0.358  0.063  -0.040  -0.002  0.000
-44.437      0   0.000  0.000  -1.750  -0.242  0.026  -0.016  0.001  0.000
-37.306     -1   0.000  0.000  -0.113  0.062  -0.068  -0.002  -0.011  0.000
-27.325      2   0.000  0.000  1.155  0.237  -0.073  -0.033  -0.000  0.000
-17.589     -1   0.000  0.000  1.947  0.323  -0.053  -0.069  -0.000  0.000
-9.263     -1   0.000  0.000  2.058  0.376  -0.024  -0.072  0.002  0.000
-0.983     -2   0.000  0.000  3.207  0.611  -0.050  -0.032  -0.005  0.000
12.050     -3   0.000  0.000  6.167  1.109  -0.082  0.040  -0.006  0.000
27.714     -3   0.000  0.000  8.085  1.373  -0.058  0.074  0.001  0.000
41.692     -3   0.000  0.000  8.336  1.470  0.068  0.082  0.007  0.000
47.453     -3   0.000  0.000  6.230  1.190  0.074  0.009  0.002  0.000
42.596     -3   0.000  0.000  1.571  0.541  0.118  -0.078  0.008  0.000
28.295      0   0.000  0.000  -2.421  -0.111  0.104  -0.114  -0.004  0.000
14.778      0   0.000  0.000  -3.387  -0.412  0.021  -0.090  -0.003  0.000
7.113      1   0.000  0.000  -2.064  -0.406  0.012  -0.016  -0.001  0.000
2.709      0   0.000  0.000  -1.782  -0.494  0.048  0.014  0.007  0.000
-2.869      0   0.000  0.000  -2.096  -0.541  0.032  0.041  -0.003  0.000
-8.406      0   0.000  0.000  -2.262  -0.483  -0.051  0.034  -0.008  0.000
-8.391     -3   0.000  0.000  -0.489  -0.066  -0.112  0.025  -0.004  0.000
1.141     -2   0.000  0.000  3.526  0.649  -0.101  0.033  0.001  0.000
22.906     -2   0.000  0.000  9.860  1.707  -0.049  0.076  0.001  0.000
52.428     -1   0.000  0.000  15.597  2.603  -0.054  0.134  -0.003  0.000
79.019      1   0.000  0.000  16.987  2.877  -0.016  0.154  -0.004  0.000
96.253     -2   0.000  0.000  15.260  2.690  -0.048  0.162  -0.005  0.000
101.616     -2   0.000  0.000  11.598  2.141  -0.082  0.124  -0.007  0.000
96.554      0   0.000  0.000  7.412  1.416  -0.101  0.048  -0.008  0.000
80.914     -3   0.000  0.000  1.845  0.368  -0.028  -0.032  -0.002  0.000
66.303     -1   0.000  0.000  0.826  0.079  -0.009  0.059  -0.001  0.000
54.282    -28   0.000  0.000  0.432  -0.131  -0.001  0.086  0.003  0.000
41.383    -30   0.000  0.000  -0.914  -0.414  0.011  0.094  0.000  0.000
26.573    -30   0.000  0.000  -2.971  -0.682  0.050  0.101  0.000  0.000
8.856    -30   0.000  0.000  -5.522  -0.988  0.081  0.056  -0.002  0.000
-6.632    -31   0.000  0.000  -6.134  -0.985  0.084  0.037  -0.001  0.000
-15.897    -30   0.000  0.000  -4.829  -0.778  0.088  0.030  0.000  0.000
-17.608    -30   0.000  0.000  -2.659  -0.462  0.115  0.014  0.007  0.000
-17.848    -30   0.000  0.000  -1.981  -0.420  0.101  -0.018  0.004  0.000
-26.879    -30   0.000  0.000  -4.774  -0.971  -0.035  -0.060  -0.015  0.000
-49.667    -31   0.000  0.000  -11.815  -2.208  -0.120  -0.105  -0.014  0.000
-72.911    -31   0.000  0.000  -14.488  -2.533  -0.146  -0.070  -0.007  0.000
-83.006    -28   0.000  0.000  -11.316  -2.021  -0.081  0.020  0.004  0.000
-78.638    -28   0.000  0.000  -5.975  -1.290  -0.012  0.035  0.007  0.000
-64.343     -1   0.000  0.000  -0.776  -0.468  0.018  0.032  0.002  0.000
-48.317     -1   0.000  0.000  1.045  0.006  0.055  0.010  0.005  0.000
-37.229     -3   0.000  0.000  0.906  0.271  0.027  -0.013  -0.005  0.000
-28.204      1   0.000  0.000  0.809  0.484  0.030  -0.023  -0.002  0.000
-16.417      1   0.000  0.000  2.634  0.803  0.098  0.004  0.001  0.000
-1.769     -6   0.000  0.000  4.916  0.998  0.158  0.019  0.002  0.000
9.920      3   0.000  0.000  4.906  0.797  0.096  0.006  0.003  0.000
10.505      4   0.000  0.000  1.329  0.101  -0.009  -0.013  -0.003  0.000
2.122      4   0.000  0.000  -2.257  -0.443  -0.112  -0.010  -0.009  0.000
-4.877      4   0.000  0.000  -2.673  -0.388  -0.116  -0.001  -0.004  0.000
-6.839      5   0.000  0.000  -1.225  -0.221  -0.070  -0.004  -0.001  0.000
-2.951      3   0.000  0.000  1.293  0.053  -0.060  0.011  -0.002  0.000
2.528     -3   0.000  0.000  2.234  0.198  -0.009  0.011  -0.000  0.000
4.260     -4   0.000  0.000  1.412  0.141  -0.056  0.002  -0.006  0.000
3.010     -7   0.000  0.000  -0.383  0.016  -0.025  0.006  0.004  0.000
0.699     -7   0.000  0.000  -0.866  0.026  0.010  0.003  0.002  0.000
0.784     -6   0.000  0.000  0.647  0.171  -0.009  0.009  -0.009  0.000
3.597     -3   0.000  0.000  1.640  0.206  0.009  0.003  -0.005  0.000
5.267     -2   0.000  0.000  1.517  0.125  -0.012  0.005  -0.007  0.000
5.272     -2   0.000  0.000  0.528  0.028  -0.029  0.002  -0.001  0.000
3.724     -2   0.000  0.000  -1.090  -0.066  0.059  -0.005  0.014  0.000
-0.514      3   0.000  0.000  -1.639  -0.138  0.069  0.000  0.001  0.000
-2.098      3   0.000  0.000  -1.186  -0.095  0.102  0.004  0.006  0.000
-2.226      2   0.000  0.000  -0.187  -0.027  0.092  0.007  -0.002  0.000
-0.521      2   0.000  0.000  0.070  0.001  0.097  0.009  0.008  0.000
-1.684     -1   0.000  0.000  -0.234  -0.013  0.075  -0.001  -0.006  0.000
-3.601     -1   0.000  0.000  -0.910  -0.068  0.072  -0.006  -0.002  0.000
-4.888      0   0.000  0.000  -1.195  -0.104  0.040  -0.012  0.005  0.000
-5.114     -2   0.000  0.000  -0.652  -0.080  0.004  0.002  0.002  0.000
-3.224     -3   0.000  0.000  0.267  -0.023  -0.050  0.005  0.002  0.000
-1.744     -3   0.000  0.000  0.447  -0.050  -0.087  -0.006  -0.001  0.000
-1.926     -4   0.000  0.000  -0.467  -0.117  0.000  -0.006  0.004  0.000
