SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
109071.953      2   -725426.453  159124632.063  9257.647  18.980  1.000  4.560  5.790  1.531  0.020  100000
109000.172     -1   528336.972  159124617.739  9257.563  17.337  1.000  4.560  5.790  1.531  0.020  100000
109006.703     -2   530424.128  -218542819.148  9257.563  20.122  1.000  4.560  5.790  1.531  0.020  100000
-189923.563     -2   530419.260  -217631157.352  -12714.239  18.152  1.000  4.560  5.790  1.531  0.020  100000
-148877.250      1   530419.260  -217629094.704  -12661.201  20.007  1.000  4.560  5.790  1.531  0.020  100000
-148977.469     -1   -728472.249  -217629094.704  -12661.080  18.028  1.000  4.560  5.790  1.531  0.020  100000
-148973.953     -1   -725433.391  158499950.503  -12661.080  19.662  1.000  4.560  5.790  1.531  0.020  100000
148732.750     -1   -725426.453  159126107.429  9221.219  19.075  1.000  4.560  5.790  1.531  0.020  100000
109069.313     -1   -725426.453  159124632.063  9257.647  17.828  1.000  4.560  5.790  1.531  0.020  100000
109004.523      0   528336.916  159124617.739  9257.563  19.229  1.000  4.560  5.790  1.531  0.020  100000
108999.703     -1   530424.128  -218542819.148  9257.563  17.065  1.000  4.560  5.790  1.531  0.020  100000
-189920.938     -1   530419.260  -217631157.352  -12714.239  19.291  1.000  4.560  5.790  1.531  0.020  100000
-148881.094      0   530419.260  -217629094.704  -12661.201  18.337  1.000  4.560  5.790  1.531  0.020  100000
-148972.594     -1   -728472.249  -217629094.704  -12661.080  20.157  1.000  4.560  5.790  1.531  0.020  100000
-148975.938     -2   -725433.391  158499950.503  -12661.080  18.798  1.000  4.560  5.790  1.531  0.020  100000
148729.672     -2   -725426.453  159126107.429  9221.219  17.717  1.000  4.560  5.790  1.531  0.020  100000
109069.211     -2   -725426.453  159124632.063  9257.647  17.782  1.000  4.560  5.790  1.531  0.020  100000
108999.484      0   528336.916  159124617.739  9257.563  17.043  1.000  4.560  5.790  1.531  0.020  100000
