acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  exo_Vel[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]  theta_c[rad]  theta_l[rad]
-16.263  -0.037  0.004  -0.007  -119.598  -2.006  -6664.531  0.000  0.000  0.000  0.000  0.000
-17.145  -0.021  -0.155  -0.007  -117.336  -1.035  -6635.930  0.000  0.000  0.000  0.000  0.000
-17.856  0.045  -0.316  -0.005  -110.531  1.198  -6552.890  0.000  0.000  0.000  0.000  0.000
-17.820  0.033  -0.458  -0.005  -82.923  0.552  -6172.491  0.000  0.000  0.000  0.000  0.000
-17.483  0.091  -0.589  -0.003  -52.913  2.155  -5543.594  0.000  0.000  0.000  0.000  0.000
-17.540  -0.089  -0.731  -0.008  -41.898  -3.780  -4875.067  0.000  0.000  0.000  0.000  0.000
-17.123  0.150  -0.858  -0.001  -19.346  4.310  -4145.962  0.000  0.000  0.000  0.000  0.000
-16.798  -0.039  -0.984  -0.006  -4.962  -2.408  -3353.912  0.000  0.000  0.000  0.000  0.000
-18.614  0.026  -1.179  -0.004  -58.228  0.139  -3336.377  0.000  0.000  0.000  0.000  0.000
-20.145  0.075  -1.379  -0.002  -90.212  1.578  -3691.287  0.000  0.000  0.000  0.000  0.000
-20.072  0.061  -1.537  -0.002  -66.357  0.768  -3701.737  0.000  0.000  0.000  0.000  0.000
-17.752  -0.055  -1.620  -0.005  19.162  -2.898  -2725.146  0.000  0.000  0.000  0.000  0.000
-12.408  0.012  -1.584  -0.003  174.904  -0.186  -218.087  0.000  0.000  0.000  0.000  0.000
-9.634  0.064  -1.591  -0.002  216.134  1.402  2236.499  0.000  0.000  0.000  0.000  0.000
-11.429  0.054  -1.728  -0.001  110.402  0.778  3017.421  0.000  0.000  0.000  0.000  0.000
-13.827  -0.065  -1.899  -0.005  11.972  -2.965  2564.903  0.000  0.000  0.000  0.000  0.000
-16.467  0.009  -2.098  -0.003  -70.086  -0.042  1262.371  0.000  0.000  0.000  0.000  0.000
-18.047  0.009  -2.282  -0.003  -100.688  -0.049  -121.661  0.000  0.000  0.000  0.000  0.000
-18.075  0.010  -2.428  -0.003  -77.361  -0.009  -966.568  0.000  0.000  0.000  0.000  0.000
-17.116  0.010  -2.540  -0.003  -30.021  0.011  -1111.270  0.000  0.000  0.000  0.000  0.000
-15.436  -0.093  -2.621  -0.006  27.589  -3.079  -558.960  0.000  0.000  0.000  0.000  0.000
-11.380  0.041  -2.610  -0.002  142.648  1.664  1138.413  0.000  0.000  0.000  0.000  0.000
-6.981  0.033  -2.554  -0.002  240.368  1.044  3595.024  0.000  0.000  0.000  0.000  0.000
-5.634  -0.029  -2.565  -0.004  223.100  -1.067  5380.009  0.000  0.000  0.000  0.000  0.000
-5.322  0.039  -2.600  -0.002  178.915  1.212  6295.035  0.000  0.000  0.000  0.000  0.000
-5.761  -0.020  -2.657  -0.004  122.814  -0.858  6412.339  0.000  0.000  0.000  0.000  0.000
-6.354  0.039  -2.723  -0.002  75.546  1.131  5962.035  0.000  0.000  0.000  0.000  0.000
-5.605  0.028  -2.749  -0.002  79.891  0.534  5655.258  0.000  0.000  0.000  0.000  0.000
-3.984  0.030  -2.739  -0.002  109.349  0.455  5741.015  0.000  0.000  0.000  0.000  0.000
-2.008  0.023  -2.705  -0.002  142.378  0.141  6182.211  0.000  0.000  0.000  0.000  0.000
0.333  0.016  -2.643  -0.002  178.444  -0.111  6941.090  0.000  0.000  0.000  0.000  0.000
3.870  0.019  -2.523  -0.002  241.712  0.015  8256.140  0.000  0.000  0.000  0.000  0.000
7.267  0.014  -2.379  -0.002  285.604  -0.131  9800.450  0.000  0.000  0.000  0.000  0.000
9.032  0.010  -2.262  -0.002  270.025  -0.218  10860.844  0.000  0.000  0.000  0.000  0.000
11.016  -0.043  -2.123  -0.003  264.741  -1.768  11660.396  0.000  0.000  0.000  0.000  0.000
11.699  0.075  -2.012  0.000  221.702  2.206  11788.662  0.000  0.000  0.000  0.000  0.000
10.891  -0.048  -1.946  -0.003  144.243  -2.025  11053.298  0.000  0.000  0.000  0.000  0.000
9.682  0.078  -1.899  0.001  73.349  2.247  9640.393  0.000  0.000  0.000  0.000  0.000
9.575  -0.108  -1.825  -0.005  52.524  -3.866  8321.652  0.000  0.000  0.000  0.000  0.000
10.378  0.030  -1.722  -0.001  64.014  1.201  7360.329  0.000  0.000  0.000  0.000  0.000
11.649  0.025  -1.596  -0.001  86.794  0.765  6850.683  0.000  0.000  0.000  0.000  0.000
12.631  -0.031  -1.470  -0.003  95.433  -1.120  6553.841  0.000  0.000  0.000  0.000  0.000
12.860  0.031  -1.362  -0.001  79.381  1.024  6121.402  0.000  0.000  0.000  0.000  0.000
12.933  -0.032  -1.256  -0.003  62.509  -1.120  5602.108  0.000  0.000  0.000  0.000  0.000
12.624  -0.018  -1.163  -0.003  38.258  -0.436  4910.383  0.000  0.000  0.000  0.000  0.000
12.065  0.097  -1.081  0.001  12.296  3.118  4041.137  0.000  0.000  0.000  0.000  0.000
12.095  0.016  -0.983  -0.001  10.257  -0.053  3346.357  0.000  0.000  0.000  0.000  0.000
12.113  0.016  -0.886  -0.001  8.326  -0.020  2769.247  0.000  0.000  0.000  0.000  0.000
12.142  0.010  -0.788  -0.001  7.186  -0.211  2296.647  0.000  0.000  0.000  0.000  0.000
11.518  -0.045  -0.712  -0.003  -13.252  -1.804  1701.255  0.000  0.000  0.000  0.000  0.000
10.428  0.023  -0.656  -0.001  -42.759  0.669  876.899  0.000  0.000  0.000  0.000  0.000
9.467  -0.086  -0.605  -0.004  -61.339  -2.778  34.447  0.000  0.000  0.000  0.000  0.000
8.396  0.093  -0.565  0.001  -78.738  3.261  -877.184  0.000  0.000  0.000  0.000  0.000
7.658  0.075  -0.522  0.001  -82.000  1.949  -1632.934  0.000  0.000  0.000  0.000  0.000
7.119  0.052  -0.479  0.001  -78.486  0.790  -2189.254  0.000  0.000  0.000  0.000  0.000
7.111  -0.015  -0.422  -0.001  -59.875  -1.417  -2409.459  0.000  0.000  0.000  0.000  0.000
7.533  0.044  -0.351  0.001  -32.847  0.704  -2297.673  0.000  0.000  0.000  0.000  0.000
7.951  -0.021  -0.277  -0.001  -12.435  -1.406  -1964.430  0.000  0.000  0.000  0.000  0.000
7.396  -0.017  -0.232  -0.001  -26.098  -0.957  -1854.524  0.000  0.000  0.000  0.000  0.000
6.758  -0.004  -0.194  -0.000  -38.975  -0.344  -1915.489  0.000  0.000  0.000  0.000  0.000
5.884  -0.069  -0.169  -0.003  -55.831  -2.216  -2139.834  0.000  0.000  0.000  0.000  0.000
5.847  0.065  -0.123  0.001  -43.556  2.351  -2214.267  0.000  0.000  0.000  0.000  0.000
5.778  0.097  -0.079  0.003  -35.172  2.749  -2182.617  0.000  0.000  0.000  0.000  0.000
5.451  -0.143  -0.043  -0.004  -36.522  -5.133  -2116.059  0.000  0.000  0.000  0.000  0.000
5.228  0.007  -0.007  -0.000  -34.448  0.610  -2080.818  0.000  0.000  0.000  0.000  0.000
5.005  0.004  0.027  -0.000  -32.880  0.381  -2033.468  0.000  0.000  0.000  0.000  0.000
4.827  0.003  0.061  -0.000  -30.321  0.262  -1966.113  0.000  0.000  0.000  0.000  0.000
4.460  0.051  0.088  0.001  -34.054  1.640  -1964.030  0.000  0.000  0.000  0.000  0.000
4.322  -0.114  0.119  -0.004  -30.015  -3.704  -1878.855  0.000  0.000  0.000  0.000  0.000
4.355  0.125  0.155  0.003  -21.825  4.353  -1776.700  0.000  0.000  0.000  0.000  0.000
4.672  0.043  0.200  0.001  -7.075  0.836  -1504.499  0.000  0.000  0.000  0.000  0.000
4.807  -0.078  0.242  -0.002  -1.343  -2.977  -1195.417  0.000  0.000  0.000  0.000  0.000
5.147  0.050  0.292  0.001  9.186  1.559  -862.864  0.000  0.000  0.000  0.000  0.000
5.914  -0.018  0.358  -0.001  29.991  -0.858  -346.543  0.000  0.000  0.000  0.000  0.000
5.697  -0.010  0.398  -0.000  16.294  -0.404  -90.707  0.000  0.000  0.000  0.000  0.000
5.453  -0.005  0.436  -0.000  5.051  -0.167  -13.976  0.000  0.000  0.000  0.000  0.000
4.319  -0.010  0.442  -0.001  -30.189  -0.271  -346.993  0.000  0.000  0.000  0.000  0.000
2.807  0.050  0.426  0.001  -68.300  1.603  -1053.837  0.000  0.000  0.000  0.000  0.000
1.441  -0.126  0.403  -0.004  -92.879  -4.079  -1853.659  0.000  0.000  0.000  0.000  0.000
0.528  0.017  0.384  -0.000  -97.984  1.196  -2587.974  0.000  0.000  0.000  0.000  0.000
0.033  0.011  0.372  -0.000  -89.318  0.729  -3074.393  0.000  0.000  0.000  0.000  0.000
0.787  -0.046  0.397  -0.002  -45.265  -1.155  -2955.835  0.000  0.000  0.000  0.000  0.000
1.914  0.024  0.441  -0.000  -0.577  1.220  -2377.149  0.000  0.000  0.000  0.000  0.000
2.345  -0.086  0.471  -0.004  12.492  -2.374  -1742.451  0.000  0.000  0.000  0.000  0.000
1.320  0.143  0.455  0.003  -21.257  5.067  -1666.856  0.000  0.000  0.000  0.000  0.000
0.152  0.007  0.427  -0.000  -51.200  -0.220  -1904.265  0.000  0.000  0.000  0.000  0.000
-0.677  0.006  0.400  -0.000  -63.798  -0.214  -2235.322  0.000  0.000  0.000  0.000  0.000
-0.736  0.002  0.393  -0.000  -50.229  -0.256  -2347.526  0.000  0.000  0.000  0.000  0.000
-0.230  0.002  0.404  -0.000  -23.010  -0.206  -2132.455  0.000  0.000  0.000  0.000  0.000
0.092  -0.052  0.413  -0.002  -7.812  -1.763  -1779.078  0.000  0.000  0.000  0.000  0.000
0.064  0.018  0.413  -0.000  -6.780  0.745  -1503.080  0.000  0.000  0.000  0.000  0.000
-0.280  -0.040  0.402  -0.002  -15.475  -1.171  -1366.290  0.000  0.000  0.000  0.000  0.000
-0.959  -0.033  0.377  -0.002  -32.146  -0.684  -1447.392  0.000  0.000  0.000  0.000  0.000
-3.077  0.142  0.299  0.004  -87.951  4.717  -2176.538  0.000  0.000  0.000  0.000  0.000
-4.648  -0.059  0.222  -0.002  -113.991  -2.440  -2999.981  0.000  0.000  0.000  0.000  0.000
-5.874  -0.045  0.144  -0.002  -123.409  -1.426  -3771.030  0.000  0.000  0.000  0.000  0.000
-6.090  0.023  0.089  -0.000  -100.280  0.954  -4145.097  0.000  0.000  0.000  0.000  0.000
-6.638  0.019  0.022  0.000  -92.642  0.607  -4356.002  0.000  0.000  0.000  0.000  0.000
-3.111  -0.040  0.087  -0.002  35.411  -1.319  -3075.238  0.000  0.000  0.000  0.000  0.000
6.799  0.080  0.392  0.002  324.206  2.596  1158.006  0.000  0.000  0.000  0.000  0.000
11.645  0.008  0.608  0.000  391.781  -0.162  5318.711  0.000  0.000  0.000  0.000  0.000
9.416  -0.052  0.627  -0.002  230.875  -1.936  6852.905  0.000  0.000  0.000  0.000  0.000
5.527  0.125  0.573  0.004  58.808  3.855  6108.681  0.000  0.000  0.000  0.000  0.000
-0.375  -0.076  0.420  -0.002  -132.379  -3.100  3420.395  0.000  0.000  0.000  0.000  0.000
-3.953  0.003  0.298  0.000  -207.954  0.009  402.340  0.000  0.000  0.000  0.000  0.000
-3.832  0.056  0.270  0.002  -154.400  1.579  -1420.594  0.000  0.000  0.000  0.000  0.000
-1.976  -0.068  0.302  -0.002  -61.675  -2.509  -1808.728  0.000  0.000  0.000  0.000  0.000
1.032  0.108  0.386  0.003  43.381  3.384  -983.376  0.000  0.000  0.000  0.000  0.000
3.907  -0.073  0.490  -0.002  119.216  -2.883  571.337  0.000  0.000  0.000  0.000  0.000
5.352  0.046  0.570  0.002  133.933  1.395  1948.267  0.000  0.000  0.000  0.000  0.000
6.202  -0.122  0.641  -0.004  127.315  -3.984  3013.089  0.000  0.000  0.000  0.000  0.000
5.218  0.015  0.658  0.000  67.214  1.095  3153.983  0.000  0.000  0.000  0.000  0.000
3.287  0.012  0.635  0.000  -6.838  0.720  2439.137  0.000  0.000  0.000  0.000  0.000
2.091  0.011  0.621  0.000  -41.079  0.521  1485.406  0.000  0.000  0.000  0.000  0.000
1.054  0.005  0.603  -0.000  -62.318  0.209  487.314  0.000  0.000  0.000  0.000  0.000
0.925  -0.002  0.608  -0.000  -51.253  -0.040  -184.548  0.000  0.000  0.000  0.000  0.000
2.043  0.063  0.652  0.002  -5.395  1.920  -221.423  0.000  0.000  0.000  0.000  0.000
2.341  -0.123  0.679  -0.004  4.844  -4.119  -92.864  0.000  0.000  0.000  0.000  0.000
3.259  0.077  0.728  0.002  31.221  2.862  255.582  0.000  0.000  0.000  0.000  0.000
4.779  -0.002  0.805  -0.000  69.332  -0.188  983.206  0.000  0.000  0.000  0.000  0.000
5.964  0.054  0.882  0.002  88.224  1.531  1764.259  0.000  0.000  0.000  0.000  0.000
7.097  -0.065  0.968  -0.002  101.052  -2.412  2560.587  0.000  0.000  0.000  0.000  0.000
7.680  0.057  1.044  0.002  94.278  1.826  3090.776  0.000  0.000  0.000  0.000  0.000
7.633  0.039  1.104  0.002  70.234  0.866  3251.910  0.000  0.000  0.000  0.000  0.000
7.333  -0.124  1.155  -0.004  44.389  -4.251  3127.635  0.000  0.000  0.000  0.000  0.000
7.416  0.120  1.216  0.004  36.225  4.114  2876.926  0.000  0.000  0.000  0.000  0.000
8.259  -0.022  1.304  -0.000  52.812  -1.142  2900.231  0.000  0.000  0.000  0.000  0.000
8.512  0.036  1.378  0.002  47.736  0.878  2847.541  0.000  0.000  0.000  0.000  0.000
7.905  -0.026  1.426  -0.000  18.079  -1.195  2487.839  0.000  0.000  0.000  0.000  0.000
6.790  -0.019  1.452  -0.000  -19.723  -0.719  1773.172  0.000  0.000  0.000  0.000  0.000
6.060  0.041  1.482  0.002  -36.889  1.256  995.434  0.000  0.000  0.000  0.000  0.000
6.029  -0.076  1.530  -0.002  -28.957  -2.538  489.963  0.000  0.000  0.000  0.000  0.000
6.603  0.047  1.597  0.002  -4.781  1.759  326.239  0.000  0.000  0.000  0.000  0.000
7.880  0.086  1.692  0.003  34.670  2.510  632.333  0.000  0.000  0.000  0.000  0.000
8.329  -0.152  1.770  -0.004  39.814  -5.232  990.095  0.000  0.000  0.000  0.000  0.000
6.936  0.055  1.791  0.002  -11.518  2.211  647.220  0.000  0.000  0.000  0.000  0.000
2.853  -0.018  1.710  -0.000  -131.257  -0.486  -949.891  0.000  0.000  0.000  0.000  0.000
-1.210  -0.013  1.597  -0.000  -221.628  -0.235  -3241.318  0.000  0.000  0.000  0.000  0.000
-2.833  -0.010  1.534  -0.000  -217.134  -0.077  -5023.497  0.000  0.000  0.000  0.000  0.000
-3.713  -0.007  1.482  -0.000  -191.414  0.018  -6160.285  0.000  0.000  0.000  0.000  0.000
-3.464  0.102  1.460  0.003  -138.005  3.281  -6493.523  0.000  0.000  0.000  0.000  0.000
-2.757  -0.085  1.456  -0.002  -83.687  -3.100  -6105.312  0.000  0.000  0.000  0.000  0.000
-2.409  -0.061  1.446  -0.002  -53.174  -1.656  -5463.443  0.000  0.000  0.000  0.000  0.000
-1.944  0.004  1.442  -0.000  -26.453  0.703  -4667.882  0.000  0.000  0.000  0.000  0.000
-1.563  0.005  1.439  -0.000  -8.678  0.575  -3831.940  0.000  0.000  0.000  0.000  0.000
-1.558  -0.051  1.427  -0.002  -6.451  -1.255  -3125.829  0.000  0.000  0.000  0.000  0.000
-2.140  0.018  1.395  -0.000  -22.359  1.135  -2757.026  0.000  0.000  0.000  0.000  0.000
-2.648  -0.035  1.361  -0.002  -32.219  -0.755  -2559.318  0.000  0.000  0.000  0.000  0.000
-1.811  0.127  1.368  0.003  0.626  4.306  -2069.355  0.000  0.000  0.000  0.000  0.000
-1.229  -0.061  1.372  -0.002  17.929  -2.382  -1435.898  0.000  0.000  0.000  0.000  0.000
-0.465  -0.044  1.388  -0.002  36.542  -1.284  -728.860  0.000  0.000  0.000  0.000  0.000
-0.071  0.017  1.397  -0.000  39.592  0.852  -144.898  0.000  0.000  0.000  0.000  0.000
-1.388  0.014  1.353  -0.000  -9.428  0.540  -225.522  0.000  0.000  0.000  0.000  0.000
-3.398  0.012  1.275  -0.000  -67.460  0.363  -939.288  0.000  0.000  0.000  0.000  0.000
-3.984  0.011  1.228  0.000  -68.832  0.238  -1524.252  0.000  0.000  0.000  0.000  0.000
-4.474  0.054  1.180  0.002  -67.028  1.491  -1980.528  0.000  0.000  0.000  0.000  0.000
-4.831  -0.004  1.132  0.000  -61.658  -0.633  -2269.804  0.000  0.000  0.000  0.000  0.000
-5.470  -0.058  1.072  -0.002  -66.023  -2.084  -2539.607  0.000  0.000  0.000  0.000  0.000
-5.917  0.063  1.014  0.002  -63.577  2.054  -2757.504  0.000  0.000  0.000  0.000  0.000
-6.329  -0.064  0.953  -0.002  -60.676  -2.259  -2868.292  0.000  0.000  0.000  0.000  0.000
-6.788  0.062  0.887  0.002  -59.903  2.061  -2979.167  0.000  0.000  0.000  0.000  0.000
-7.571  -0.006  0.806  -0.000  -69.011  -0.483  -3151.711  0.000  0.000  0.000  0.000  0.000
-8.332  -0.006  0.720  -0.000  -75.267  -0.370  -3360.622  0.000  0.000  0.000  0.000  0.000
-8.791  -0.054  0.638  -0.002  -70.982  -1.719  -3469.970  0.000  0.000  0.000  0.000  0.000
-9.558  0.114  0.543  0.003  -76.941  3.735  -3663.282  0.000  0.000  0.000  0.000  0.000
-10.404  -0.077  0.438  -0.002  -83.872  -2.874  -3848.211  0.000  0.000  0.000  0.000  0.000
-11.383  0.002  0.322  0.000  -93.103  0.169  -4121.378  0.000  0.000  0.000  0.000  0.000
-12.325  -0.001  0.199  -0.000  -99.037  0.051  -4405.470  0.000  0.000  0.000  0.000  0.000
-13.147  -0.004  0.074  -0.000  -99.906  -0.066  -4641.500  0.000  0.000  0.000  0.000  0.000
-13.761  0.052  -0.052  0.002  -94.370  1.648  -4780.437  0.000  0.000  0.000  0.000  0.000
-14.147  -0.015  -0.175  -0.000  -83.284  -0.773  -4749.930  0.000  0.000  0.000  0.000  0.000
-13.727  0.039  -0.274  0.002  -50.699  1.046  -4373.354  0.000  0.000  0.000  0.000  0.000
-13.816  0.034  -0.387  0.002  -41.215  0.624  -3963.101  0.000  0.000  0.000  0.000  0.000
-14.625  -0.139  -0.525  -0.004  -55.575  -4.706  -3758.127  0.000  0.000  0.000  0.000  0.000
-13.649  0.111  -0.609  0.003  -12.971  3.935  -3178.634  0.000  0.000  0.000  0.000  0.000
-10.309  -0.080  -0.607  -0.002  90.340  -2.758  -1509.369  0.000  0.000  0.000  0.000  0.000
-7.540  0.051  -0.597  0.002  151.749  1.857  480.124  0.000  0.000  0.000  0.000  0.000
-8.490  0.036  -0.689  0.002  86.812  0.941  1348.747  0.000  0.000  0.000  0.000  0.000
-10.873  0.027  -0.836  0.002  -5.501  0.446  1011.630  0.000  0.000  0.000  0.000  0.000
-13.451  -0.032  -1.009  -0.000  -81.522  -1.419  -96.722  0.000  0.000  0.000  0.000  0.000
-15.756  0.073  -1.194  0.003  -131.121  2.075  -1563.619  0.000  0.000  0.000  0.000  0.000
-16.839  -0.156  -1.356  -0.004  -132.149  -5.286  -2694.845  0.000  0.000  0.000  0.000  0.000
-16.930  0.103  -1.494  0.003  -103.146  3.747  -3338.568  0.000  0.000  0.000  0.000  0.000
-16.806  -0.091  -1.625  -0.002  -74.682  -2.989  -3485.743  0.000  0.000  0.000  0.000  0.000
-16.008  0.044  -1.733  0.001  -32.819  1.782  -3168.281  0.000  0.000  0.000  0.000  0.000
-14.567  -0.023  -1.813  -0.000  18.304  -0.656  -2324.006  0.000  0.000  0.000  0.000  0.000
-12.937  -0.016  -1.875  -0.000  62.817  -0.270  -1153.017  0.000  0.000  0.000  0.000  0.000
-11.171  0.043  -1.920  0.002  100.717  1.565  194.621  0.000  0.000  0.000  0.000  0.000
-9.708  0.030  -1.960  0.001  120.423  0.780  1498.262  0.000  0.000  0.000  0.000  0.000
-7.618  -0.136  -1.968  -0.004  154.235  -4.395  2956.296  0.000  0.000  0.000  0.000  0.000
-5.861  0.052  -1.971  0.001  169.907  2.309  4249.322  0.000  0.000  0.000  0.000  0.000
-6.228  -0.009  -2.030  -0.000  118.141  -0.060  4719.444  0.000  0.000  0.000  0.000  0.000
-6.520  -0.011  -2.089  -0.000  81.004  -0.106  4679.240  0.000  0.000  0.000  0.000  0.000
-5.709  -0.058  -2.114  -0.002  85.894  -1.488  4711.905  0.000  0.000  0.000  0.000  0.000
-4.425  0.010  -2.117  -0.000  103.822  0.895  4922.014  0.000  0.000  0.000  0.000  0.000
-2.966  0.008  -2.104  -0.000  122.649  0.633  5302.991  0.000  0.000  0.000  0.000  0.000
-1.747  0.004  -2.087  -0.000  129.804  0.363  5689.736  0.000  0.000  0.000  0.000  0.000
-0.385  0.005  -2.056  -0.000  139.510  0.304  6108.174  0.000  0.000  0.000  0.000  0.000
1.489  0.009  -1.996  -0.000  162.251  0.333  6697.468  0.000  0.000  0.000  0.000  0.000
3.291  0.003  -1.924  -0.000  177.348  0.076  7339.667  0.000  0.000  0.000  0.000  0.000
4.289  0.004  -1.865  -0.000  164.738  0.095  7711.556  0.000  0.000  0.000  0.000  0.000
4.991  0.052  -1.807  0.001  146.269  1.513  7791.726  0.000  0.000  0.000  0.000  0.000
5.007  -0.009  -1.767  -0.000  111.639  -0.685  7483.445  0.000  0.000  0.000  0.000  0.000
4.531  -0.062  -1.742  -0.002  70.555  -2.116  6786.844  0.000  0.000  0.000  0.000  0.000
5.200  0.057  -1.684  0.001  73.699  1.980  6236.131  0.000  0.000  0.000  0.000  0.000
5.545  -0.009  -1.631  -0.000  66.360  -0.486  5731.499  0.000  0.000  0.000  0.000  0.000
5.336  -0.002  -1.593  -0.000  44.161  -0.163  5077.095  0.000  0.000  0.000  0.000  0.000
5.023  0.046  -1.561  0.001  24.167  1.307  4319.500  0.000  0.000  0.000  0.000  0.000
4.564  0.035  -1.536  0.001  4.603  0.687  3499.212  0.000  0.000  0.000  0.000  0.000
4.648  -0.028  -1.497  -0.000  6.024  -1.393  2874.518  0.000  0.000  0.000  0.000  0.000
4.692  -0.021  -1.458  -0.000  5.912  -0.843  2370.093  0.000  0.000  0.000  0.000  0.000
4.174  -0.020  -1.438  -0.000  -11.076  -0.597  1774.760  0.000  0.000  0.000  0.000  0.000
2.929  -0.004  -1.446  -0.000  -45.747  0.008  905.943  0.000  0.000  0.000  0.000  0.000
1.880  -0.009  -1.458  -0.000  -66.234  -0.146  -17.001  0.000  0.000  0.000  0.000  0.000
