OmegaControlKF
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  vel_motor[rad / s]
0.176010  0.043  0.012  -0.013  0.101  -0.000
0.178010  0.085  0.012  -0.013  0.102  -0.000
0.179010  0.042  0.012  -0.013  0.102  -0.000
0.181010  0.084  0.012  -0.013  0.103  -0.000
0.182010  0.041  0.012  -0.013  0.103  -0.000
0.183010  0.082  0.012  -0.013  0.104  -0.000
0.184010  0.081  0.012  -0.013  0.104  -0.000
0.186010  0.080  0.013  -0.013  0.105  -0.000
0.187010  0.040  0.013  -0.013  0.105  -0.000
0.189010  0.078  0.013  -0.013  0.106  -0.000
0.190010  0.039  0.013  -0.013  0.106  -0.000
0.191011  0.077  0.013  -0.013  0.106  -0.000
0.192011  0.076  0.013  -0.013  0.107  -0.000
0.193011  0.075  0.013  -0.013  0.107  -0.000
0.194011  0.074  0.013  -0.013  0.108  -0.000
0.195011  0.074  0.013  -0.013  0.108  -0.000
0.196011  0.073  0.013  -0.013  0.109  -0.000
0.197011  0.072  0.013  -0.013  0.109  -0.000
0.198011  0.072  0.013  -0.013  0.110  -0.000
0.199011  0.071  0.013  -0.013  0.110  -0.000
0.200011  0.070  0.014  -0.013  0.110  -0.000
0.201011  0.069  0.014  -0.013  0.111  -0.000
0.202011  0.052  0.014  -0.013  0.111  -0.000
0.203011  0.052  0.014  -0.013  0.112  -0.000
0.205011  0.051  0.014  -0.013  0.112  -0.000
0.206011  0.051  0.014  -0.013  0.113  -0.000
0.207011  0.064  0.014  -0.013  0.113  -0.000
0.208011  0.064  0.014  -0.013  0.114  -0.000
0.209012  0.063  0.014  -0.013  0.114  -0.000
0.210012  0.062  0.014  -0.013  0.114  -0.000
0.211012  0.062  0.014  -0.013  0.115  -0.000
0.212012  0.075  0.014  -0.013  0.115  -0.000
0.213012  0.074  0.014  -0.013  0.116  -0.000
0.214012  0.074  0.014  -0.013  0.116  -0.000
0.215012  0.073  0.014  -0.013  0.117  -0.000
0.216012  0.072  0.014  -0.013  0.117  -0.000
0.217012  0.056  0.015  -0.013  0.118  -0.000
0.218012  0.055  0.015  -0.013  0.118  -0.000
0.219012  0.055  0.015  -0.013  0.118  -0.000
0.220012  0.054  0.015  -0.013  0.119  -0.000
0.221012  0.054  0.015  -0.013  0.119  -0.000
0.222012  0.028  0.015  -0.013  0.119  -0.000
0.223012  0.027  0.015  -0.013  0.120  -0.000
0.224012  0.027  0.015  -0.013  0.121  -0.000
0.225012  0.027  0.015  -0.013  0.121  -0.000
0.226013  0.027  0.015  -0.013  0.122  -0.000
0.227013  0.010  0.015  -0.013  0.122  -0.000
0.228013  0.010  0.015  -0.013  0.122  -0.000
0.229013  0.010  0.015  -0.013  0.122  -0.000
0.230013  0.010  0.015  -0.013  0.123  -0.000
0.231013  0.010  0.015  -0.013  0.123  -0.000
0.232013  0.056  0.015  -0.013  0.123  -0.000
0.233013  0.055  0.015  -0.013  0.124  -0.000
0.234013  0.055  0.015  -0.013  0.124  -0.000
0.235013  0.054  0.015  -0.013  0.125  -0.000
0.236013  0.054  0.015  -0.013  0.126  -0.000
0.237013  -0.003  0.015  -0.013  0.126  -0.000
0.238013  -0.003  0.015  -0.013  0.126  -0.000
0.239013  -0.003  0.015  -0.013  0.127  -0.000
0.240013  -0.003  0.015  -0.013  0.127  -0.000
0.241013  -0.003  0.015  -0.013  0.127  -0.000
0.242013  0.014  0.015  -0.013  0.128  -0.000
0.243013  0.014  0.015  -0.013  0.128  -0.000
0.244014  0.014  0.015  -0.013  0.129  -0.000
0.245014  0.014  0.015  -0.013  0.129  -0.000
0.246014  0.014  0.015  -0.013  0.129  -0.000
0.247014  -0.027  0.015  -0.013  0.130  -0.000
0.248014  -0.027  0.015  -0.013  0.130  -0.000
0.249014  -0.026  0.015  -0.013  0.130  -0.000
0.250014  -0.026  0.015  -0.013  0.131  -0.000
0.251014  -0.026  0.015  -0.013  0.131  -0.000
0.252014  -0.024  0.015  -0.013  0.131  -0.000
0.253014  -0.024  0.015  -0.013  0.132  -0.000
0.254014  -0.023  0.015  -0.013  0.132  -0.000
0.255014  -0.023  0.015  -0.013  0.132  -0.000
0.256014  -0.023  0.015  -0.013  0.133  -0.000
0.257014  -0.038  0.015  -0.013  0.133  -0.000
0.258014  -0.038  0.015  -0.013  0.133  -0.000
0.259014  -0.038  0.015  -0.013  0.134  -0.000
0.260014  -0.037  0.015  -0.013  0.134  -0.000
0.261015  -0.037  0.015  -0.013  0.134  -0.000
0.262015  0.002  0.015  -0.013  0.135  -0.000
0.263015  0.002  0.015  -0.013  0.135  -0.000
0.264015  0.002  0.015  -0.013  0.136  -0.000
0.265015  0.002  0.015  -0.013  0.136  -0.000
0.266015  0.002  0.015  -0.013  0.136  -0.000
0.267015  -0.031  0.015  -0.013  0.137  -0.000
0.268015  -0.030  0.015  -0.013  0.137  -0.000
0.269015  -0.030  0.015  -0.013  0.138  -0.000
0.270015  -0.030  0.015  -0.013  0.138  -0.000
0.271015  -0.030  0.015  -0.013  0.139  -0.000
0.272015  -0.020  0.015  -0.013  0.139  -0.000
0.273015  -0.020  0.015  -0.013  0.139  -0.000
0.274015  -0.020  0.015  -0.013  0.140  -0.000
0.275015  -0.020  0.015  -0.013  0.140  -0.000
0.276015  -0.020  0.015  -0.013  0.140  -0.000
0.277015  -0.034  0.015  -0.013  0.141  -0.000
0.278015  -0.034  0.015  -0.013  0.141  -0.000
0.279016  -0.034  0.014  -0.013  0.141  -0.000
0.280016  -0.033  0.014  -0.013  0.142  -0.000
0.281016  -0.033  0.014  -0.013  0.142  -0.000
0.282016  -0.018  0.014  -0.013  0.142  -0.000
0.283016  -0.017  0.014  -0.013  0.142  -0.000
0.284016  -0.017  0.014  -0.013  0.143  -0.000
0.285016  -0.017  0.014  -0.013  0.143  -0.000
0.286016  -0.017  0.014  -0.013  0.143  -0.000
