qASGD: [2021-12-08-19-38-34]

1.114,0.134,0.427,-0.256
1.120,-0.497,0.462,-0.263
1.127,-0.386,-0.167,-0.264
1.135,-0.286,0.457,-0.266
1.140,-0.395,-0.169,-0.268
1.147,-0.510,0.445,-0.270
1.154,0.102,0.564,-0.266
1.161,-0.450,0.233,-0.272
1.168,-0.742,0.808,-0.277
1.175,-0.467,0.253,-0.276
1.182,-0.149,0.798,-0.274
1.188,-0.519,0.271,-0.280
1.229,-0.479,0.902,-0.281
1.234,-0.301,0.078,-0.290
1.242,-0.368,0.705,-0.292
1.248,-0.314,0.079,-0.293
1.255,-0.730,0.577,-0.297
1.263,-0.117,0.440,-0.293
1.269,-0.677,0.152,-0.298
1.276,-0.040,0.119,-0.299
1.282,-0.620,0.357,-0.303
1.288,-0.040,0.121,-0.302
1.295,-0.568,0.474,-0.306
1.301,-0.384,-0.112,-0.307
1.307,-0.576,0.493,-0.309
1.313,-0.212,-0.006,-0.309
1.319,-0.651,0.459,-0.312
1.325,-0.083,0.214,-0.310
1.332,-0.699,0.358,-0.315
1.337,-0.114,0.618,-0.312
1.345,-0.527,0.160,-0.316
1.351,-0.084,0.621,-0.315
1.357,-0.594,0.278,-0.320
1.363,-0.022,0.023,-0.320
1.370,-0.479,0.437,-0.323
1.376,-0.567,-0.181,-0.325
1.382,-0.339,0.408,-0.326
1.387,-0.658,-0.132,-0.328
1.395,-0.500,0.476,-0.330
1.401,-0.056,0.021,-0.330
1.407,-0.496,0.464,-0.333
1.414,-0.048,0.025,-0.332
1.421,-0.584,0.354,-0.336
1.462,0.039,0.368,-0.333
1.467,-0.815,0.321,-0.349
1.475,-0.192,0.359,-0.347
1.482,-0.829,0.316,-0.352
1.489,-0.194,0.367,-0.350
1.496,-0.814,0.302,-0.355
1.503,-0.191,0.390,-0.354
1.509,-0.733,0.057,-0.357
1.516,-0.256,0.462,-0.357
1.523,-0.512,-0.116,-0.359
1.529,-0.374,0.501,-0.361
1.535,-0.993,0.535,-0.367
1.541,-0.441,0.218,-0.366
1.546,0.105,-0.081,-0.367
1.552,-0.477,0.143,-0.368
1.560,0.073,0.436,-0.367
1.566,-0.541,0.551,-0.374
1.573,-0.301,-0.036,-0.374
1.580,-0.599,0.515,-0.377
1.586,-0.114,0.108,-0.376
1.592,-0.664,0.389,-0.380
1.599,-0.043,0.319,-0.377
1.606,-0.682,0.393,-0.384
1.611,-0.117,0.123,-0.382
1.618,-0.405,0.672,-0.386
1.624,-0.619,0.082,-0.389
1.629,-0.388,0.666,-0.389
1.635,-0.413,0.043,-0.390
1.642,-0.451,0.675,-0.392
1.649,-0.404,0.049,-0.393
1.655,-0.469,0.682,-0.395
1.697,-0.112,0.169,-0.394
1.704,-0.931,0.262,-0.406
1.711,-0.312,0.403,-0.404
1.717,-0.818,0.024,-0.408
1.724,-0.361,0.452,-0.407
1.731,-0.834,0.026,-0.411
1.738,-0.372,0.454,-0.410
1.745,-0.527,-0.157,-0.413
1.752,-0.432,0.458,-0.414
1.759,0.154,0.209,-0.412
1.765,-0.450,0.380,-0.417
1.773,-0.410,-0.250,-0.419
1.781,-0.464,0.382,-0.421
1.787,-0.390,-0.238,-0.422
1.793,-0.474,0.396,-0.424
1.800,0.163,0.412,-0.421
1.807,-0.469,0.387,-0.428
1.813,0.169,0.453,-0.425
1.820,-0.416,0.233,-0.430
1.826,-0.950,0.566,-0.435
1.832,-0.441,0.209,-0.433
1.838,0.163,0.316,-0.431
1.845,-0.479,0.392,-0.437
1.852,-0.004,-0.009,-0.437
1.859,-0.482,0.395,-0.440
1.866,0.001,-0.011,-0.440
1.872,-0.477,0.393,-0.443
1.879,-0.896,-0.077,-0.446
1.887,-0.388,0.287,-0.446
1.893,-0.990,0.500,-0.452
1.899,-0.365,0.373,-0.450
1.934,-0.089,-0.185,-0.451
1.941,-0.524,0.441,-0.458
1.947,-0.383,-0.171,-0.460
1.954,-0.324,0.458,-0.461
1.961,-0.922,0.272,-0.466
1.967,-0.318,0.420,-0.464
1.974,-0.752,-0.039,-0.467
1.980,-0.234,0.320,-0.468
1.985,-0.816,0.123,-0.471
1.992,-0.352,0.546,-0.470
1.998,-0.829,0.138,-0.474
2.004,-0.291,0.457,-0.473
2.011,-0.908,0.319,-0.479
2.017,-0.298,0.435,-0.476
2.024,-0.418,-0.185,-0.478
2.030,-0.522,0.446,-0.480
2.036,-0.208,-0.108,-0.481
2.043,-0.538,0.427,-0.483
2.049,0.092,0.429,-0.480
2.055,-0.501,0.247,-0.485
2.061,-0.122,0.737,-0.483
2.089,-0.440,0.089,-0.491
2.095,-0.144,0.646,-0.491
2.101,-0.688,0.336,-0.497
2.108,-0.086,0.515,-0.494
2.114,-0.538,0.077,-0.498
2.121,-0.489,0.704,-0.499
2.127,-0.308,0.096,-0.499
2.134,-0.477,0.704,-0.502
2.139,-0.643,0.086,-0.505
2.147,-0.132,0.431,-0.504
2.187,-0.699,0.186,-0.508
2.195,-0.090,0.667,-0.512
2.202,-0.565,0.230,-0.518
