acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rpm]  actual_Vel[rpm]  Voltage[V]
0.049  -0.015  0.004  0.000  93.045      0  0.000
0.039  -0.004  0.003  0.001  92.759      0  0.000
0.025  -0.000  0.003  0.000  96.044      0  0.000
0.004  -0.007  0.002  -0.001  92.922      0  0.000
-0.010  -0.008  0.003  -0.001  94.387      0  0.000
-0.004  0.000  0.004  -0.000  101.466      0  0.000
0.011  0.005  0.005  -0.000  115.601      0  0.000
0.027  0.009  0.005  0.000  125.926      0  0.000
0.025  0.007  0.005  0.001  132.467      0  0.000
0.021  0.004  0.004  0.000  135.777      0  0.000
0.023  -0.002  0.004  -0.000  135.025      0  0.000
0.025  -0.004  0.004  -0.001  138.092      0  0.000
0.020  0.003  0.004  -0.000  139.556      0  0.000
0.013  0.003  0.004  -0.001  137.588      0  0.000
-0.000  -0.002  0.004  -0.000  135.126      0  0.000
-0.007  -0.003  0.005  0.001  138.920      0  0.000
-0.015  -0.001  0.004  0.000  135.137      0  0.000
-0.011  -0.001  0.004  0.000  134.746      0  0.000
-0.018  0.005  0.002  0.001  122.642      0  0.000
-0.023  0.012  0.002  0.001  113.391      0  0.000
-0.028  0.013  0.002  0.000  103.750      0  0.000
-0.036  0.014  0.002  0.000  93.983      0  0.000
-0.030  0.005  0.003  -0.000  95.840      0  0.000
-0.021  0.008  0.003  0.001  100.087      0  0.000
-0.023  -0.004  0.002  -0.001  92.792      0  0.000
-0.026  -0.007  0.001  0.000  84.179      0  0.000
-0.019  -0.006  0.002  0.000  78.928      0  0.000
-0.017  -0.004  0.001  0.000  73.227      0  0.000
-0.005  -0.006  0.002  0.000  75.136      0  0.000
-0.006  -0.003  0.002  -0.000  71.829      0  0.000
-0.012  0.004  0.001  0.001  63.788      0  0.000
-0.023  0.004  0.000  0.000  51.011      0  0.000
-0.035  0.009  0.000  0.001  40.814      0  0.000
-0.030  0.014  0.001  0.002  38.455      0  0.000
-0.017  0.013  0.001  -0.000  40.088      0  0.000
-0.017  -0.003  0.000  -0.001  35.104      0  0.000
-0.024  -0.017  -0.001  -0.002  24.510      0  0.000
-0.029  -0.028  -0.001  -0.002  14.143      0  0.000
-0.040  -0.028  -0.002  -0.001  -2.844      0  0.000
-0.031  -0.031  -0.000  -0.001  -5.383      0  0.000
-0.033  -0.029  -0.002  -0.000  -19.286      0  0.000
-0.029  -0.031  -0.001  -0.002  -21.239      0  0.000
-0.031  -0.031  -0.001  -0.002  -25.765      0  0.000
-0.036  -0.018  -0.002  -0.001  -33.720      0  0.000
-0.038  0.003  -0.003  -0.001  -46.822      0  0.000
-0.033  0.011  -0.003  -0.001  -58.030      0  0.000
-0.029  0.013  -0.003  -0.001  -66.161      0  0.000
-0.036  0.012  -0.004  -0.000  -82.495      0  0.000
-0.038  0.015  -0.004  0.001  -92.938      0  0.000
-0.040  0.020  -0.003  0.000  -94.913      0  0.000
-0.025  0.015  -0.002  -0.001  -91.409      0  0.000
-0.018  0.019  -0.002  -0.000  -85.642      0  0.000
-0.003  0.006  -0.002  -0.002  -82.681      0  0.000
0.003  -0.000  -0.003  -0.001  -88.260      0  0.000
0.000  -0.006  -0.004  -0.001  -101.015      0  0.000
-0.008  -0.013  -0.005  -0.002  -112.956      0  0.000
-0.007  -0.020  -0.004  -0.002  -114.256      0  0.000
-0.004  -0.030  -0.003  -0.002  -113.838      0  0.000
-0.005  -0.031  -0.002  -0.002  -106.569      0  0.000
-0.003  -0.026  -0.002  -0.002  -97.047      0  0.000
0.010  -0.015  -0.001  -0.001  -81.670      0  0.000
0.034  -0.007  0.001  -0.001  -60.004      0  0.000
0.054  0.002  0.000  -0.001  -45.903      0  0.000
0.075  0.004  0.001  -0.001  -28.030      0  0.000
0.093  0.016  0.003  -0.000  -3.838      0  0.000
0.093  0.027  0.002  0.000  12.486      0  0.000
0.079  0.034  0.001  0.001  19.931      0  0.000
0.110  0.041  0.009  0.001  77.471      0  0.000
0.092  0.035  0.003  0.000  81.192      0  0.000
0.016  0.027  -0.007  -0.000  15.574      0  0.000
0.115  0.019  0.022  0.000  159.326      0  0.000
0.265  0.017  0.034  0.001  358.059      0  0.000
0.385  0.014  0.034  0.000  516.601      0  0.000
0.440  0.006  0.030  0.000  615.166      0  0.000
0.416  -0.005  0.021  -0.000  631.679      0  0.000
0.350  -0.013  0.015  -0.001  608.672      0  0.000
0.247  -0.020  0.012  -0.001  567.351      0  0.000
0.097  -0.017  0.007  -0.000  497.872      0  0.000
-0.029  -0.011  0.003  -0.000  416.357      0  0.000
-0.234  -0.010  -0.005  -0.000  298.688      0  0.000
-0.527  -0.018  -0.010  -0.001  171.188      0  0.000
-0.622  -0.023  -0.010  -0.002  66.568      0  0.000
-0.582  -0.029  -0.008  -0.003  -0.933      0  0.000
-0.480  -0.033  -0.005  -0.003  -35.840      0  0.000
-0.350  -0.038  -0.003  -0.004  -50.889      0  0.000
