acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  acc_motor[rad/s2]  actual_Vel[rad/s]
0.111  0.005  0.119  0.000  0.040  0.006  0.042  0.000      0
0.169  0.002  0.156  -0.001  0.132  0.001  0.175  0.000      0
0.256  0.005  0.211  0.000  0.268  0.006  0.432  0.000      0
0.290  0.007  0.234  0.002  0.319  0.010  0.697  0.000      0
0.267  -0.004  0.222  -0.005  0.278  -0.009  0.850  0.000      0
0.104  0.005  0.123  0.001  0.015  0.006  0.696  0.000      0
-0.137  0.005  -0.027  0.000  -0.371  0.005  0.153  0.000      0
-0.266  0.002  -0.109  -0.001  -0.573  0.001  -0.503  0.000      0
-0.241  0.005  -0.095  0.001  -0.526  0.005  -0.972  0.000      0
-0.137  0.002  -0.033  -0.001  -0.353  0.001  -1.164  0.000      0
-0.133  0.005  -0.031  0.001  -0.341  0.006  -1.300  0.000      0
-0.203  0.001  -0.076  -0.001  -0.450  0.000  -1.530  0.000      0
-0.126  0.002  -0.029  -0.001  -0.320  0.000  -1.573  0.000      0
-0.056  0.004  0.013  0.001  -0.204  0.005  -1.478  0.000      0
-0.034  0.007  0.027  0.002  -0.166  0.010  -1.357  0.000      0
0.009  0.001  0.053  -0.001  -0.096  -0.000  -1.192  0.000      0
0.071  0.001  0.092  -0.001  0.005  -0.000  -0.949  0.000      0
0.069  0.004  0.092  0.001  0.002  0.005  -0.755  0.000      0
-0.029  0.004  0.031  0.000  -0.155  0.004  -0.771  0.000      0
-0.153  0.004  -0.047  0.001  -0.351  0.005  -0.996  0.000      0
-0.200  0.001  -0.078  -0.001  -0.423  -0.001  -1.259  0.000      0
-0.229  0.001  -0.097  -0.001  -0.463  -0.000  -1.512  0.000      0
-0.303  0.007  -0.145  0.002  -0.575  0.009  -1.829  0.000      0
-0.263  0.004  -0.123  0.000  -0.504  0.004  -2.009  0.000      0
-0.097  0.004  -0.021  0.000  -0.231  0.004  -1.856  0.000      0
0.020  0.004  0.051  0.000  -0.042  0.003  -1.528  0.000      0
-0.022  0.006  0.025  0.002  -0.108  0.008  -1.334  0.000      0
-0.166  -0.005  -0.065  -0.005  -0.337  -0.011  -1.442  0.000      0
-0.140  0.001  -0.050  -0.001  -0.291  -0.001  -1.472  0.000      0
-0.056  0.010  0.002  0.004  -0.153  0.013  -1.334  0.000      0
-0.061  -0.002  -0.002  -0.003  -0.159  -0.006  -1.246  0.000      0
-0.046  0.001  0.007  -0.001  -0.134  -0.001  -1.143  0.000      0
-0.024  0.004  0.020  0.000  -0.097  0.003  -1.018  0.000      0
-0.100  0.004  -0.028  0.001  -0.218  0.003  -1.049  0.000      0
-0.146  0.006  -0.058  0.002  -0.289  0.007  -1.148  0.000      0
-0.032  -0.002  0.013  -0.003  -0.101  -0.006  -1.033  0.000      0
0.045  0.001  0.061  -0.001  0.022  -0.002  -0.804  0.000      0
0.027  0.007  0.050  0.002  -0.006  0.008  -0.644  0.000      0
0.027  -0.002  0.050  -0.003  -0.006  -0.006  -0.527  0.000      0
0.100  0.001  0.096  -0.001  0.110  -0.002  -0.303  0.000      0
0.019  0.004  0.046  0.001  -0.020  0.003  -0.263  0.000      0
-0.085  0.001  -0.019  -0.001  -0.186  -0.002  -0.415  0.000      0
-0.144  -0.002  -0.056  -0.003  -0.279  -0.006  -0.640  0.000      0
-0.149  0.010  -0.060  0.004  -0.282  0.013  -0.811  0.000      0
-0.054  -0.005  -0.002  -0.005  -0.127  -0.011  -0.795  0.000      0
-0.034  0.004  0.009  0.001  -0.095  0.004  -0.737  0.000      0
-0.114  0.004  -0.041  0.001  -0.221  0.003  -0.828  0.000      0
-0.159  0.001  -0.070  -0.001  -0.289  -0.002  -0.978  0.000      0
-0.145  0.001  -0.062  -0.001  -0.264  -0.002  -1.071  0.000      0
-0.063  0.004  -0.012  0.001  -0.129  0.003  -0.995  0.000      0
0.039  0.001  0.051  -0.001  0.036  -0.002  -0.758  0.000      0
0.048  0.001  0.057  -0.001  0.049  -0.001  -0.553  0.000      0
-0.017  0.007  0.017  0.003  -0.056  0.008  -0.498  0.000      0
-0.137  -0.005  -0.058  -0.004  -0.246  -0.011  -0.674  0.000      0
-0.242  0.004  -0.125  0.001  -0.412  0.003  -0.984  0.000      0
-0.229  0.004  -0.119  0.001  -0.385  0.003  -1.203  0.000      0
-0.105  0.003  -0.043  0.001  -0.182  0.003  -1.158  0.000      0
-0.034  0.004  0.000  0.001  -0.066  0.003  -0.995  0.000      0
-0.066  0.000  -0.020  -0.001  -0.116  -0.002  -0.924  0.000      0
-0.038  0.001  -0.003  -0.001  -0.069  -0.002  -0.815  0.000      0
0.069  0.006  0.064  0.003  0.103  0.007  -0.535  0.000      0
0.264  0.009  0.186  0.004  0.412  0.011  0.030  0.000      0
0.691  -0.003  0.455  -0.003  1.091  -0.007  1.204  0.000      0
1.134  0.000  0.738  -0.001  1.786  -0.003  2.903  0.000      0
1.230  0.003  0.807  0.001  1.917  0.002  4.406  0.000      0
1.109  0.003  0.741  0.001  1.699  0.002  5.370  0.000      0
0.997  0.003  0.680  0.001  1.497  0.002  5.921  0.000      0
1.043  -0.003  0.717  -0.003  1.552  -0.008  6.414  0.000      0
1.584  0.006  1.063  0.003  2.398  0.007  7.739  0.000      0
1.949  0.003  1.304  0.001  2.951  0.002  9.395  0.000      0
2.506  0.000  1.667  -0.001  3.804  -0.003  11.643  0.000      0
3.038  0.000  2.020  -0.001  4.607  -0.003  14.313  0.000      0
3.434  0.000  2.292  -0.001  5.182  -0.003  17.071  0.000      0
3.705  0.003  2.489  0.001  5.549  0.002  19.678  0.000      0
3.775  0.006  2.562  0.002  5.590  0.006  21.810  0.000      0
3.812  0.000  2.615  -0.001  5.577  -0.003  23.493  0.000      0
3.693  0.006  2.571  0.002  5.315  0.006  24.559  0.000      0
3.088  -0.000  2.223  -0.001  4.280  -0.004  24.278  0.000      0
2.332  0.003  1.775  0.001  3.015  0.001  22.683  0.000      0
1.589  -0.000  1.329  -0.001  1.787  -0.004  20.068  0.000      0
0.692  0.003  0.781  0.001  0.329  0.001  16.397  0.000      0
-0.057  -0.000  0.319  -0.001  -0.873  -0.004  12.152  0.000      0
-0.303  0.005  0.164  0.002  -1.256  0.006  8.350  0.000      0
-0.043  -0.000  0.325  -0.001  -0.823  -0.004  5.776  0.000      0
0.374  -0.000  0.585  -0.001  -0.146  -0.003  4.455  0.000      0
0.569  0.003  0.710  0.001  0.168  0.001  3.745  0.000      0
0.665  -0.000  0.774  -0.001  0.319  -0.004  3.337  0.000      0
0.871  -0.000  0.909  -0.001  0.646  -0.003  3.367  0.000      0
1.140  0.003  1.083  0.001  1.067  0.001  3.852  0.000      0
1.276  0.002  1.178  0.001  1.272  0.001  4.463  0.000      0
1.303  0.003  1.205  0.001  1.299  0.001  4.980  0.000      0
1.287  -0.000  1.205  -0.001  1.256  -0.004  5.344  0.000      0
1.043  0.005  1.063  0.003  0.849  0.006  5.199  0.000      0
0.480  0.002  0.719  0.001  -0.062  0.001  4.088  0.000      0
0.094  -0.004  0.482  -0.003  -0.679  -0.009  2.523  0.000      0
-0.022  0.002  0.410  0.001  -0.856  0.001  1.086  0.000      0
-0.056  -0.001  0.389  -0.001  -0.899  -0.004  -0.111  0.000      0
0.040  0.005  0.448  0.002  -0.734  0.005  -0.883  0.000      0
0.214  -0.006  0.557  -0.005  -0.447  -0.013  -1.200  0.000      0
0.464  0.003  0.715  0.001  -0.041  0.001  -1.002  0.000      0
0.710  0.005  0.873  0.002  0.354  0.006  -0.411  0.000      0
0.806  0.002  0.938  0.001  0.502  0.001  0.219  0.000      0
0.806  0.002  0.945  0.001  0.496  0.000  0.716  0.000      0
0.681  0.002  0.874  0.001  0.290  0.000  0.889  0.000      0
-0.056  -0.001  0.418  -0.001  -0.893  -0.004  -0.263  0.000      0
-1.507  0.002  -0.489  0.001  -3.203  0.001  -3.692  0.000      0
-3.014  0.002  -1.443  0.001  -5.573  0.001  -9.010  0.000      0
-3.858  0.005  -1.995  0.002  -6.853  0.005  -14.648  0.000      0
-3.785  -0.004  -1.980  -0.003  -6.647  -0.009  -18.941  0.000      0
-3.234  0.002  -1.666  0.001  -5.682  0.001  -21.315  0.000      0
-2.742  -0.001  -1.384  -0.001  -4.821  -0.004  -22.278  0.000      0
-2.576  -0.001  -1.303  -0.001  -4.495  -0.004  -22.694  0.000      0
-2.470  -0.001  -1.257  -0.001  -4.267  -0.004  -22.778  0.000      0
-2.189  0.002  -1.101  0.001  -3.763  0.001  -22.294  0.000      0
-1.847  0.005  -0.905  0.002  -3.167  0.005  -21.256  0.000      0
-1.507  -0.001  -0.707  -0.001  -2.584  -0.004  -19.798  0.000      0
-1.085  -0.001  -0.455  -0.001  -1.874  -0.004  -17.863  0.000      0
-0.743  0.002  -0.250  0.001  -1.303  0.001  -15.690  0.000      0
-0.437  -0.001  -0.065  -0.001  -0.797  -0.004  -13.407  0.000      0
-0.210  0.002  0.074  0.001  -0.424  0.001  -11.174  0.000      0
-0.138  -0.001  0.117  -0.001  -0.302  -0.004  -9.261  0.000      0
-0.184  0.002  0.087  0.001  -0.374  0.001  -7.805  0.000      0
-0.372  -0.001  -0.032  -0.001  -0.670  -0.003  -6.968  0.000      0
-0.588  0.005  -0.170  0.002  -1.006  0.005  -6.657  0.000      0
-0.807  -0.007  -0.311  -0.005  -1.343  -0.013  -6.789  0.000      0
-0.973  0.002  -0.422  0.001  -1.591  0.001  -7.155  0.000      0
-1.129  0.005  -0.527  0.003  -1.822  0.006  -7.694  0.000      0
-1.546  0.002  -0.797  0.001  -2.465  0.001  -8.828  0.000      0
-2.078  0.002  -1.141  0.001  -3.284  0.001  -10.625  0.000      0
-2.240  0.002  -1.259  0.001  -3.502  0.000  -12.298  0.000      0
