acc_{hum}[rpm/s]  acc_{exo}[rpm/s]  vel_{hum}[rpm]  vel_{exo}[rpm]  vel_{motor}[rpm]  actual\_Vel[rpm]  Voltage[V]
0.009  -91.857  0.001  0.000  24.290     -5  0.032
0.005  -74.827  -0.001  0.000  -24.563     -4  0.025
-0.002  -54.374  -0.001  0.000  -22.997     -4  0.025
-0.006  -28.814  -0.000  0.000  2.188     -4  0.025
-0.001  8.153  -0.000  0.000  -8.457     -3  0.019
-0.002  37.997  -0.000  0.000  -8.024     -3  0.019
0.005  53.152  -0.000  0.000  -2.281     -2  0.013
0.008  60.927  0.000  0.000  7.105     -2  0.013
0.002  53.238  -0.001  0.000  -30.324     -2  0.013
0.005  46.004  0.000  0.000  17.412     -2  0.013
0.008  42.715  0.001  0.000  22.544     -1  0.006
0.012  42.348  -0.000  0.000  -12.400     -1  0.006
0.004  42.696  -0.001  0.000  -23.829     -1  0.006
-0.004  37.423  -0.001  0.000  -25.232     -1  0.006
-0.008  32.729  -0.001  0.000  -37.724      0  0.000
-0.014  31.097  -0.001  0.000  -39.722      0  0.000
-0.016  28.363  -0.001  0.000  -23.254      0  0.000
-0.014  29.572  -0.000  0.000  -14.881      0  0.000
-0.010  28.358  -0.001  0.000  -22.669      0  0.000
-0.017  13.174  -0.001  0.000  -37.255     -2  0.013
-0.012  -20.852  -0.001  0.000  -19.696     -5  0.032
-0.004  -47.912  -0.001  0.000  -24.626     -5  0.032
0.002  -81.495  -0.001  0.000  -6.187     -8  0.051
0.007  -117.841  -0.000  0.000  11.347    -10  0.063
0.009  -145.781  -0.001  0.000  -2.109    -10  0.063
0.006  -173.109  -0.001  0.000  -7.809    -13  0.082
-0.005  -193.801  -0.002  0.000  -38.197    -14  0.089
-0.006  -188.567  -0.001  0.000  -18.676    -12  0.076
0.003  -165.018  0.000  0.000  25.144    -12  0.076
0.012  -116.836  0.001  0.000  32.842    -10  0.063
0.016  -70.334  0.001  0.000  38.673    -10  0.063
0.013  -27.273  -0.001  0.000  -4.498     -8  0.051
0.005  16.280  -0.001  0.000  -25.141     -8  0.051
0.004  51.170  -0.001  0.000  -6.988     -7  0.044
0.005  79.599  -0.001  0.000  -15.781     -6  0.038
0.002  109.335  -0.001  0.000  -25.663     -5  0.032
