accBasedPosition [2021-02-13-21-39-20]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  theta_m[rad]
0.148008  0.051  0.006  -0.006  0.000  0.000
0.149008  0.041  0.006  -0.006  0.000  0.000
0.150008  0.041  0.006  -0.006  0.000  0.000
0.151008  0.041  0.006  -0.006  0.000  0.000
0.152008  0.041  0.006  -0.006  0.000  0.000
0.153008  0.041  0.006  -0.006  0.000  0.000
0.154008  0.041  0.006  -0.006  0.000  0.000
0.155008  0.041  0.006  -0.006  0.000  0.000
0.156009  -0.019  0.006  -0.006  0.000  0.000
0.157009  -0.019  0.006  -0.006  0.000  0.000
0.158009  -0.019  0.006  -0.006  0.000  0.000
0.159009  -0.019  0.006  -0.006  0.000  0.000
0.161009  -0.019  0.006  -0.006  0.000  0.000
0.163009  -0.019  0.006  -0.006  0.000  0.000
0.164009  -0.019  0.006  -0.006  0.000  0.000
0.165009  0.038  0.006  -0.006  0.000  0.000
0.166009  0.038  0.006  -0.006  0.000  0.000
0.167009  0.038  0.006  -0.006  0.000  0.000
0.168009  0.038  0.006  -0.006  0.000  0.000
0.169009  0.038  0.006  -0.006  0.000  0.000
0.170009  0.038  0.006  -0.006  0.000  0.000
0.171009  0.038  0.006  -0.006  0.000  0.000
0.172009  0.030  0.006  -0.006  0.000  0.000
0.173009  0.030  0.006  -0.006  0.000  0.000
0.174010  0.030  0.006  -0.006  0.000  0.000
0.175010  0.030  0.006  -0.006  0.000  0.000
0.176010  0.030  0.006  -0.006  0.000  0.000
0.177010  0.030  0.006  -0.006  0.000  0.000
0.178010  0.030  0.006  -0.006  0.000  0.000
0.179010  0.024  0.007  -0.006  0.000  0.000
0.180010  0.024  0.007  -0.006  0.000  0.000
0.181010  0.024  0.007  -0.006  0.000  0.000
0.182010  0.024  0.007  -0.006  0.000  0.000
0.183010  0.024  0.007  -0.006  0.000  0.000
0.184010  0.024  0.007  -0.006  0.000  0.000
0.185010  0.024  0.007  -0.006  0.000  0.000
0.186010  0.019  0.007  -0.006  0.000  0.000
0.187010  0.019  0.007  -0.006  0.000  0.000
0.188010  0.019  0.007  -0.006  0.000  0.000
0.189010  0.019  0.007  -0.006  0.000  0.000
0.190010  0.019  0.007  -0.006  0.000  0.000
0.191011  0.019  0.007  -0.006  0.000  0.000
0.192011  0.019  0.007  -0.006  0.000  0.000
0.193011  0.016  0.007  -0.006  0.000  0.000
0.194011  0.016  0.007  -0.006  0.000  0.000
0.195011  0.016  0.007  -0.006  0.000  0.000
0.196011  0.016  0.007  -0.006  0.000  0.000
0.197011  0.016  0.007  -0.006  0.000  0.000
0.198011  0.016  0.007  -0.006  0.000  0.000
0.199011  0.016  0.007  -0.006  0.000  0.000
0.200011  0.012  0.007  -0.006  0.000  0.000
0.201011  0.012  0.007  -0.006  0.000  0.000
0.202011  0.012  0.007  -0.006  0.000  0.000
0.203011  0.012  0.007  -0.006  0.000  0.000
0.204011  0.012  0.007  -0.006  0.000  0.000
0.205011  0.012  0.007  -0.006  0.000  0.000
0.206011  0.012  0.007  -0.006  0.000  0.000
0.207011  -0.042  0.007  -0.006  0.000  0.000
0.208011  -0.042  0.007  -0.006  0.000  0.000
0.209012  -0.042  0.007  -0.006  0.000  0.000
0.210012  -0.042  0.007  -0.006  0.000  0.000
0.211012  -0.042  0.007  -0.006  0.000  0.000
0.212012  -0.042  0.007  -0.006  0.000  0.000
0.213012  -0.042  0.007  -0.006  0.000  0.000
0.214012  -0.079  0.006  -0.006  0.000  0.000
0.215012  -0.079  0.006  -0.006  0.000  0.000
0.216012  -0.079  0.006  -0.006  0.000  0.000
0.217012  -0.079  0.006  -0.006  0.000  0.000
0.218012  -0.079  0.006  -0.006  0.000  0.000
0.219012  -0.079  0.006  -0.006  0.000  0.000
0.220012  -0.079  0.006  -0.006  0.000  0.000
0.221012  -0.014  0.006  -0.006  0.000  0.000
0.222012  -0.014  0.006  -0.006  0.000  0.000
0.223012  -0.014  0.006  -0.006  0.000  0.000
0.224012  -0.014  0.006  -0.006  0.000  0.000
0.225012  -0.014  0.006  -0.006  0.000  0.000
0.226013  -0.014  0.006  -0.006  0.000  0.000
0.227013  -0.014  0.006  -0.006  0.000  0.000
0.228013  -0.010  0.006  -0.006  0.000  0.000
0.229013  -0.010  0.006  -0.006  0.000  0.000
0.230013  -0.010  0.006  -0.006  0.000  0.000
0.231013  -0.010  0.006  -0.006  0.000  0.000
0.232013  -0.010  0.006  -0.006  0.000  0.000
0.233013  -0.010  0.006  -0.006  0.000  0.000
0.234013  -0.010  0.006  -0.006  0.000  0.000
0.235013  -0.013  0.006  -0.006  0.000  0.000
0.236013  -0.013  0.006  -0.006  0.000  0.000
0.237013  -0.013  0.006  -0.006  0.000  0.000
0.238013  -0.013  0.006  -0.006  0.000  0.000
0.239013  -0.013  0.006  -0.006  0.000  0.000
0.240013  -0.013  0.006  -0.006  0.000  0.000
0.241013  -0.013  0.006  -0.006  0.000  0.000
0.242013  0.038  0.006  -0.006  0.000  0.000
0.243013  0.038  0.006  -0.006  0.000  0.000
0.244014  0.038  0.006  -0.006  0.000  0.000
0.245014  0.038  0.006  -0.006  0.000  0.000
0.246014  0.038  0.006  -0.006  0.000  0.000
0.247014  0.038  0.006  -0.006  0.000  0.000
0.248014  0.038  0.006  -0.006  0.000  0.000
0.249014  -0.063  0.006  -0.006  0.000  0.000
0.250014  -0.063  0.006  -0.006  0.000  0.000
0.251014  -0.063  0.006  -0.006  0.000  0.000
0.252014  -0.063  0.006  -0.006  0.000  0.000
0.253014  -0.063  0.006  -0.006  0.000  0.000
0.254014  -0.063  0.006  -0.006  0.000  0.000
0.255014  -0.063  0.006  -0.006  0.000  0.000
