acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  exo_Vel[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]  theta_c[rad]  theta_l[rad]
0.006  0.012  0.004  -0.000  0.008  0.027  1.931  0.000  0.000  0.000  0.000  0.000
-0.012  0.006  -0.002  -0.002  -0.048  0.007  0.885  0.000  0.000  0.000  0.000  0.000
-0.030  0.012  -0.008  -0.000  -0.105  0.025  -0.668  0.000  0.000  0.000  0.000  0.000
-0.022  0.012  -0.005  -0.000  -0.078  0.024  -1.589  0.000  0.000  0.000  0.000  0.000
-0.020  0.006  -0.005  -0.002  -0.070  0.006  -2.160  0.000  0.000  0.000  0.000  0.000
-0.017  0.012  -0.004  -0.000  -0.059  0.023  -2.556  0.000  0.000  0.000  0.000  0.000
-0.023  0.006  -0.006  -0.002  -0.076  0.004  -2.983  0.000  0.000  0.000  0.000  0.000
0.002  0.011  0.001  -0.000  0.006  0.019  -2.466  0.000  0.000  0.000  0.000  0.000
-0.016  0.012  -0.004  -0.000  -0.051  0.021  -2.701  0.000  0.000  0.000  0.000  0.000
-0.031  0.017  -0.009  0.002  -0.099  0.037  -3.488  0.000  0.000  0.000  0.000  0.000
-0.033  0.005  -0.010  -0.002  -0.100  -0.002  -3.957  0.000  0.000  0.000  0.000  0.000
-0.043  0.010  -0.013  -0.000  -0.132  0.016  -4.766  0.000  0.000  0.000  0.000  0.000
-0.052  0.010  -0.016  -0.000  -0.156  0.015  -5.672  0.000  0.000  0.000  0.000  0.000
-0.046  0.015  -0.015  0.002  -0.134  0.031  -6.216  0.000  0.000  0.000  0.000  0.000
-0.042  0.004  -0.014  -0.002  -0.116  -0.006  -6.281  0.000  0.000  0.000  0.000  0.000
-0.039  0.010  -0.013  -0.000  -0.104  0.012  -6.275  0.000  0.000  0.000  0.000  0.000
-0.001  -0.003  -0.002  -0.004  0.021  -0.027  -4.702  0.000  0.000  0.000  0.000  0.000
-0.011  0.015  -0.005  0.002  -0.012  0.031  -4.067  0.000  0.000  0.000  0.000  0.000
-0.001  0.009  -0.002  -0.000  0.020  0.009  -3.095  0.000  0.000  0.000  0.000  0.000
0.001  0.008  -0.001  -0.000  0.025  0.008  -2.255  0.000  0.000  0.000  0.000  0.000
-0.009  0.014  -0.004  0.002  -0.006  0.026  -2.007  0.000  0.000  0.000  0.000  0.000
-0.021  0.002  -0.008  -0.002  -0.045  -0.013  -2.071  0.000  0.000  0.000  0.000  0.000
-0.024  0.002  -0.009  -0.002  -0.053  -0.013  -2.222  0.000  0.000  0.000  0.000  0.000
-0.022  0.008  -0.009  -0.000  -0.047  0.007  -2.355  0.000  0.000  0.000  0.000  0.000
-0.040  0.013  -0.015  0.002  -0.103  0.023  -3.159  0.000  0.000  0.000  0.000  0.000
-0.035  0.002  -0.013  -0.002  -0.083  -0.015  -3.407  0.000  0.000  0.000  0.000  0.000
0.005  0.007  -0.001  -0.000  0.045  0.003  -2.248  0.000  0.000  0.000  0.000  0.000
-0.004  0.008  -0.004  0.000  0.015  0.005  -1.656  0.000  0.000  0.000  0.000  0.000
0.011  0.007  0.001  0.000  0.063  0.004  -0.645  0.000  0.000  0.000  0.000  0.000
0.008  0.006  -0.000  -0.000  0.051  0.001  0.049  0.000  0.000  0.000  0.000  0.000
-0.004  0.007  -0.004  0.000  0.012  0.002  0.158  0.000  0.000  0.000  0.000  0.000
-0.024  0.001  -0.010  -0.002  -0.051  -0.018  -0.377  0.000  0.000  0.000  0.000  0.000
-0.023  0.001  -0.010  -0.002  -0.047  -0.015  -0.767  0.000  0.000  0.000  0.000  0.000
-0.025  0.007  -0.011  0.000  -0.053  0.004  -1.228  0.000  0.000  0.000  0.000  0.000
-0.011  0.012  -0.007  0.002  -0.006  0.019  -1.134  0.000  0.000  0.000  0.000  0.000
0.008  0.001  -0.001  -0.002  0.056  -0.018  -0.199  0.000  0.000  0.000  0.000  0.000
0.001  0.007  -0.003  0.000  0.032  0.001  0.189  0.000  0.000  0.000  0.000  0.000
