acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  theta_m[deg]  theta_c[deg]  theta_l[deg]
1.195  -107374176.000  0.038  -0.101  -195822.969  0.000  -0.003
1.791  -107374176.000  0.038  -0.725  -195822.969  0.000  -0.003
1.810  -107374176.000  0.024  -1.332  -195822.969  0.000  -0.003
1.202  -107374176.000  -0.001  -1.896  -195822.969  0.000  -0.003
1.131  -107374176.000  -0.021  -2.409  -195822.969  0.000  -0.003
1.242  -107374176.000  -0.039  -2.622  -195822.969  0.000  -0.003
1.195  -107374176.000  -0.057  -2.568  -195822.969  0.000  -0.003
0.807  -107374176.000  -0.067  -2.421  -195822.969  0.000  -0.003
0.175  -107374176.000  -0.058  -2.368  -195822.969  0.000  -0.003
0.969  -107374176.000  -0.070  -2.655  -195822.969  0.000  -0.003
1.026  -107374176.000  -0.061  -3.033  -195822.969  0.000  -0.003
0.512  -107374176.000  -0.048  -2.977  -195822.969  0.000  -0.003
0.527  -107374176.000  -0.040  -2.557  -195822.969  0.000  -0.003
0.945  -107374176.000  -0.032  -2.226  -195822.969  0.000  -0.003
1.591  -107374176.000  -0.010  -2.192  -195822.969  0.000  -0.003
1.653  -107374176.000  -0.001  -2.375  -195822.969  0.000  -0.003
1.817  -107374176.000  -0.000  -2.495  -195822.969  0.000  -0.003
1.565  -107374176.000  0.009  -2.262  -195822.969  0.000  -0.003
0.976  -107374176.000  0.021  -1.758  -195822.969  0.000  -0.003
0.109  -107374176.000  0.045  -1.369  -195822.969  0.000  -0.003
1.158  -107374176.000  0.058  -1.186  -195822.969  0.000  -0.003
-0.468  -107374176.000  0.039  -1.126  -195822.969  0.000  -0.003
-0.613  -107374176.000  0.030  -1.169  -195822.969  0.000  -0.003
0.298  -107374176.000  0.019  -1.257  -195822.969  0.000  -0.003
1.265  -107374176.000  0.008  -1.359  -195822.969  0.000  -0.003
1.592  -107374176.000  -0.009  -1.511  -195822.969  0.000  -0.003
1.168  -107374176.000  -0.010  -1.718  -195822.969  0.000  -0.003
1.538  -107374176.000  -0.010  -1.948  -195822.969  0.000  -0.003
1.875  -107374176.000  -0.016  -2.097  -195822.969  0.000  -0.003
1.774  -107374176.000  -0.020  -2.105  -195822.969  0.000  -0.003
1.182  -107374176.000  -0.018  -2.024  -195822.969  0.000  -0.003
1.132  -107374176.000  0.003  -1.925  -195822.969  0.000  -0.003
3.271  -107374176.000  0.005  -1.831  -195822.969  0.000  -0.003
3.780  -107374176.000  -0.002  -1.711  -195822.969  0.000  -0.003
3.733  -107374176.000  -0.018  -1.525  -195822.969  0.000  -0.003
3.502  -107374176.000  -0.032  -1.372  -195822.969  0.000  -0.003
2.624  -107374176.000  -0.052  -1.341  -195822.969  0.000  -0.003
0.919  -107374176.000  -0.052  -1.407  -195822.969  0.000  -0.003
-0.258  -107374176.000  -0.054  -1.491  -195822.969  0.000  -0.003
-1.765  -107374176.000  -0.060  -1.540  -195822.969  0.000  -0.003
-2.250  -107374176.000  -0.049  -1.544  -195822.969  0.000  -0.003
-0.877  -107374176.000  -0.054  -1.535  -195822.969  0.000  -0.003
1.328  -107374176.000  -0.065  -1.510  -195822.969  0.000  -0.003
2.770  -107374176.000  -0.092  -1.477  -195822.969  0.000  -0.003
3.760  -107374176.000  -0.138  -1.417  -195822.969  0.000  -0.003
3.592  -107374176.000  -0.174  -1.303  -195822.969  0.000  -0.003
2.295  -107374176.000  -0.187  -1.156  -195822.969  0.000  -0.003
1.178  -107374176.000  -0.204  -1.034  -195822.969  0.000  -0.003
-1.045  -107374176.000  -0.156  -0.944  -195822.969  0.000  -0.003
-1.473  -107374176.000  -0.106  -0.880  -195822.969  0.000  -0.003
-0.953  -107374176.000  -0.086  -0.840  -195822.969  0.000  -0.003
0.030  -107374176.000  -0.091  -0.797  -195822.969  0.000  -0.003
1.574  -107374176.000  -0.127  -0.736  -195822.969  0.000  -0.003
2.797  -107374176.000  -0.180  -0.650  -195822.969  0.000  -0.003
2.953  -107374176.000  -0.262  -0.529  -195822.969  0.000  -0.003
2.153  -107374176.000  -0.364  -0.334  -195822.969  0.000  -0.003
1.754  -107374176.000  -0.472  -0.094  -195822.969  0.000  -0.003
0.164  -107374176.000  -0.560  0.051  -195822.969  0.000  -0.003
-0.133  -107374176.000  -0.595  0.202  -195822.969  0.000  -0.003
0.200  -107374176.000  -0.579  0.415  -195822.969  0.000  -0.003
0.309  -107374176.000  -0.551  0.679  -195822.969  0.000  -0.003
0.619  -107374176.000  -0.506  0.941  -195822.969  0.000  -0.003
0.831  -107374176.000  -0.444  1.157  -195822.969  0.000  -0.003
1.086  -107374176.000  -0.390  1.258  -195822.969  0.000  -0.003
-0.029  -107374176.000  -0.355  1.271  -195822.969  0.000  -0.003
-1.563  -107374176.000  -0.357  1.342  -195822.969  0.000  -0.003
-5.300  -107374176.000  -0.324  1.378  -195822.969  0.000  -0.003
-2.375  -107374176.000  -0.403  1.230  -195822.969  0.000  -0.003
-3.062  -107374176.000  -0.404  0.946  -195822.969  0.000  -0.003
-3.857  -107374176.000  -0.370  0.744  -195822.969  0.000  -0.003
-3.817  -107374176.000  -0.328  0.689  -195822.969  0.000  -0.003
-3.419  -107374176.000  -0.284  0.558  -195822.969  0.000  -0.003
-3.127  -107374176.000  -0.233  0.104  -195822.969  0.000  -0.003
-3.377  -107374176.000  -0.168  -0.417  -195822.969  0.000  -0.003
-3.283  -107374176.000  -0.092  -0.692  -195822.969  0.000  -0.003
-3.101  -107374176.000  -0.051  -0.756  -195822.969  0.000  -0.003
-2.869  -107374176.000  -0.039  -0.721  -195822.969  0.000  -0.003
-2.341  -107374176.000  -0.043  -0.580  -195822.969  0.000  -0.003
-2.397  -107374176.000  -0.065  -0.396  -195822.969  0.000  -0.003
-3.107  -107374176.000  -0.086  -0.319  -195822.969  0.000  -0.003
-3.824  -107374176.000  -0.080  -0.382  -195822.969  0.000  -0.003
-4.005  -107374176.000  -0.056  -0.496  -195822.969  0.000  -0.003
-4.003  -107374176.000  -0.013  -0.540  -195822.969  0.000  -0.003
-4.137  -107374176.000  0.038  -0.478  -195822.969  0.000  -0.003
-4.374  -107374176.000  0.112  -0.431  -195822.969  0.000  -0.003
-4.417  -107374176.000  0.199  -0.462  -195822.969  0.000  -0.003
-4.143  -107374176.000  0.301  -0.504  -195822.969  0.000  -0.003
-4.235  -107374176.000  0.386  -0.526  -195822.969  0.000  -0.003
-4.233  -107374176.000  0.441  -0.433  -195822.969  0.000  -0.003
-3.849  -107374176.000  0.478  -0.234  -195822.969  0.000  -0.003
-2.619  -107374176.000  0.483  -0.095  -195822.969  0.000  -0.003
-2.144  -107374176.000  0.460  -0.005  -195822.969  0.000  -0.003
-2.059  -107374176.000  0.429  0.182  -195822.969  0.000  -0.003
-1.891  -107374176.000  0.396  0.380  -195822.969  0.000  -0.003
-1.426  -107374176.000  0.373  0.470  -195822.969  0.000  -0.003
-0.986  -107374176.000  0.346  0.413  -195822.969  0.000  -0.003
-2.423  -107374176.000  0.361  0.250  -195822.969  0.000  -0.003
-1.977  -107374176.000  0.367  0.062  -195822.969  0.000  -0.003
-0.702  -107374176.000  0.358  -0.148  -195822.969  0.000  -0.003
1.215  -107374176.000  0.318  -0.339  -195822.969  0.000  -0.003
2.210  -107374176.000  0.275  -0.444  -195822.969  0.000  -0.003
2.209  -107374176.000  0.234  -0.444  -195822.969  0.000  -0.003
1.430  -107374176.000  0.195  -0.251  -195822.969  0.000  -0.003
0.541  -107374176.000  0.156  0.079  -195822.969  0.000  -0.003
-1.115  -107374176.000  0.103  0.437  -195822.969  0.000  -0.003
-0.293  -107374176.000  0.089  0.739  -195822.969  0.000  -0.003
1.276  -107374176.000  0.079  0.732  -195822.969  0.000  -0.003
1.740  -107374176.000  0.064  0.540  -195822.969  0.000  -0.003
0.380  -107374176.000  0.060  0.486  -195822.969  0.000  -0.003
-2.412  -107374176.000  0.097  0.459  -195822.969  0.000  -0.003
-2.824  -107374176.000  0.146  0.450  -195822.969  0.000  -0.003
-0.504  -107374176.000  0.223  0.486  -195822.969  0.000  -0.003
4.195  -107374176.000  0.154  0.504  -195822.969  0.000  -0.003
3.813  -107374176.000  0.101  0.495  -195822.969  0.000  -0.003
1.552  -107374176.000  0.067  0.546  -195822.969  0.000  -0.003
1.603  -107374176.000  0.047  0.697  -195822.969  0.000  -0.003
1.519  -107374176.000  0.034  0.894  -195822.969  0.000  -0.003
0.847  -107374176.000  0.024  1.088  -195822.969  0.000  -0.003
0.067  -107374176.000  0.018  1.129  -195822.969  0.000  -0.003
-0.168  -107374176.000  0.021  0.943  -195822.969  0.000  -0.003
-0.197  -107374176.000  0.024  0.760  -195822.969  0.000  -0.003
-0.350  -107374176.000  0.029  0.791  -195822.969  0.000  -0.003
0.631  -107374176.000  0.030  0.910  -195822.969  0.000  -0.003
1.316  -107374176.000  0.025  0.969  -195822.969  0.000  -0.003
0.252  -107374176.000  0.021  0.971  -195822.969  0.000  -0.003
0.162  -107374176.000  0.022  0.922  -195822.969  0.000  -0.003
0.756  -107374176.000  0.021  0.835  -195822.969  0.000  -0.003
0.575  -107374176.000  0.019  0.809  -195822.969  0.000  -0.003
0.346  -107374176.000  0.018  0.922  -195822.969  0.000  -0.003
0.478  -107374176.000  0.015  1.219  -195822.969  0.000  -0.003
0.555  -107374176.000  0.012  1.616  -195822.969  0.000  -0.003
0.488  -107374176.000  0.009  1.979  -195822.969  0.000  -0.003
0.434  -107374176.000  0.008  2.143  -195822.969  0.000  -0.003
0.467  -107374176.000  0.007  2.065  -195822.969  0.000  -0.003
0.469  -107374176.000  0.006  1.838  -195822.969  0.000  -0.003
0.392  -107374176.000  0.004  1.532  -195822.969  0.000  -0.003
0.360  -107374176.000  0.004  1.219  -195822.969  0.000  -0.003
0.350  -107374176.000  0.007  0.937  -195822.969  0.000  -0.003
0.361  -107374176.000  0.002  0.680  -195822.969  0.000  -0.003
0.318  -107374176.000  -0.000  0.411  -195822.969  0.000  -0.003
0.311  -107374176.000  0.003  0.150  -195822.969  0.000  -0.003
0.327  -107374176.000  0.003  -0.035  -195822.969  0.000  -0.003
0.278  -107374176.000  0.002  -0.176  -195822.969  0.000  -0.003
0.128  -107374176.000  0.004  -0.320  -195822.969  0.000  -0.003
0.087  -107374176.000  0.007  -0.460  -195822.969  0.000  -0.003
0.090  -107374176.000  0.009  -0.560  -195822.969  0.000  -0.003
0.053  -107374176.000  0.013  -0.648  -195822.969  0.000  -0.003
0.049  -107374176.000  0.016  -0.716  -195822.969  0.000  -0.003
0.035  -107374176.000  0.020  -0.758  -195822.969  0.000  -0.003
0.039  -107374176.000  0.023  -0.780  -195822.969  0.000  -0.003
0.107  -107374176.000  0.024  -0.775  -195822.969  0.000  -0.003
0.194  -107374176.000  0.026  -0.627  -195822.969  0.000  -0.003
0.337  -107374176.000  0.026  -0.296  -195822.969  0.000  -0.003
0.513  -107374176.000  0.025  0.190  -195822.969  0.000  -0.003
0.667  -107374176.000  0.025  0.676  -195822.969  0.000  -0.003
0.684  -107374176.000  0.024  1.029  -195822.969  0.000  -0.003
0.712  -107374176.000  0.024  1.163  -195822.969  0.000  -0.003
0.674  -107374176.000  0.017  1.075  -195822.969  0.000  -0.003
0.578  -107374176.000  0.015  0.915  -195822.969  0.000  -0.003
0.632  -107374176.000  0.014  0.670  -195822.969  0.000  -0.003
0.853  -107374176.000  0.010  0.296  -195822.969  0.000  -0.003
0.853  -107374176.000  0.008  -0.091  -195822.969  0.000  -0.003
0.608  -107374176.000  0.003  -0.430  -195822.969  0.000  -0.003
0.621  -107374176.000  0.003  -0.704  -195822.969  0.000  -0.003
0.606  -107374176.000  -0.003  -0.877  -195762.719  0.000  0.000
0.500  -107374176.000  -0.005  -0.946  -195714.578  0.000  0.000
0.372  -107374176.000  -0.005  -0.930  -195676.094  0.000  0.000
0.472  -107374176.000  -0.006  -0.913  -195645.344  0.000  0.000
0.539  -107374176.000  -0.007  -0.967  -195620.766  0.000  0.000
0.534  -107374176.000  -0.004  -1.171  -195601.125  0.000  0.000
0.570  -107374176.000  -0.006  -1.165  -195585.438  0.000  0.000
0.554  -107374176.000  -0.010  -0.988  -195572.891  0.000  0.000
0.427  -107374176.000  -0.009  -0.752  -195562.875  0.000  0.000
0.352  -107374176.000  -0.009  -0.545  -195554.859  0.000  0.000
0.263  -107374176.000  -0.010  -0.427  -195548.453  0.000  0.000
0.281  -107374176.000  -0.008  -0.392  -195543.344  0.000  0.000
0.353  -107374176.000  -0.007  -0.410  -195539.250  0.000  0.000
0.352  -107374176.000  -0.006  -0.440  -195535.984  0.000  0.000
0.272  -107374176.000  -0.009  -0.425  -195533.375  0.000  0.000
0.257  -107374176.000  -0.010  -0.369  -195531.297  0.000  0.000
0.347  -107374176.000  -0.009  -0.298  -195529.625  0.000  0.000
0.347  -107374176.000  -0.009  -0.245  -195528.297  0.000  0.000
0.410  -107374176.000  -0.010  -0.260  -195587.484  0.000  -0.003
0.291  -107374176.000  -0.012  -0.321  -195634.781  0.000  -0.003
0.409  -107374176.000  -0.015  -0.455  -195672.578  0.000  -0.003
0.691  -107374176.000  -0.016  -0.647  -195702.797  0.000  -0.003
0.500  -107374176.000  -0.016  -0.778  -195726.938  0.000  -0.003
0.273  -107374176.000  -0.015  -0.660  -195746.234  0.000  -0.003
0.270  -107374176.000  -0.015  -0.066  -195761.656  0.000  -0.003
0.345  -107374176.000  -0.013  0.812  -195773.984  0.000  -0.003
0.387  -107374176.000  -0.012  1.388  -195783.828  0.000  -0.003
0.374  -107374176.000  -0.013  1.411  -195791.703  0.000  -0.003
0.299  -107374176.000  -0.012  2.151  -195797.984  0.000  -0.003
0.208  -107374176.000  -0.012  2.609  -195803.016  0.000  -0.003
0.433  -107374176.000  -0.011  2.174  -195807.031  0.000  -0.003
0.601  -107374176.000  -0.008  1.584  -195810.234  0.000  -0.003
0.411  -107374176.000  -0.007  1.206  -195812.797  0.000  -0.003
0.284  -107374176.000  -0.006  1.013  -195814.844  0.000  -0.003
0.405  -107374176.000  -0.005  0.878  -195816.484  0.000  -0.003
0.330  -107374176.000  -0.001  0.791  -195817.797  0.000  -0.003
0.113  -107374176.000  -0.000  0.751  -195818.844  0.000  -0.003
0.067  -107374176.000  0.001  0.662  -195819.672  0.000  -0.003
0.193  -107374176.000  0.003  0.634  -195820.344  0.000  -0.003
0.238  -107374176.000  0.004  0.621  -195820.875  0.000  -0.003
0.307  -107374176.000  0.007  0.585  -195821.297  0.000  -0.003
0.393  -107374176.000  0.006  0.592  -195821.641  0.000  -0.003
0.410  -107374176.000  0.006  0.563  -195821.906  0.000  -0.003
0.233  -107374176.000  0.006  0.549  -195761.875  0.000  0.000
0.292  -107374176.000  0.005  0.624  -195713.891  0.000  0.000
0.361  -107374176.000  0.005  0.806  -195675.547  0.000  0.000
0.348  -107374176.000  0.002  0.785  -195644.906  0.000  0.000
0.329  -107374176.000  0.000  0.672  -195620.422  0.000  0.000
0.297  -107374176.000  -0.001  0.455  -195600.859  0.000  0.000
0.090  -107374176.000  0.003  0.307  -195585.219  0.000  0.000
-0.086  -107374176.000  0.007  0.174  -195572.719  0.000  0.000
-0.045  -107374176.000  0.009  0.003  -195562.734  0.000  0.000
0.059  -107374176.000  0.015  -0.034  -195554.750  0.000  0.000
0.259  -107374176.000  0.016  -0.033  -195548.375  0.000  0.000
0.457  -107374176.000  0.017  -0.039  -195543.281  0.000  0.000
0.512  -107374176.000  0.013  -0.044  -195539.203  0.000  0.000
0.459  -107374176.000  0.013  -0.029  -195535.953  0.000  0.000
0.415  -107374176.000  0.009  0.019  -195533.344  0.000  0.000
0.385  -107374176.000  0.010  0.002  -195531.266  0.000  0.000
0.415  -107374176.000  0.010  -0.079  -195529.609  0.000  0.000
0.502  -107374176.000  0.009  -0.169  -195528.281  0.000  0.000
0.491  -107374176.000  0.006  -0.165  -195527.219  0.000  0.000
0.405  -107374176.000  0.002  -0.064  -195526.375  0.000  0.000
0.367  -107374176.000  0.001  -0.065  -195525.703  0.000  0.000
0.469  -107374176.000  0.001  -0.078  -195525.156  0.000  0.000
0.440  -107374176.000  0.000  0.133  -195524.719  0.000  0.000
0.429  -107374176.000  -0.004  0.447  -195524.375  0.000  0.000
0.480  -107374176.000  -0.005  0.089  -195524.094  0.000  0.000
0.525  -107374176.000  -0.004  0.160  -195523.875  0.000  0.000
0.467  -107374176.000  -0.001  0.337  -195523.703  0.000  0.000
0.340  -107374176.000  -0.001  0.559  -195523.563  0.000  0.000
0.364  -107374176.000  -0.000  0.748  -195523.453  0.000  0.000
0.330  -107374176.000  -0.001  0.829  -195523.359  0.000  0.000
0.317  -107374176.000  -0.001  0.839  -195523.281  0.000  0.000
0.318  -107374176.000  -0.005  0.857  -195523.219  0.000  0.000
0.249  -107374176.000  -0.005  0.892  -195523.172  0.000  0.000
0.196  -107374176.000  -0.000  0.993  -195523.141  0.000  0.000
0.190  -107374176.000  -0.001  1.052  -195523.109  0.000  0.000
0.215  -107374176.000  0.000  0.915  -195523.094  0.000  0.000
0.322  -107374176.000  0.001  0.714  -195583.328  0.000  -0.003
0.343  -107374176.000  -0.000  0.502  -195631.469  0.000  -0.003
0.337  -107374176.000  0.003  0.407  -195669.938  0.000  -0.003
0.265  -107374176.000  0.006  0.382  -195700.688  0.000  -0.003
0.277  -107374176.000  0.008  0.304  -195725.250  0.000  -0.003
0.411  -107374176.000  0.007  0.123  -195744.891  0.000  -0.003
0.531  -107374176.000  0.008  0.139  -195760.578  0.000  -0.003
0.502  -107374176.000  0.009  0.057  -195773.109  0.000  -0.003
0.551  -107374176.000  0.005  -0.333  -195783.125  0.000  -0.003
0.535  -107374176.000  0.007  -0.385  -195791.141  0.000  -0.003
0.457  -107374176.000  0.008  -0.265  -195797.547  0.000  -0.003
0.521  -107374176.000  0.010  -0.125  -195802.656  0.000  -0.003
0.556  -107374176.000  0.011  0.020  -195806.750  0.000  -0.003
0.518  -107374176.000  0.007  0.093  -195810.016  0.000  -0.003
0.581  -107374176.000  0.006  0.187  -195812.625  0.000  -0.003
0.672  -107374176.000  0.005  0.252  -195814.703  0.000  -0.003
0.606  -107374176.000  0.010  0.326  -195816.375  0.000  -0.003
0.572  -107374176.000  0.009  0.458  -195817.703  0.000  -0.003
0.617  -107374176.000  0.006  0.581  -195818.766  0.000  -0.003
0.647  -107374176.000  0.007  0.660  -195819.609  0.000  -0.003
0.668  -107374176.000  0.005  0.838  -195820.297  0.000  -0.003
0.631  -107374176.000  -0.000  0.965  -195820.844  0.000  -0.003
0.596  -107374176.000  -0.002  0.953  -195821.281  0.000  -0.003
0.583  -107374176.000  -0.004  0.946  -195821.625  0.000  -0.003
0.613  -107374176.000  -0.006  0.920  -195821.906  0.000  -0.003
0.605  -107374176.000  -0.006  0.850  -195822.125  0.000  -0.003
0.540  -107374176.000  -0.007  0.775  -195822.297  0.000  -0.003
0.576  -107374176.000  -0.004  0.701  -195822.438  0.000  -0.003
0.619  -107374176.000  -0.003  0.647  -195822.547  0.000  -0.003
0.570  -107374176.000  -0.005  0.622  -195822.641  0.000  -0.003
0.555  -107374176.000  -0.004  0.602  -195822.719  0.000  -0.003
0.527  -107374176.000  -0.006  0.587  -195822.781  0.000  -0.003
0.506  -107374176.000  -0.008  0.563  -195822.828  0.000  -0.003
0.553  -107374176.000  -0.008  0.521  -195822.859  0.000  -0.003
0.554  -107374176.000  -0.010  0.425  -195822.891  0.000  -0.003
0.516  -107374176.000  -0.008  0.169  -195822.906  0.000  -0.003
0.501  -107374176.000  -0.006  -0.276  -195822.922  0.000  -0.003
0.530  -107374176.000  -0.008  -0.594  -195822.938  0.000  -0.003
0.539  -107374176.000  -0.003  -0.562  -195822.953  0.000  -0.003
0.357  -107374176.000  -0.004  -1.062  -195762.703  0.000  0.000
0.354  -107374176.000  -0.004  -1.344  -195714.563  0.000  0.000
0.373  -107374176.000  -0.003  -1.799  -195676.094  0.000  0.000
0.414  -107374176.000  -0.007  -2.154  -195645.344  0.000  0.000
0.256  -107374176.000  -0.004  -2.367  -195620.766  0.000  0.000
0.200  -107374176.000  -0.001  -2.306  -195601.125  0.000  0.000
0.231  -107374176.000  -0.002  -2.053  -195585.438  0.000  0.000
0.310  -107374176.000  -0.002  -1.697  -195572.891  0.000  0.000
0.265  -107374176.000  -0.002  -1.330  -195562.875  0.000  0.000
0.284  -107374176.000  0.001  -1.042  -195554.859  0.000  0.000
0.287  -107374176.000  0.002  -0.817  -195548.453  0.000  0.000
0.300  -107374176.000  0.005  -0.620  -195543.344  0.000  0.000
0.278  -107374176.000  0.004  -0.504  -195539.250  0.000  0.000
0.284  -107374176.000  0.005  -0.498  -195535.984  0.000  0.000
0.306  -107374176.000  0.003  -0.568  -195533.375  0.000  0.000
0.351  -107374176.000  0.007  -0.708  -195531.297  0.000  0.000
0.401  -107374176.000  0.006  -0.865  -195529.625  0.000  0.000
0.434  -107374176.000  0.005  -1.032  -195528.297  0.000  0.000
0.456  -107374176.000  0.006  -1.174  -195527.234  0.000  0.000
0.491  -107374176.000  0.005  -1.226  -195526.391  0.000  0.000
0.503  -107374176.000  0.002  -1.305  -195525.703  0.000  0.000
0.539  -107374176.000  -0.001  -1.366  -195525.156  0.000  0.000
0.525  -107374176.000  -0.003  -1.358  -195524.719  0.000  0.000
0.496  -107374176.000  -0.001  -1.324  -195524.375  0.000  0.000
0.506  -107374176.000  -0.004  -1.275  -195524.094  0.000  0.000
0.472  -107374176.000  -0.004  -1.225  -195523.875  0.000  0.000
0.543  -107374176.000  -0.003  -1.217  -195583.953  0.000  -0.003
0.480  -107374176.000  -0.002  -1.229  -195631.969  0.000  -0.003
0.496  -107374176.000  -0.002  -1.228  -195670.344  0.000  -0.003
0.458  -107374176.000  -0.005  -1.158  -195701.000  0.000  -0.003
0.394  -107374176.000  -0.001  -0.725  -195725.500  0.000  -0.003
0.450  -107374176.000  0.001  -0.886  -195745.078  0.000  -0.003
0.507  -107374176.000  0.001  -0.781  -195760.734  0.000  -0.003
0.377  -107374176.000  -0.001  -0.809  -195773.234  0.000  -0.003
0.487  -107374176.000  -0.001  -0.772  -195783.234  0.000  -0.003
0.569  -107374176.000  -0.004  -0.650  -195791.219  0.000  -0.003
0.439  -107374176.000  -0.000  -0.472  -195797.609  0.000  -0.003
0.431  -107374176.000  -0.001  -0.316  -195802.703  0.000  -0.003
0.582  -107374176.000  0.001  -0.196  -195806.781  0.000  -0.003
0.604  -107374176.000  -0.000  -0.089  -195810.031  0.000  -0.003
0.501  -107374176.000  -0.004  0.021  -195812.641  0.000  -0.003
0.598  -107374176.000  -0.002  0.127  -195814.719  0.000  -0.003
0.702  -107374176.000  -0.002  0.233  -195816.375  0.000  -0.003
