vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
-0.121  0.000  0.000  0.000  0.000  0.000
-0.142  0.000  0.000  0.000  0.000  0.000
-0.156  0.000  0.000  0.000  0.000  0.000
-0.175  0.000  0.000  0.000  0.000  0.000
-0.190  0.000  0.000  0.000  0.000  0.000
-0.225  0.000  0.000  0.000  0.000  0.000
-0.267  0.000  0.000  0.000  0.000  0.000
-0.294  0.000  0.000  0.000  0.000  0.000
-0.296  0.000  0.000  0.000  0.000  0.000
-0.342  0.000  0.000  0.000  0.000  0.000
-0.402  0.000  0.000  0.000  0.000  0.000
-0.381  0.000  0.000  0.000  0.000  0.000
-0.416  0.000  0.000  0.000  0.000  0.000
-0.502  0.000  0.000  0.000  0.000  0.000
-0.574  0.000  0.000  0.000  0.000  0.000
-0.562  0.000  0.000  0.000  0.000  0.000
-0.554  0.000  0.000  0.000  0.000  0.000
-0.466  0.000  0.000  0.000  0.000  0.000
-0.244  0.000  0.000  0.000  0.000  0.000
-0.426  0.000  0.000  0.000  0.000  0.000
-0.588  0.000  0.000  0.000  0.000  0.000
-0.481  0.000  0.000  0.000  0.000  0.000
-0.382  0.000  0.000  0.000  0.000  0.000
-0.351  0.000  0.000  0.000  0.000  0.000
-0.354  0.000  0.000  0.000  0.000  0.000
-0.351  0.000  0.000  0.000  0.000  0.000
-0.352  0.000  0.000  0.000  0.000  0.000
-0.347  0.000  0.000  0.000  0.000  0.000
-0.307  0.000  0.000  0.000  0.000  0.000
-0.272  0.000  0.000  0.000  0.000  0.000
-0.260  0.000  0.000  0.000  0.000  0.000
-0.269  0.000  0.000  0.000  0.000  0.000
-0.267  0.000  0.000  0.000  0.000  0.000
-0.235  0.000  0.000  0.000  0.000  0.000
-0.192  0.000  0.000  0.000  0.000  0.000
-0.169  0.000  0.000  0.000  0.000  0.000
-0.168  0.000  0.000  0.000  0.000  0.000
-0.186  0.000  0.000  0.000  0.000  0.000
-0.175  0.000  0.000  0.000  0.000  0.000
-0.143  0.000  0.000  0.000  0.000  0.000
-0.097  0.000  0.000  0.000  0.000  0.000
-0.052  0.000  0.000  0.000  0.000  0.000
-0.022  0.000  0.000  0.000  0.000  0.000
-0.010  0.000  0.000  0.000  0.000  0.000
0.024  0.000  0.000  0.000  0.000  0.000
0.070  0.000  0.000  0.000  0.000  0.000
0.141  0.000  0.000  0.000  0.000  0.000
0.217  0.000  0.000  0.000  0.000  0.000
0.290  0.000  0.000  0.000  0.000  0.000
0.335  0.000  0.000  0.000  0.000  0.000
0.379  0.000  0.000  0.000  0.000  0.000
0.420  0.000  0.000  0.000  0.000  0.000
0.461  0.000  0.000  0.000  0.000  0.000
0.484  0.000  0.000  0.000  0.000  0.000
0.470  0.000  0.000  0.000  0.000  0.000
0.531  0.000  0.000  0.000  0.000  0.000
0.600  0.000  0.000  0.000  0.000  0.000
0.545  0.000  0.000  0.000  0.000  0.000
0.421  0.000  0.000  0.000  0.000  0.000
