qASGD: [2021-12-14-17-58-31]

0.599,-3.354,5.487,-6.113,4.628,2.747
0.646,-3.409,5.493,-6.157,4.665,2.735
0.651,-3.513,5.516,-6.256,4.732,2.730
0.658,-3.451,5.519,-6.305,4.776,2.841
0.663,-3.392,5.531,-6.354,4.819,2.948
0.670,-3.339,5.557,-6.401,4.860,3.048
0.677,-3.401,5.542,-6.453,4.898,3.037
0.683,-3.462,5.526,-6.505,4.935,3.029
0.689,-3.521,5.510,-6.555,4.971,3.021
0.695,-3.464,5.521,-6.608,5.009,3.129
0.703,-3.410,5.532,-6.656,5.050,3.231
0.709,-3.355,5.536,-6.699,5.097,3.329
0.716,-3.300,5.534,-6.737,5.147,3.421
0.722,-3.246,5.538,-6.774,5.195,3.512
0.728,-3.202,5.571,-6.816,5.238,3.597
0.735,-3.259,5.557,-6.864,5.274,3.588
0.742,-3.317,5.541,-6.916,5.306,3.583
0.749,-3.374,5.529,-6.969,5.340,3.579
0.755,-3.431,5.523,-7.024,5.372,3.577
0.762,-3.482,5.547,-7.081,5.403,3.582
0.768,-3.439,5.518,-7.131,5.437,3.676
0.774,-3.390,5.505,-7.176,5.478,3.769
0.781,-3.361,5.548,-7.224,5.517,3.845
0.788,-3.332,5.591,-7.275,5.549,3.925
0.793,-3.388,5.584,-7.335,5.571,3.928
0.799,-3.438,5.567,-7.392,5.586,3.936
0.806,-3.489,5.548,-7.446,5.617,3.939
0.812,-3.451,5.513,-7.474,5.667,4.005
0.820,-3.400,5.520,-7.491,5.719,4.072
0.826,-3.349,5.525,-7.514,5.768,4.146
0.832,-3.298,5.523,-7.550,5.807,4.232
0.839,-3.326,5.473,-7.596,5.836,4.250
0.878,-3.383,5.473,-7.646,5.855,4.244
0.884,-3.492,5.461,-7.761,5.874,4.250
0.890,-3.554,5.448,-7.826,5.896,4.253
0.898,-3.615,5.420,-7.877,5.949,4.243
0.903,-3.558,5.397,-7.890,6.012,4.313
0.910,-3.499,5.398,-7.881,6.070,4.362
0.917,-3.444,5.406,-7.853,6.120,4.389
0.924,-3.393,5.429,-7.806,6.156,4.394
0.931,-3.365,5.480,-7.757,6.187,4.372
0.937,-3.381,5.538,-7.819,6.169,4.417
0.942,-3.426,5.576,-7.878,6.163,4.431
0.950,-3.486,5.579,-7.938,6.159,4.431
0.955,-3.542,5.559,-8.000,6.158,4.438
0.962,-3.588,5.526,-8.025,6.211,4.416
0.968,-3.563,5.478,-8.024,6.268,4.441
0.975,-3.512,5.475,-8.056,6.319,4.524
0.980,-3.460,5.482,-8.106,6.277,4.625
0.987,-3.412,5.501,-8.141,6.227,4.708
0.995,-3.399,5.553,-8.179,6.178,4.758
1.000,-3.456,5.557,-8.239,6.165,4.760
1.008,-3.511,5.548,-8.274,6.209,4.741
1.015,-3.565,5.534,-8.303,6.258,4.716
1.021,-3.616,5.514,-8.270,6.299,4.632
1.028,-3.621,5.460,-8.216,6.296,4.575
1.033,-3.571,5.470,-8.174,6.262,4.582
1.039,-3.523,5.485,-8.154,6.209,4.610
1.045,-3.479,5.508,-8.114,6.171,4.614
1.050,-3.441,5.541,-8.064,6.168,4.602
1.057,-3.424,5.588,-8.018,6.185,4.573
1.064,-3.476,5.567,-7.981,6.221,4.484
1.071,-3.522,5.534,-7.961,6.271,4.419
1.112,-3.532,5.480,-8.020,6.266,4.468
1.118,-3.464,5.431,-8.141,6.248,4.656
1.124,-3.405,5.435,-8.199,6.277,4.773
1.131,-3.377,5.489,-8.260,6.300,4.861
1.136,-3.443,5.485,-8.327,6.308,4.862
