SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
5.842      4   0.176  0.000  -0.004  -0.018  -0.020  0.000  0.000  0.000
5.629      4   0.176  0.000  -0.060  -0.004  0.010  0.000  0.000  0.000
5.447      5   0.176  0.000  -0.065  -0.003  0.009  0.000  0.000  0.000
5.326      5   0.176  0.000  -0.054  -0.003  0.008  0.000  0.000  0.000
5.029      5   0.176  0.000  -0.157  -0.003  0.035  0.000  0.000  0.000
4.894      5   0.176  0.000  -0.103  -0.002  0.019  0.000  0.000  0.000
4.811      6   0.176  0.000  -0.091  -0.002  0.017  0.000  0.000  0.000
4.901      3   0.176  0.000  -0.021  0.012  0.016  0.000  0.000  0.000
4.647      3   0.176  0.000  -0.173  -0.015  0.029  0.000  0.000  0.000
4.528      5   0.176  0.000  -0.141  0.013  0.041  0.000  0.000  0.000
4.177      5   0.176  0.000  -0.255  -0.015  0.038  0.000  0.000  0.000
3.898      3   0.176  0.000  -0.253  -0.014  0.036  0.000  0.000  0.000
3.768      3   0.176  0.000  -0.217  0.000  0.048  0.000  0.000  0.000
3.852      4   0.176  0.000  -0.125  0.000  0.031  0.000  0.000  0.000
4.000      3   0.176  0.000  -0.093  0.015  0.042  0.000  0.000  0.000
4.625      5   0.176  0.000  0.149  0.042  0.012  0.000  0.000  0.000
4.486      5   0.176  0.000  -0.151  -0.004  0.039  0.000  0.000  0.000
4.748      1   0.176  0.000  0.031  0.024  0.009  0.000  0.000  0.000
5.064      4   0.176  0.000  0.073  0.037  0.022  0.000  0.000  0.000
5.473      4   0.176  0.000  0.157  0.021  -0.007  0.000  0.000  0.000
5.806      2   0.176  0.000  0.159  0.020  -0.006  0.000  0.000  0.000
5.826      5   0.176  0.000  0.055  -0.010  -0.019  0.000  0.000  0.000
5.861      3   0.176  0.000  0.070  -0.009  -0.032  0.000  0.000  0.000
5.735      3   0.176  0.000  -0.001  -0.022  -0.029  0.000  0.000  0.000
5.163      4   0.176  0.000  -0.208  -0.076  -0.042  0.000  0.000  0.000
5.660      6   0.176  0.000  0.241  -0.017  -0.081  0.000  0.000  0.000
5.008      3   0.176  0.000  -0.260  -0.086  -0.021  0.000  0.000  0.000
4.650      3   0.176  0.000  -0.175  -0.067  -0.047  0.000  0.000  0.000
4.610      4   0.176  0.000  -0.053  -0.063  -0.070  0.000  0.000  0.000
4.695      4   0.176  0.000  -0.002  -0.060  -0.067  0.000  0.000  0.000
4.980      4   0.176  0.000  0.087  -0.029  -0.048  0.000  0.000  0.000
5.517      2   0.176  0.000  0.251  -0.040  -0.101  0.000  0.000  0.000
5.340      3   0.176  0.000  -0.051  -0.052  -0.038  0.000  0.000  0.000
5.753      3   0.176  0.000  0.224  -0.022  -0.092  0.000  0.000  0.000
5.772      3   0.176  0.000  0.068  -0.035  -0.058  0.000  0.000  0.000
5.893      5   0.176  0.000  0.107  -0.019  -0.040  0.000  0.000  0.000
6.335      5   0.176  0.000  0.274  -0.004  -0.066  0.000  0.000  0.000
6.053      6   0.176  0.000  -0.026  -0.045  -0.034  0.000  0.000  0.000
6.204      6   0.176  0.000  0.155  -0.013  -0.060  0.000  0.000  0.000
6.148      6   0.176  0.000  0.061  -0.013  -0.029  0.000  0.000  0.000
5.910      6   0.176  0.000  -0.020  -0.040  -0.041  0.000  0.000  0.000
5.486      4   0.176  0.000  -0.140  -0.039  -0.011  0.000  0.000  0.000
5.248      4   0.176  0.000  -0.094  -0.021  -0.011  0.000  0.000  0.000
5.193      6   0.176  0.000  -0.040  -0.006  0.004  0.000  0.000  0.000
