SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-10.912     31   0.000  0.000  0.000  0.780  0.112  -0.044  -0.010  -0.017
-11.242     29   0.000  0.000  0.000  -0.139  -0.005  0.034  -0.010  -0.017
-11.097     29   0.000  0.000  0.000  0.099  -0.043  -0.059  -0.010  -0.017
-12.356     29   0.000  0.000  0.000  -0.584  -0.071  0.060  -0.011  -0.017
-10.915     29   0.000  0.000  0.000  0.609  0.030  -0.094  -0.011  -0.017
-12.064     31   0.000  0.000  0.000  -0.388  -0.179  -0.097  -0.012  -0.018
-14.386     31   0.000  0.000  0.000  -1.129  -0.131  0.115  -0.013  -0.018
-12.987     31   0.000  0.000  0.000  0.370  0.082  0.012  -0.013  -0.017
-12.425     32   0.000  0.000  0.000  0.153  -0.022  -0.051  -0.013  -0.018
-12.014     30   0.000  0.000  0.000  0.125  0.012  -0.009  -0.013  -0.018
-11.590     30   0.000  0.000  0.000  0.190  0.005  -0.029  -0.013  -0.018
-10.679     30   0.000  0.000  0.000  0.454  0.069  -0.019  -0.012  -0.018
-12.115     31   0.000  0.000  0.000  -0.563  -0.074  0.052  -0.012  -0.018
-9.265     31   0.000  0.000  0.000  1.354  0.145  -0.135  -0.012  -0.018
-10.129     31   0.000  0.000  0.000  -0.171  0.041  0.089  -0.011  -0.018
-10.787     31   0.000  0.000  0.000  -0.141  -0.013  0.026  -0.011  -0.018
-10.199     31   0.000  0.000  0.000  0.350  0.083  0.020  -0.011  -0.018
-9.807     30   0.000  0.000  0.000  0.349  0.023  -0.042  -0.011  -0.018
-10.486     30   0.000  0.000  0.000  -0.166  0.026  0.073  -0.010  -0.018
-9.399     32   0.000  0.000  0.000  0.531  0.181  0.084  -0.009  -0.017
-12.584     30   0.000  0.000  0.000  -1.301  -0.241  0.039  -0.010  -0.017
-8.199     30   0.000  0.000  0.000  1.896  0.294  -0.095  -0.009  -0.017
-12.376     30   0.000  0.000  0.000  -1.643  -0.286  0.067  -0.010  -0.017
-8.710     31   0.000  0.000  0.000  1.552  0.293  -0.021  -0.009  -0.017
-9.781     30   0.000  0.000  0.000  -0.199  -0.127  -0.080  -0.009  -0.017
-10.333     30   0.000  0.000  0.000  -0.145  0.036  0.080  -0.009  -0.017
-10.666     31   0.000  0.000  0.000  -0.013  -0.082  -0.074  -0.009  -0.017
-11.230     31   0.000  0.000  0.000  -0.114  -0.111  -0.082  -0.010  -0.018
-10.557     31   0.000  0.000  0.000  0.353  0.086  0.024  -0.010  -0.018
-13.401     31   0.000  0.000  0.000  -1.252  -0.146  0.129  -0.011  -0.017
-11.583     30   0.000  0.000  0.000  0.762  -0.023  -0.183  -0.011  -0.018
-13.241     31   0.000  0.000  0.000  -0.815  -0.032  0.153  -0.011  -0.018
-11.640     31   0.000  0.000  0.000  0.699  -0.044  -0.192  -0.012  -0.018
-10.713     29   0.000  0.000  0.000  0.438  0.130  0.051  -0.011  -0.018
-12.070     29   0.000  0.000  0.000  -0.459  -0.133  -0.032  -0.011  -0.018
-11.247     30   0.000  0.000  0.000  0.383  0.079  0.009  -0.011  -0.018
-13.150     30   0.000  0.000  0.000  -0.834  -0.094  0.092  -0.012  -0.018
-10.297     31   0.000  0.000  0.000  1.258  0.129  -0.131  -0.011  -0.018
-14.707     31   0.000  0.000  0.000  -1.893  -0.279  0.127  -0.012  -0.018
-9.858     31   0.000  0.000  0.000  1.976  0.334  -0.072  -0.011  -0.018
-10.606     31   0.000  0.000  0.000  -0.128  -0.043  -0.008  -0.011  -0.018
-11.363     30   0.000  0.000  0.000  -0.310  0.070  0.151  -0.010  -0.018
-11.003     30   0.000  0.000  0.000  0.245  -0.052  -0.100  -0.010  -0.018
-12.571     30   0.000  0.000  0.000  -0.749  -0.009  0.163  -0.011  -0.017
-11.935     32   0.000  0.000  0.000  0.134  0.049  0.030  -0.010  -0.017
-11.515     29   0.000  0.000  0.000  0.236  -0.140  -0.192  -0.011  -0.017
-10.543     30   0.000  0.000  0.000  0.263  0.303  0.271  -0.010  -0.017
-12.991     30   0.000  0.000  0.000  -0.949  -0.393  -0.200  -0.011  -0.017
-9.832     29   0.000  0.000  0.000  1.281  0.257  -0.000  -0.011  -0.017
-11.036     29   0.000  0.000  0.000  -0.373  -0.107  -0.023  -0.011  -0.017
-11.439     29   0.000  0.000  0.000  -0.167  0.011  0.056  -0.011  -0.017
-11.662     29   0.000  0.000  0.000  -0.064  -0.073  -0.055  -0.011  -0.017
-11.372     30   0.000  0.000  0.000  0.029  0.125  0.134  -0.011  -0.017
-11.764     30   0.000  0.000  0.000  -0.132  -0.135  -0.106  -0.011  -0.017
-11.488     30   0.000  0.000  0.000  0.044  0.067  0.069  -0.011  -0.017
-9.735     30   0.000  0.000  0.000  0.779  0.130  -0.025  -0.010  -0.017
-8.472     29   0.000  0.000  0.000  0.697  0.148  0.013  -0.009  -0.017
-10.609     29   0.000  0.000  0.000  -0.717  -0.155  0.002  -0.010  -0.017
-10.714     32   0.000  0.000  0.000  -0.004  0.004  0.014  -0.010  -0.017
-9.896     31   0.000  0.000  0.000  0.522  -0.051  -0.159  -0.010  -0.017
-12.771     31   0.000  0.000  0.000  -1.309  -0.030  0.263  -0.011  -0.017
-13.267     31   0.000  0.000  0.000  -0.267  -0.244  -0.193  -0.012  -0.017
-10.392     31   0.000  0.000  0.000  1.174  0.183  -0.056  -0.012  -0.018
-13.286     30   0.000  0.000  0.000  -1.237  -0.178  0.089  -0.012  -0.017
-9.226     30   0.000  0.000  0.000  1.783  0.209  -0.162  -0.012  -0.018
-11.767     30   0.000  0.000  0.000  -0.917  -0.145  0.055  -0.012  -0.018
-11.417     29   0.000  0.000  0.000  0.200  0.008  -0.027  -0.012  -0.018
-11.398     29   0.000  0.000  0.000  0.117  -0.041  -0.061  -0.012  -0.019
-13.714     29   0.000  0.000  0.000  -1.041  -0.105  0.124  -0.013  -0.018
-12.017     29   0.000  0.000  0.000  0.593  0.122  0.006  -0.013  -0.018
-12.795     30   0.000  0.000  0.000  -0.400  -0.054  0.037  -0.013  -0.018
-10.980     30   0.000  0.000  0.000  0.751  0.092  -0.060  -0.012  -0.018
-10.536     30   0.000  0.000  0.000  0.233  0.098  0.061  -0.012  -0.018
-10.953     30   0.000  0.000  0.000  -0.147  0.033  0.075  -0.011  -0.017
-11.004     30   0.000  0.000  0.000  0.026  -0.036  -0.036  -0.011  -0.017
-9.649     30   0.000  0.000  0.000  0.613  0.153  0.036  -0.010  -0.017
-9.503     30   0.000  0.000  0.000  0.264  -0.032  -0.082  -0.010  -0.017
-8.942     31   0.000  0.000  0.000  0.337  0.192  0.138  -0.009  -0.017
-11.053     31   0.000  0.000  0.000  -0.765  -0.172  -0.005  -0.010  -0.017
-9.211     31   0.000  0.000  0.000  0.877  0.093  -0.085  -0.009  -0.017
-10.341     31   0.000  0.000  0.000  -0.367  -0.026  0.062  -0.009  -0.017
-10.050     29   0.000  0.000  0.000  0.150  0.080  0.061  -0.009  -0.016
-8.478     29   0.000  0.000  0.000  0.872  0.039  -0.140  -0.009  -0.017
-9.104     30   0.000  0.000  0.000  -0.076  0.044  0.073  -0.008  -0.017
-9.189     30   0.000  0.000  0.000  0.144  0.016  -0.003  -0.008  -0.017
-9.428     31   0.000  0.000  0.000  0.120  -0.059  -0.078  -0.008  -0.017
-8.236     31   0.000  0.000  0.000  0.725  0.130  -0.010  -0.008  -0.017
-10.471     31   0.000  0.000  0.000  -0.674  -0.196  -0.048  -0.008  -0.018
-12.272     31   0.000  0.000  0.000  -0.748  -0.095  0.074  -0.009  -0.017
-12.234     30   0.000  0.000  0.000  -0.009  -0.074  -0.067  -0.010  -0.018
-12.136     30   0.000  0.000  0.000  0.052  -0.070  -0.076  -0.011  -0.018
-12.899     30   0.000  0.000  0.000  -0.384  -0.040  0.051  -0.011  -0.018
-13.246     32   0.000  0.000  0.000  -0.275  -0.026  0.041  -0.011  -0.018
-14.157     32   0.000  0.000  0.000  -0.563  -0.107  0.017  -0.012  -0.018
-12.683     30   0.000  0.000  0.000  0.403  0.111  0.036  -0.012  -0.017
-11.399     30   0.000  0.000  0.000  0.497  0.049  -0.050  -0.011  -0.017
-10.640     32   0.000  0.000  0.000  0.448  -0.029  -0.120  -0.011  -0.018
-11.537     32   0.000  0.000  0.000  -0.338  0.019  0.102  -0.011  -0.018
-11.487     30   0.000  0.000  0.000  0.053  -0.005  -0.008  -0.011  -0.018
