SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
-12.014     33   0.000  0.000  0.000  -0.287  1.000  4.560  5.790  1.531  0.020  100000
-11.479     32   0.000  0.000  0.000  0.229  1.000  4.560  5.790  1.531  0.020  100000
-12.338     30   0.000  0.000  0.000  -0.359  1.000  4.560  5.790  1.531  0.020  100000
-10.218     30   0.000  0.000  0.000  0.970  1.000  4.560  5.790  1.531  0.020  100000
-13.730     32   0.000  0.000  0.000  -1.492  1.000  4.560  5.790  1.531  0.020  100000
-11.714     33   0.000  0.000  0.000  0.707  1.000  4.560  5.790  1.531  0.020  100000
-11.180     33   0.000  0.000  0.000  0.319  1.000  4.560  5.790  1.531  0.020  100000
-12.403     31   0.000  0.000  0.000  -0.502  1.000  4.560  5.790  1.531  0.020  100000
-12.473     32   0.000  0.000  0.000  -0.068  1.000  4.560  5.790  1.531  0.020  100000
-12.564     32   0.000  0.000  0.000  -0.083  1.000  4.560  5.790  1.531  0.020  100000
-13.259     32   0.000  0.000  0.000  -0.496  1.000  4.560  5.790  1.531  0.020  100000
-9.344     32   0.000  0.000  0.000  1.714  1.000  4.560  5.790  1.531  0.020  100000
-10.991     31   0.000  0.000  0.000  -0.526  1.000  4.560  5.790  1.531  0.020  100000
-11.202     31   0.000  0.000  0.000  -0.116  1.000  4.560  5.790  1.531  0.020  100000
-10.335     31   0.000  0.000  0.000  0.403  1.000  4.560  5.790  1.531  0.020  100000
-9.441     32   0.000  0.000  0.000  0.520  1.000  4.560  5.790  1.531  0.020  100000
-10.633     31   0.000  0.000  0.000  -0.335  1.000  4.560  5.790  1.531  0.020  100000
-8.317     31   0.000  0.000  0.000  1.208  1.000  4.560  5.790  1.531  0.020  100000
-12.075     30   0.000  0.000  0.000  -1.445  1.000  4.560  5.790  1.531  0.020  100000
-8.982     33   0.000  0.000  0.000  1.443  1.000  4.560  5.790  1.531  0.020  100000
-13.466     31   0.000  0.000  0.000  -1.966  1.000  4.560  5.790  1.531  0.020  100000
-11.061     31   0.000  0.000  0.000  0.928  1.000  4.560  5.790  1.531  0.020  100000
-11.725     32   0.000  0.000  0.000  -0.360  1.000  4.560  5.790  1.531  0.020  100000
-10.120     32   0.000  0.000  0.000  0.670  1.000  4.560  5.790  1.531  0.020  100000
-9.841     32   0.000  0.000  0.000  0.186  1.000  4.560  5.790  1.531  0.020  100000
-9.836     30   0.000  0.000  0.000  0.143  1.000  4.560  5.790  1.531  0.020  100000
