SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-8.295     -3   0.000  0.000  0.000  -5.034  -0.511  0.574  0.004  -0.005
9.542     -4   0.000  0.000  0.000  7.948  1.036  -0.630  0.007  -0.006
-1.517     -2   0.000  0.000  0.000  -4.023  -0.401  0.475  0.008  -0.005
-2.653     -2   0.000  0.000  0.000  -0.424  -0.045  0.060  0.008  -0.004
-2.722     -4   0.000  0.000  0.000  -0.093  0.024  0.060  0.007  -0.003
-3.389     -2   0.000  0.000  0.000  -0.413  -0.028  0.073  0.007  -0.003
-11.617     -2   0.000  0.000  0.000  -4.386  -0.236  0.719  0.006  0.001
2.270     -1   0.000  0.000  0.000  5.613  0.419  -0.777  0.007  -0.001
-2.571     -2   0.000  0.000  0.000  -2.490  0.312  0.886  0.010  0.002
-3.484     -4   0.000  0.000  0.000  -0.038  -1.065  -1.108  0.006  -0.001
-1.221     -4   0.000  0.000  0.000  0.936  0.180  -0.004  0.004  -0.004
1.753     -2   0.000  0.000  0.000  1.392  0.438  0.171  0.006  -0.004
-3.908     -1   0.000  0.000  0.000  -2.175  -0.448  0.014  0.005  -0.004
1.731     -3   0.000  0.000  0.000  2.310  0.574  0.113  0.007  -0.003
-0.866     -3   0.000  0.000  0.000  -0.605  -0.469  -0.351  0.006  -0.004
1.412     -4   0.000  0.000  0.000  1.063  0.438  0.244  0.007  -0.004
0.566     -1   0.000  0.000  0.000  0.043  -0.117  -0.119  0.007  -0.004
-10.879     -1   0.000  0.000  0.000  -5.256  -0.577  0.550  0.005  -0.002
4.392     -1   0.000  0.000  0.000  6.049  1.065  -0.189  0.008  -0.001
0.235     -3   0.000  0.000  0.000  -1.330  -0.389  -0.106  0.009  -0.002
-0.027     -1   0.000  0.000  0.000  0.123  -0.116  -0.136  0.008  -0.003
0.645     -1   0.000  0.000  0.000  0.721  -0.164  -0.317  0.007  -0.005
2.575     -3   0.000  0.000  0.000  1.404  0.093  -0.193  0.006  -0.006
-3.856     -3   0.000  0.000  0.000  -2.246  -0.454  0.027  0.005  -0.007
0.945     -2   0.000  0.000  0.000  2.355  0.339  -0.142  0.005  -0.008
1.707     -3   0.000  0.000  0.000  0.758  0.354  0.227  0.007  -0.007
9.877     -2   0.000  0.000  0.000  4.254  0.837  -0.024  0.012  -0.007
-4.481     -2   0.000  0.000  0.000  -4.986  -1.296  -0.256  0.009  -0.008
-8.667     -2   0.000  0.000  0.000  -2.542  0.440  1.038  0.008  -0.004
-14.197     -2   0.000  0.000  0.000  -3.127  -0.745  -0.094  0.005  -0.002
-7.668      0   0.000  0.000  0.000  1.956  0.090  -0.326  0.003  -0.002
-7.867      0   0.000  0.000  0.000  -0.691  -0.013  0.145  0.003  -0.003
5.841     -1   0.000  0.000  0.000  5.879  0.875  -0.350  0.007  -0.004
5.748     -2   0.000  0.000  0.000  0.653  0.301  0.195  0.011  -0.004
-9.591     -4   0.000  0.000  0.000  -6.500  -0.899  0.487  0.008  -0.002
-10.977     -4   0.000  0.000  0.000  -1.472  -0.303  0.009  0.005  -0.000
-13.937     -3   0.000  0.000  0.000  -2.291  -0.533  -0.060  0.001  -0.000
-1.364     -2   0.000  0.000  0.000  4.322  1.011  0.125  0.003  0.000
1.948     -2   0.000  0.000  0.000  1.546  0.038  -0.290  0.006  -0.001
8.071     -2   0.000  0.000  0.000  2.942  0.696  0.104  0.010  -0.001
8.297     -1   0.000  0.000  0.000  0.918  0.137  -0.039  0.013  -0.001
7.252     -2   0.000  0.000  0.000  0.635  -0.254  -0.389  0.013  -0.003
3.204     -2   0.000  0.000  0.000  -1.404  0.305  0.649  0.013  -0.001
-1.282     -1   0.000  0.000  0.000  -1.455  -0.696  -0.401  0.011  -0.001
-1.412     -2   0.000  0.000  0.000  0.045  -0.135  -0.138  0.008  -0.003
4.033     -1   0.000  0.000  0.000  2.503  0.523  0.021  0.010  -0.003
2.785     -1   0.000  0.000  0.000  0.374  -0.422  -0.510  0.009  -0.006
-4.858     -5   0.000  0.000  0.000  -3.788  0.511  1.386  0.011  -0.001
-7.121     -2   0.000  0.000  0.000  -0.988  -1.017  -0.848  0.007  -0.001
-3.511     -4   0.000  0.000  0.000  0.797  0.568  0.436  0.008  -0.000
1.988      2   0.000  0.000  0.000  2.388  0.167  -0.335  0.009  -0.001
-1.911     -2   0.000  0.000  0.000  -1.827  0.081  0.499  0.010  0.000
-0.083     -2   0.000  0.000  0.000  0.798  -0.144  -0.314  0.010  -0.000
3.033     -2   0.000  0.000  0.000  1.857  -0.191  -0.595  0.009  -0.003
4.360     -5   0.000  0.000  0.000  0.775  0.651  0.536  0.011  -0.003
-13.318     -4   0.000  0.000  0.000  -8.248  -0.703  1.074  0.010  0.003
-2.074     -4   0.000  0.000  0.000  4.281  -0.159  -1.100  0.007  0.002
1.183     -4   0.000  0.000  0.000  1.289  0.268  0.010  0.008  -0.000
6.591     -5   0.000  0.000  0.000  3.181  -0.090  -0.778  0.008  -0.005
-4.633     -4   0.000  0.000  0.000  -4.578  -0.267  0.735  0.007  -0.004
-2.754     -4   0.000  0.000  0.000  0.715  -0.044  -0.192  0.006  -0.003
4.794     -6   0.000  0.000  0.000  3.429  0.583  -0.121  0.008  -0.004
-2.574     -4   0.000  0.000  0.000  -3.073  -0.094  0.588  0.009  -0.001
-4.160     -2   0.000  0.000  0.000  -0.644  -0.538  -0.417  0.007  -0.002
