accBasedController [2021-03-27-21-59-14]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
0.501028  0.006  -0.005  -0.539  0.341  0.000  0.000
0.504028  0.003  -0.005  -0.425  -0.024  0.000  0.000
0.507029  0.003  -0.005  -0.425  -0.024  0.000  0.000
0.510029  0.003  -0.005  -0.425  -0.024  0.000  0.000
0.513029  0.003  -0.006  -0.001  -0.098  0.000  0.000
0.516029  0.003  -0.006  -0.001  -0.098  0.000  0.000
0.519029  0.006  -0.007  0.353  -0.106  0.000  0.000
0.522029  0.006  -0.007  0.353  -0.106  0.000  0.000
0.525030  0.008  -0.006  0.223  0.166  0.000  0.000
0.528030  0.008  -0.006  0.223  0.166  0.000  0.000
0.531030  0.008  -0.006  0.223  0.166  0.000  0.000
0.534030  0.008  -0.007  -0.014  -0.192  0.000  0.000
0.537030  0.008  -0.007  -0.014  -0.192  0.000  0.000
0.540030  0.007  -0.008  -0.036  -0.049  0.000  0.000
0.543031  0.007  -0.008  -0.036  -0.049  0.000  0.000
0.546031  0.007  -0.006  -0.081  0.159  0.000  0.000
0.549031  0.007  -0.006  -0.081  0.159  0.000  0.000
0.552031  0.007  -0.006  -0.081  0.159  0.000  0.000
0.555031  0.001  -0.010  -0.667  -0.460  0.000  0.000
0.558031  0.001  -0.010  -0.667  -0.460  0.000  0.000
0.561032  -0.000  -0.009  -0.219  0.124  0.000  0.000
0.564032  -0.000  -0.009  -0.219  0.124  0.000  0.000
0.567032  -0.002  -0.008  -0.173  0.120  0.000  0.000
0.570032  -0.002  -0.008  -0.173  0.120  0.000  0.000
0.574032  -0.002  -0.008  -0.173  0.120  0.000  0.000
0.577033  -0.002  -0.008  -0.038  0.027  0.000  0.000
0.580033  -0.002  -0.008  -0.038  0.027  0.000  0.000
0.583033  -0.002  -0.008  -0.008  0.006  0.000  0.000
0.587033  -0.002  -0.008  -0.008  0.006  0.000  0.000
0.590033  -0.002  -0.008  -0.002  0.001  0.000  0.000
0.593033  -0.002  -0.008  -0.002  0.001  0.000  0.000
0.596034  -0.002  -0.008  -0.002  0.001  0.000  0.000
0.599034  -0.002  -0.008  -0.000  0.000  0.000  0.000
0.602034  -0.002  -0.008  -0.000  0.000  0.000  0.000
0.605034  -0.002  -0.008  -0.000  0.000  0.000  0.000
0.608034  -0.002  -0.008  -0.000  0.000  0.000  0.000
0.611035  0.002  -0.009  0.563  -0.127  0.000  0.000
0.614035  0.002  -0.009  0.563  -0.127  0.000  0.000
0.617035  0.002  -0.009  0.563  -0.127  0.000  0.000
0.620035  0.007  -0.009  0.571  -0.002  0.000  0.000
0.623035  0.007  -0.009  0.571  -0.002  0.000  0.000
0.626035  0.009  -0.007  0.300  0.185  0.000  0.000
0.629036  0.009  -0.007  0.300  0.185  0.000  0.000
0.632036  0.010  -0.009  0.144  -0.202  0.000  0.000
0.635036  0.010  -0.009  0.144  -0.202  0.000  0.000
0.638036  0.010  -0.009  0.144  -0.202  0.000  0.000
0.641036  0.005  -0.010  -0.678  -0.113  0.000  0.000
0.644036  0.005  -0.010  -0.678  -0.113  0.000  0.000
0.647037  0.001  -0.011  -0.466  -0.151  0.000  0.000
0.650037  0.001  -0.011  -0.466  -0.151  0.000  0.000
0.653037  -0.004  -0.011  -0.603  0.020  0.000  0.000
0.656037  -0.004  -0.011  -0.603  0.020  0.000  0.000
0.659037  -0.004  -0.011  -0.603  0.020  0.000  0.000
0.662037  -0.004  -0.011  -0.031  -0.063  0.000  0.000
0.665038  -0.004  -0.011  -0.031  -0.063  0.000  0.000
0.668038  0.000  -0.012  0.499  -0.035  0.000  0.000
0.671038  0.000  -0.012  0.499  -0.035  0.000  0.000
0.674038  0.005  -0.013  0.648  -0.142  0.000  0.000
0.677038  0.005  -0.013  0.648  -0.142  0.000  0.000
0.680038  0.005  -0.013  0.648  -0.142  0.000  0.000
0.683039  0.008  -0.011  0.276  0.251  0.000  0.000
0.686039  0.008  -0.011  0.276  0.251  0.000  0.000
0.689039  0.009  -0.009  0.228  0.208  0.000  0.000
0.692039  0.009  -0.009  0.228  0.208  0.000  0.000
0.695039  0.009  -0.009  -0.010  0.064  0.000  0.000
0.698040  0.009  -0.009  -0.010  0.064  0.000  0.000
0.701040  0.009  -0.009  -0.010  0.064  0.000  0.000
0.704040  0.006  -0.009  -0.390  -0.035  0.000  0.000
0.707040  0.006  -0.009  -0.390  -0.035  0.000  0.000
0.710040  0.002  -0.006  -0.560  0.353  0.000  0.000
0.713040  0.002  -0.006  -0.560  0.353  0.000  0.000
0.716041  0.003  -0.006  0.127  -0.008  0.000  0.000
0.719041  0.003  -0.006  0.127  -0.008  0.000  0.000
0.722041  0.003  -0.006  0.127  -0.008  0.000  0.000
0.725041  0.005  -0.005  0.231  0.181  0.000  0.000
0.728041  0.005  -0.005  0.231  0.181  0.000  0.000
0.731041  0.006  -0.005  0.213  -0.079  0.000  0.000
0.734042  0.006  -0.005  0.213  -0.079  0.000  0.000
0.737042  0.007  -0.006  0.120  -0.046  0.000  0.000
0.740042  0.007  -0.006  0.120  -0.046  0.000  0.000
0.743042  0.007  -0.006  0.120  -0.046  0.000  0.000
0.746042  0.006  -0.005  -0.121  0.112  0.000  0.000
0.749042  0.006  -0.005  -0.121  0.112  0.000  0.000
0.752043  0.007  -0.005  0.121  -0.054  0.000  0.000
0.755043  0.007  -0.005  0.121  -0.054  0.000  0.000
0.758043  0.006  -0.007  -0.132  -0.179  0.000  0.000
0.761043  0.006  -0.007  -0.132  -0.179  0.000  0.000
0.764043  0.006  -0.007  -0.132  -0.179  0.000  0.000
0.767043  0.004  -0.008  -0.265  -0.183  0.000  0.000
0.770044  0.004  -0.008  -0.265  -0.183  0.000  0.000
0.773044  0.004  -0.008  -0.059  -0.040  0.000  0.000
0.782044  0.004  -0.008  -0.059  -0.040  0.000  0.000
0.786045  0.003  -0.008  -0.013  -0.009  0.000  0.000
0.789045  0.003  -0.008  -0.013  -0.009  0.000  0.000
0.793045  0.003  -0.008  -0.013  -0.009  0.000  0.000
0.797045  0.003  -0.008  -0.003  -0.002  0.000  0.000
0.800045  0.003  -0.008  -0.003  -0.002  0.000  0.000
0.804046  0.004  -0.007  0.129  0.146  0.000  0.000
0.807046  0.004  -0.007  0.129  0.146  0.000  0.000
0.810046  0.006  -0.006  0.191  0.172  0.000  0.000
0.813046  0.006  -0.006  0.191  0.172  0.000  0.000
0.816046  0.006  -0.006  0.191  0.172  0.000  0.000
0.819046  0.006  -0.007  -0.025  -0.125  0.000  0.000
0.822047  0.006  -0.007  -0.025  -0.125  0.000  0.000
0.825047  0.006  -0.007  -0.003  -0.058  0.000  0.000
0.828047  0.006  -0.007  -0.003  -0.058  0.000  0.000
0.831047  0.003  -0.006  -0.381  0.211  0.000  0.000
0.834047  0.003  -0.006  -0.381  0.211  0.000  0.000
0.837047  0.003  -0.006  -0.381  0.211  0.000  0.000
0.840048  0.003  -0.006  0.067  -0.102  0.000  0.000
0.843048  0.003  -0.006  0.067  -0.102  0.000  0.000
0.846048  0.003  -0.006  0.024  -0.001  0.000  0.000
0.849048  0.003  -0.006  0.024  -0.001  0.000  0.000
0.852048  0.004  -0.006  0.108  0.077  0.000  0.000
0.855048  0.004  -0.006  0.108  0.077  0.000  0.000
